base_event_id,pair,threshold_bps,event_start,event_end,last_observed_time,duration_observed_minutes,status,is_right_censored,is_data_gap_censored,start_spread_bps,peak_abs_spread_bps,peak_signed_spread_bps,peak_time,end_spread_bps,higher_exchange_at_start,lower_exchange_at_start,higher_exchange_at_peak,lower_exchange_at_peak,start_session,peak_session,start_regime,peak_regime,comparison_quality,pair_common_start,pair_common_end,warning,minutes_to_below_20bps,minutes_to_below_10bps,minutes_to_zero_or_cross,observation_minutes_available,observation_status,frequency_minutes,hit_20bps_within_5m,hit_20bps_within_15m,hit_20bps_within_30m,hit_20bps_within_60m,hit_20bps_within_240m,hit_20bps_within_1440m,hit_10bps_within_5m,hit_10bps_within_15m,hit_10bps_within_30m,hit_10bps_within_60m,hit_10bps_within_240m,hit_10bps_within_1440m,hit_0bps_within_5m,hit_0bps_within_15m,hit_0bps_within_30m,hit_0bps_within_60m,hit_0bps_within_240m,hit_0bps_within_1440m
BE-6a71fdfba32753000395,binance/bitget,20,2026-06-10 05:50:00+00:00,2026-06-10 08:02:00+00:00,2026-06-10 08:02:00+00:00,133,COMPLETED,False,False,-50.94466173799667,71.99625648942703,-71.99625648942703,2026-06-10 07:17:00+00:00,-21.130697278456907,bitget,binance,bitget,binance,PRE_CLOSE_BASELINE,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,PRE_GATE_REGIME,mark_spread_bps,2026-06-10 05:50:00+00:00,2026-07-23 09:08:00+00:00,historical_mark_trade_proxy_not_executable_BBO,133.0,137.0,191.0,1440.0,FULL_1440M_OBSERVED,1,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,True
BE-31a86ba3902bf250bde6,binance/bitget,20,2026-06-10 08:14:00+00:00,2026-06-10 08:30:00+00:00,2026-06-10 08:30:00+00:00,17,COMPLETED,False,False,-20.26913234825399,30.69899623911302,-30.69899623911302,2026-06-10 08:19:00+00:00,-21.523151851228118,bitget,binance,bitget,binance,KRX_OFFICIAL_AFTER_HOURS,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,PRE_GATE_REGIME,mark_spread_bps,2026-06-10 05:50:00+00:00,2026-07-23 09:08:00+00:00,historical_mark_trade_proxy_not_executable_BBO,10.0,23.0,47.0,1440.0,FULL_1440M_OBSERVED,1,False,True,True,True,True,True,False,False,True,True,True,True,False,False,False,True,True,True
BE-e131230d601ba12deae2,binance/bitget,20,2026-06-10 08:34:00+00:00,2026-06-10 08:34:00+00:00,2026-06-10 08:34:00+00:00,1,COMPLETED,False,False,-23.70539910900437,23.70539910900437,-23.70539910900437,2026-06-10 08:34:00+00:00,-23.70539910900437,bitget,binance,bitget,binance,KRX_OFFICIAL_AFTER_HOURS,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,PRE_GATE_REGIME,mark_spread_bps,2026-06-10 05:50:00+00:00,2026-07-23 09:08:00+00:00,historical_mark_trade_proxy_not_executable_BBO,1.0,3.0,27.0,1440.0,FULL_1440M_OBSERVED,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True
BE-d7f20f61a60d324b9505,binance/bitget,20,2026-06-10 08:42:00+00:00,2026-06-10 08:42:00+00:00,2026-06-10 08:42:00+00:00,1,COMPLETED,False,False,-28.531242275817867,28.531242275817867,-28.531242275817867,2026-06-10 08:42:00+00:00,-28.531242275817867,bitget,binance,bitget,binance,KRX_OFFICIAL_AFTER_HOURS,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,PRE_GATE_REGIME,mark_spread_bps,2026-06-10 05:50:00+00:00,2026-07-23 09:08:00+00:00,historical_mark_trade_proxy_not_executable_BBO,1.0,1.0,19.0,1440.0,FULL_1440M_OBSERVED,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True
BE-16c32fd7c80581a75319,binance/bitget,20,2026-06-10 09:31:00+00:00,2026-06-10 09:31:00+00:00,2026-06-10 09:31:00+00:00,1,COMPLETED,False,False,-21.7072244506256,21.7072244506256,-21.7072244506256,2026-06-10 09:31:00+00:00,-21.7072244506256,bitget,binance,bitget,binance,US_PREMARKET,US_PREMARKET,PRE_GATE_REGIME,PRE_GATE_REGIME,mark_spread_bps,2026-06-10 05:50:00+00:00,2026-07-23 09:08:00+00:00,historical_mark_trade_proxy_not_executable_BBO,1.0,2.0,52.0,1440.0,FULL_1440M_OBSERVED,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True
BE-95f5504ffa19e8889408,binance/bitget,20,2026-06-10 10:58:00+00:00,2026-06-10 11:01:00+00:00,2026-06-10 11:01:00+00:00,4,COMPLETED,False,False,-21.245671001667663,21.778608895381875,-21.778608895381875,2026-06-10 11:00:00+00:00,-20.04060270808759,bitget,binance,bitget,binance,US_PREMARKET,US_PREMARKET,PRE_GATE_REGIME,PRE_GATE_REGIME,mark_spread_bps,2026-06-10 05:50:00+00:00,2026-07-23 09:08:00+00:00,historical_mark_trade_proxy_not_executable_BBO,1.0,5.0,50.0,1440.0,FULL_1440M_OBSERVED,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True
BE-ae1489734150dc2abc00,binance/bitget,20,2026-06-10 11:09:00+00:00,2026-06-10 11:11:00+00:00,2026-06-10 11:11:00+00:00,3,COMPLETED,False,False,-26.829392548418586,26.829392548418586,-26.829392548418586,2026-06-10 11:09:00+00:00,-21.14462889245928,bitget,binance,bitget,binance,US_PREMARKET,US_PREMARKET,PRE_GATE_REGIME,PRE_GATE_REGIME,mark_spread_bps,2026-06-10 05:50:00+00:00,2026-07-23 09:08:00+00:00,historical_mark_trade_proxy_not_executable_BBO,3.0,30.0,39.0,1440.0,FULL_1440M_OBSERVED,1,True,True,True,True,True,True,False,False,True,True,True,True,False,False,False,True,True,True
BE-ed8f69d2e21286687fd1,binance/bitget,20,2026-06-10 11:21:00+00:00,2026-06-10 11:30:00+00:00,2026-06-10 11:30:00+00:00,10,COMPLETED,False,False,-20.187026866558018,30.17576540278671,-30.17576540278671,2026-06-10 11:24:00+00:00,-20.016142249510487,bitget,binance,bitget,binance,US_PREMARKET,US_PREMARKET,PRE_GATE_REGIME,PRE_GATE_REGIME,mark_spread_bps,2026-06-10 05:50:00+00:00,2026-07-23 09:08:00+00:00,historical_mark_trade_proxy_not_executable_BBO,4.0,18.0,27.0,1440.0,FULL_1440M_OBSERVED,1,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True
BE-6711525c5e56594de391,binance/bitget,20,2026-06-10 11:35:00+00:00,2026-06-10 11:35:00+00:00,2026-06-10 11:35:00+00:00,1,COMPLETED,False,False,-21.76479306203335,21.76479306203335,-21.76479306203335,2026-06-10 11:35:00+00:00,-21.76479306203335,bitget,binance,bitget,binance,US_PREMARKET,US_PREMARKET,PRE_GATE_REGIME,PRE_GATE_REGIME,mark_spread_bps,2026-06-10 05:50:00+00:00,2026-07-23 09:08:00+00:00,historical_mark_trade_proxy_not_executable_BBO,1.0,4.0,13.0,1440.0,FULL_1440M_OBSERVED,1,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
BE-58175a6ce0a9cf7cd2f4,binance/bitget,20,2026-06-10 12:30:00+00:00,2026-06-10 13:37:00+00:00,2026-06-10 13:37:00+00:00,68,COMPLETED,False,False,-130.25449783222638,130.25449783222638,-130.25449783222638,2026-06-10 12:30:00+00:00,-23.54978605925126,bitget,binance,bitget,binance,US_PREMARKET,US_PREMARKET,PRE_GATE_REGIME,PRE_GATE_REGIME,mark_spread_bps,2026-06-10 05:50:00+00:00,2026-07-23 09:08:00+00:00,historical_mark_trade_proxy_not_executable_BBO,68.0,72.0,65.0,1440.0,FULL_1440M_OBSERVED,1,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,True
