pair,long_exchange,short_exchange,date,daily_net_rate,daily_cashflow_10000,event_count,week,weekly_cashflow_10000
long binance / short bitget,binance,bitget,2026-06-10 00:00:00+00:00,-0.00481844,-48.184400000000004,3,2026-06-08/2026-06-14,-79.71220000000001
long binance / short bitget,binance,bitget,2026-06-11 00:00:00+00:00,-0.0002278199999999999,-2.2782000000000004,6,2026-06-08/2026-06-14,-79.71220000000001
long binance / short bitget,binance,bitget,2026-06-12 00:00:00+00:00,-0.0029249600000000003,-29.249600000000004,6,2026-06-08/2026-06-14,-79.71220000000001
long binance / short bitget,binance,bitget,2026-06-13 00:00:00+00:00,0.0,0.0,6,2026-06-08/2026-06-14,-79.71220000000001
long binance / short bitget,binance,bitget,2026-06-14 00:00:00+00:00,0.0,0.0,6,2026-06-08/2026-06-14,-79.71220000000001
long binance / short bitget,binance,bitget,2026-06-15 00:00:00+00:00,-0.00369007,-36.90070000000001,6,2026-06-15/2026-06-21,-76.98010000000001
long binance / short bitget,binance,bitget,2026-06-16 00:00:00+00:00,0.00204121,20.4121,6,2026-06-15/2026-06-21,-76.98010000000001
long binance / short bitget,binance,bitget,2026-06-17 00:00:00+00:00,-0.00175246,-17.5246,6,2026-06-15/2026-06-21,-76.98010000000001
long binance / short bitget,binance,bitget,2026-06-18 00:00:00+00:00,-0.00119052,-11.9052,6,2026-06-15/2026-06-21,-76.98010000000001
long binance / short bitget,binance,bitget,2026-06-19 00:00:00+00:00,-0.00148359,-14.835899999999999,6,2026-06-15/2026-06-21,-76.98010000000001
long binance / short bitget,binance,bitget,2026-06-20 00:00:00+00:00,-0.00155658,-15.5658,6,2026-06-15/2026-06-21,-76.98010000000001
long binance / short bitget,binance,bitget,2026-06-21 00:00:00+00:00,-6.6e-05,-0.66,6,2026-06-15/2026-06-21,-76.98010000000001
long binance / short bitget,binance,bitget,2026-06-22 00:00:00+00:00,-7.419999999999996e-05,-0.7419999999999902,6,2026-06-22/2026-06-28,-25.13789999999998
long binance / short bitget,binance,bitget,2026-06-23 00:00:00+00:00,-0.00513038,-51.303799999999995,6,2026-06-22/2026-06-28,-25.13789999999998
long binance / short bitget,binance,bitget,2026-06-24 00:00:00+00:00,0.0036985200000000003,36.9852,6,2026-06-22/2026-06-28,-25.13789999999998
long binance / short bitget,binance,bitget,2026-06-25 00:00:00+00:00,-0.0009600899999999999,-9.600900000000001,6,2026-06-22/2026-06-28,-25.13789999999998
long binance / short bitget,binance,bitget,2026-06-26 00:00:00+00:00,0.0004750000000000003,4.750000000000005,6,2026-06-22/2026-06-28,-25.13789999999998
long binance / short bitget,binance,bitget,2026-06-27 00:00:00+00:00,0.0,0.0,6,2026-06-22/2026-06-28,-25.13789999999998
long binance / short bitget,binance,bitget,2026-06-28 00:00:00+00:00,-0.00052264,-5.2264,6,2026-06-22/2026-06-28,-25.13789999999998
long binance / short bitget,binance,bitget,2026-06-29 00:00:00+00:00,0.0049844,49.843999999999994,6,2026-06-29/2026-07-05,108.92319999999998
long binance / short bitget,binance,bitget,2026-06-30 00:00:00+00:00,0.00025558000000000004,2.5558000000000005,4,2026-06-29/2026-07-05,108.92319999999998
long binance / short bitget,binance,bitget,2026-07-01 00:00:00+00:00,0.0029094999999999998,29.095,5,2026-06-29/2026-07-05,108.92319999999998
long binance / short bitget,binance,bitget,2026-07-02 00:00:00+00:00,0.0027567499999999997,27.567499999999992,5,2026-06-29/2026-07-05,108.92319999999998
long binance / short bitget,binance,bitget,2026-07-03 00:00:00+00:00,0.00053526,5.352599999999999,6,2026-06-29/2026-07-05,108.92319999999998
long binance / short bitget,binance,bitget,2026-07-04 00:00:00+00:00,-0.00054917,-5.4917,6,2026-06-29/2026-07-05,108.92319999999998
long binance / short bitget,binance,bitget,2026-07-05 00:00:00+00:00,0.0,0.0,6,2026-06-29/2026-07-05,108.92319999999998
long binance / short bitget,binance,bitget,2026-07-06 00:00:00+00:00,1.0329999999999801e-05,0.10329999999999728,6,2026-07-06/2026-07-12,3.1731999999999867
long binance / short bitget,binance,bitget,2026-07-07 00:00:00+00:00,0.0011373999999999998,11.373999999999999,6,2026-07-06/2026-07-12,3.1731999999999867
long binance / short bitget,binance,bitget,2026-07-08 00:00:00+00:00,0.00034029999999999976,3.4029999999999934,6,2026-07-06/2026-07-12,3.1731999999999867
long binance / short bitget,binance,bitget,2026-07-09 00:00:00+00:00,-0.002792,-27.92,6,2026-07-06/2026-07-12,3.1731999999999867
long binance / short bitget,binance,bitget,2026-07-10 00:00:00+00:00,0.00159836,15.9836,6,2026-07-06/2026-07-12,3.1731999999999867
long binance / short bitget,binance,bitget,2026-07-11 00:00:00+00:00,0.0,0.0,6,2026-07-06/2026-07-12,3.1731999999999867
long binance / short bitget,binance,bitget,2026-07-12 00:00:00+00:00,2.293e-05,0.2293,6,2026-07-06/2026-07-12,3.1731999999999867
long binance / short bitget,binance,bitget,2026-07-13 00:00:00+00:00,0.00226626,22.662599999999998,6,2026-07-13/2026-07-19,29.09079999999999
long binance / short bitget,binance,bitget,2026-07-14 00:00:00+00:00,-0.0021749300000000003,-21.749300000000005,9,2026-07-13/2026-07-19,29.09079999999999
long binance / short bitget,binance,bitget,2026-07-15 00:00:00+00:00,0.0009273299999999998,9.273299999999999,12,2026-07-13/2026-07-19,29.09079999999999
long binance / short bitget,binance,bitget,2026-07-16 00:00:00+00:00,0.0035616199999999997,35.6162,12,2026-07-13/2026-07-19,29.09079999999999
long binance / short bitget,binance,bitget,2026-07-17 00:00:00+00:00,-0.0015737,-15.736999999999998,12,2026-07-13/2026-07-19,29.09079999999999
long binance / short bitget,binance,bitget,2026-07-18 00:00:00+00:00,4.143e-05,0.4143,12,2026-07-13/2026-07-19,29.09079999999999
long binance / short bitget,binance,bitget,2026-07-19 00:00:00+00:00,-0.00013893,-1.3893,12,2026-07-13/2026-07-19,29.09079999999999
long binance / short bitget,binance,bitget,2026-07-20 00:00:00+00:00,0.0006770400000000002,6.770400000000001,12,2026-07-20/2026-07-26,5.120800000000001
long binance / short bitget,binance,bitget,2026-07-21 00:00:00+00:00,-0.0003986400000000001,-3.9864000000000006,11,2026-07-20/2026-07-26,5.120800000000001
long binance / short bitget,binance,bitget,2026-07-22 00:00:00+00:00,0.00023368,2.3368,8,2026-07-20/2026-07-26,5.120800000000001
long binance / short bitget,binance,bitget,2026-07-23 00:00:00+00:00,0.0,0.0,1,2026-07-20/2026-07-26,5.120800000000001
long binance / short gate,binance,gate,2026-07-16 00:00:00+00:00,0.0010232,10.232,2,2026-07-13/2026-07-19,103.4
long binance / short gate,binance,gate,2026-07-17 00:00:00+00:00,0.0038733,38.733000000000004,12,2026-07-13/2026-07-19,103.4
long binance / short gate,binance,gate,2026-07-18 00:00:00+00:00,0.00304143,30.4143,12,2026-07-13/2026-07-19,103.4
long binance / short gate,binance,gate,2026-07-19 00:00:00+00:00,0.00240207,24.020699999999998,12,2026-07-13/2026-07-19,103.4
long binance / short gate,binance,gate,2026-07-20 00:00:00+00:00,-0.00011795999999999988,-1.1795999999999998,12,2026-07-20/2026-07-26,-19.713400000000004
long binance / short gate,binance,gate,2026-07-21 00:00:00+00:00,-0.0006586400000000002,-6.586400000000002,12,2026-07-20/2026-07-26,-19.713400000000004
long binance / short gate,binance,gate,2026-07-22 00:00:00+00:00,-0.0007513200000000001,-7.5132,12,2026-07-20/2026-07-26,-19.713400000000004
long binance / short gate,binance,gate,2026-07-23 00:00:00+00:00,-0.00044342,-4.434200000000001,4,2026-07-20/2026-07-26,-19.713400000000004
long binance / short hyperliquid,binance,hyperliquid,2026-07-19 00:00:00+00:00,5.5064899999999975e-05,0.5506490000000002,8,2026-07-13/2026-07-19,0.5506490000000002
long binance / short hyperliquid,binance,hyperliquid,2026-07-20 00:00:00+00:00,-0.0022542626,-22.542626,30,2026-07-20/2026-07-26,-22.056663
long binance / short hyperliquid,binance,hyperliquid,2026-07-21 00:00:00+00:00,6.630359999999988e-05,0.6630359999999993,30,2026-07-20/2026-07-26,-22.056663
long binance / short hyperliquid,binance,hyperliquid,2026-07-22 00:00:00+00:00,0.0004842837,4.842837,30,2026-07-20/2026-07-26,-22.056663
long binance / short hyperliquid,binance,hyperliquid,2026-07-23 00:00:00+00:00,-0.0005019909999999999,-5.01991,10,2026-07-20/2026-07-26,-22.056663
long binance / short okx,binance,okx,2026-06-10 00:00:00+00:00,-0.0028827912326593002,-28.827912326593008,3,2026-06-08/2026-06-14,40.327081412141986
long binance / short okx,binance,okx,2026-06-11 00:00:00+00:00,0.0011654844221637998,11.654844221637997,6,2026-06-08/2026-06-14,40.327081412141986
long binance / short okx,binance,okx,2026-06-12 00:00:00+00:00,0.0030562912135992997,30.562912135993,6,2026-06-08/2026-06-14,40.327081412141986
long binance / short okx,binance,okx,2026-06-13 00:00:00+00:00,0.0016808316644,16.808316643999998,6,2026-06-08/2026-06-14,40.327081412141986
long binance / short okx,binance,okx,2026-06-14 00:00:00+00:00,0.0010128920737104,10.128920737104,6,2026-06-08/2026-06-14,40.327081412141986
long binance / short okx,binance,okx,2026-06-15 00:00:00+00:00,0.0024910586280713003,24.910586280712998,6,2026-06-15/2026-06-21,152.216157333533
long binance / short okx,binance,okx,2026-06-16 00:00:00+00:00,-0.0004416620781466001,-4.416620781466005,6,2026-06-15/2026-06-21,152.216157333533
long binance / short okx,binance,okx,2026-06-17 00:00:00+00:00,-0.0002595807689137,-2.5958076891370006,6,2026-06-15/2026-06-21,152.216157333533
long binance / short okx,binance,okx,2026-06-18 00:00:00+00:00,0.0018345329507393998,18.345329507394,6,2026-06-15/2026-06-21,152.216157333533
long binance / short okx,binance,okx,2026-06-19 00:00:00+00:00,0.0030418333149302,30.418333149302008,6,2026-06-15/2026-06-21,152.216157333533
long binance / short okx,binance,okx,2026-06-20 00:00:00+00:00,0.0045716112032823004,45.716112032823006,6,2026-06-15/2026-06-21,152.216157333533
long binance / short okx,binance,okx,2026-06-21 00:00:00+00:00,0.0039838224833903995,39.83822483390399,6,2026-06-15/2026-06-21,152.216157333533
long binance / short okx,binance,okx,2026-06-22 00:00:00+00:00,0.004256881149994401,42.56881149994401,6,2026-06-22/2026-06-28,40.504858308428005
