group_type,group_value,threshold_bps,target_bps,horizon_minutes,event_count_total,hit_count,naive_hit_rate,eligible_event_count,completed_event_count,censored_event_count,observed_rate_complete_cases,rate_note
ALL,ALL,20,20,5,4816,4179,0.8677325581395349,4814,4812,4,0.8680930619027836,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
ALL,ALL,20,20,15,4816,4586,0.9522425249169435,4814,4812,4,0.9526381387619444,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
ALL,ALL,20,20,30,4816,4700,0.9759136212624585,4814,4812,4,0.9763190693809721,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
ALL,ALL,20,20,60,4816,4756,0.9875415282392026,4814,4812,4,0.9879518072289156,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
ALL,ALL,20,20,240,4816,4793,0.9952242524916943,4813,4812,4,0.9958445875753168,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
ALL,ALL,20,20,1440,4816,4809,0.998546511627907,4813,4812,4,0.9991689175150633,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
ALL,ALL,20,10,5,4816,904,0.1877076411960133,4810,4812,4,0.18794178794178795,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
ALL,ALL,20,10,15,4816,1643,0.34115448504983387,4809,4812,4,0.34165107090871283,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
ALL,ALL,20,10,30,4816,2219,0.46075581395348836,4805,4812,4,0.4618106139438085,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
ALL,ALL,20,10,60,4816,2849,0.5915697674418605,4800,4812,4,0.5935416666666666,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
ALL,ALL,20,10,240,4816,3965,0.823297342192691,4792,4812,4,0.8274207011686143,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
ALL,ALL,20,10,1440,4816,4613,0.9578488372093024,4779,4812,4,0.9652646997279766,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
ALL,ALL,20,0,5,4816,215,0.044642857142857144,4810,4812,4,0.0446985446985447,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
ALL,ALL,20,0,15,4816,469,0.09738372093023256,4809,4812,4,0.0975254730713246,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
ALL,ALL,20,0,30,4816,771,0.16009136212624583,4805,4812,4,0.16045785639958376,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
ALL,ALL,20,0,60,4816,1178,0.2446013289036545,4800,4812,4,0.24541666666666667,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
ALL,ALL,20,0,240,4816,2353,0.4885797342192691,4765,4812,4,0.4938090241343127,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
ALL,ALL,20,0,1440,4816,4117,0.854858803986711,4706,4812,4,0.8748406289842754,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
PAIR,binance/bitget,20,20,5,1587,1417,0.8928796471329553,1587,1587,0,0.8928796471329553,完整可观察事件比例；不是Kaplan-Meier或无偏总体概率
