group_type,group_value,population,threshold_bps,event_count_total,event_count_completed,event_count_right_censored,event_count_data_gap_censored,censoring_ratio,min_minutes,p25_minutes,median_minutes,p75_minutes,p90_minutes,p95_minutes,p99_minutes,max_observed_minutes,count_le_5m,ratio_le_5m,count_le_15m,ratio_le_15m,count_le_30m,ratio_le_30m,count_le_60m,ratio_le_60m,count_le_240m,ratio_le_240m,count_gt_240m,ratio_gt_240m,count_gt_1440m,ratio_gt_1440m
ALL,ALL_OBSERVED,ALL_OBSERVED,20,8492,8488,4,0,0.0004710315591144607,1.0,1.0,2.0,4.0,13.0,32.0,234.45000000000073,3776.0,6727,0.7921573245407443,7746,0.912152614225153,8059,0.9490108337258596,8265,0.9732689590202543,8409,0.9902260951483749,83,0.009773904851625059,13,0.0015308525671219972
STATUS_SCOPE,COMPLETED_ONLY,COMPLETED_ONLY,20,8488,8488,0,0,0.0,1.0,1.0,2.0,4.0,13.0,31.649999999999636,234.649999999996,3776.0,6726,0.7924128180961357,7743,0.9122290292177191,8056,0.9491046182846371,8262,0.9733741753063148,8405,0.9902214891611687,83,0.009778510838831292,13,0.001531573986804901
STATUS_SCOPE,ALL_OBSERVED,ALL_OBSERVED,20,8492,8488,4,0,0.0004710315591144607,1.0,1.0,2.0,4.0,13.0,32.0,234.45000000000073,3776.0,6727,0.7921573245407443,7746,0.912152614225153,8059,0.9490108337258596,8265,0.9732689590202543,8409,0.9902260951483749,83,0.009773904851625059,13,0.0015308525671219972
PAIR,binance/bitget,ALL_OBSERVED,20,2756,2756,0,0,0.0,1.0,1.0,2.0,4.0,9.0,20.0,149.89999999999964,2682.0,2279,0.8269230769230769,2583,0.9372278664731495,2657,0.964078374455733,2702,0.9804063860667634,2738,0.9934687953555879,18,0.006531204644412192,3,0.0010885341074020319
PAIR,binance/gate,ALL_OBSERVED,20,194,194,0,0,0.0,1.0,1.0,1.0,3.0,9.700000000000017,17.349999999999994,111.42999999999284,1495.0,165,0.8505154639175257,182,0.9381443298969072,190,0.979381443298969,192,0.9896907216494846,192,0.9896907216494846,2,0.010309278350515464,1,0.005154639175257732
PAIR,binance/hyperliquid,ALL_OBSERVED,20,316,315,1,0,0.0031645569620253164,1.0,1.0,2.0,4.0,12.0,31.5,136.7000000000005,482.0,260,0.8227848101265823,290,0.9177215189873418,299,0.9462025316455697,308,0.9746835443037974,314,0.9936708860759493,2,0.006329113924050633,0,0.0
PAIR,binance/okx,ALL_OBSERVED,20,2057,2057,0,0,0.0,1.0,1.0,2.0,4.0,12.0,25.0,84.0,1617.0,1655,0.8045697617890131,1893,0.9202722411278561,1973,0.9591638308215849,2021,0.982498784637822,2052,0.997569275644142,5,0.0024307243558580457,1,0.0004861448711716091
PAIR,bitget/gate,ALL_OBSERVED,20,222,222,0,0,0.0,1.0,1.0,1.0,3.0,7.900000000000006,15.0,35.10999999999993,1493.0,194,0.8738738738738738,211,0.9504504504504504,219,0.9864864864864865,221,0.9954954954954955,221,0.9954954954954955,1,0.0045045045045045045,1,0.0045045045045045045
PAIR,bitget/hyperliquid,ALL_OBSERVED,20,188,187,1,0,0.005319148936170213,1.0,1.0,3.0,9.0,29.200000000000045,60.85000000000005,554.7199999999975,1109.0,119,0.6329787234042553,161,0.8563829787234043,169,0.898936170212766,178,0.9468085106382979,184,0.9787234042553191,4,0.02127659574468085,0,0.0
PAIR,bitget/okx,ALL_OBSERVED,20,1950,1949,1,0,0.0005128205128205128,1.0,1.0,2.0,6.0,22.0,56.0,486.51,3776.0,1438,0.7374358974358974,1704,0.8738461538461538,1793,0.9194871794871795,1860,0.9538461538461539,1904,0.9764102564102564,46,0.02358974358974359,6,0.003076923076923077
