pair,long_exchange,short_exchange,funding_time,long_rate,short_rate,net_rate,net_cashflow_10000,cumulative_cashflow,long_interval_hours,short_interval_hours,session,regime
long binance / short bitget,binance,bitget,2026-06-10 08:00:00.001000+00:00,0.00463966,0.0,-0.00463966,-46.39660000000001,-46.39660000000001,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-10 16:00:00+00:00,0.0,0.0,0.0,0.0,-46.39660000000001,,8.0,US_REGULAR,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-10 16:00:00.001000+00:00,0.00017878,0.0,-0.00017878,-1.7877999999999998,-48.184400000000004,8.0,,US_REGULAR,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-11 00:00:00+00:00,0.0,0.0,0.0,0.0,-48.184400000000004,,8.0,KRX_FULLY_CLOSED_PRE_US,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-11 00:00:00.001000+00:00,-0.00220722,0.0,0.00220722,22.072200000000002,-26.1122,8.0,,KRX_FULLY_CLOSED_PRE_US,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-11 08:00:00+00:00,0.0,0.001,0.001,10.0,-16.1122,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-11 08:00:00.001000+00:00,0.0033825,0.0,-0.0033825,-33.825,-49.937200000000004,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-11 16:00:00+00:00,0.0,0.0,0.0,0.0,-49.937200000000004,,8.0,US_REGULAR,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-11 16:00:00.001000+00:00,5.254e-05,0.0,-5.254e-05,-0.5254,-50.4626,8.0,,US_REGULAR,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-12 00:00:00+00:00,0.0,0.0,0.0,0.0,-50.4626,,8.0,KRX_FULLY_CLOSED_PRE_US,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-12 00:00:00.001000+00:00,0.00216676,0.0,-0.00216676,-21.667600000000004,-72.1302,8.0,,KRX_FULLY_CLOSED_PRE_US,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-12 08:00:00+00:00,0.0,0.000901,0.000901,9.01,-63.120200000000004,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-12 08:00:00.001000+00:00,0.00074851,0.0,-0.00074851,-7.4851,-70.6053,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-12 16:00:00+00:00,0.0,0.0,0.0,0.0,-70.6053,,8.0,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-12 16:00:00.001000+00:00,0.00091069,0.0,-0.00091069,-9.1069,-79.7122,8.0,,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-13 00:00:00+00:00,0.0,0.0,0.0,0.0,-79.7122,,8.0,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-13 00:00:00.001000+00:00,0.0,0.0,0.0,0.0,-79.7122,8.0,,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-13 08:00:00+00:00,0.0,0.0,0.0,0.0,-79.7122,,8.0,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-13 08:00:00.001000+00:00,0.0,0.0,0.0,0.0,-79.7122,8.0,,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-13 16:00:00+00:00,0.0,0.0,0.0,0.0,-79.7122,,8.0,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-13 16:00:00.001000+00:00,0.0,0.0,0.0,0.0,-79.7122,8.0,,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-14 00:00:00+00:00,0.0,0.0,0.0,0.0,-79.7122,,8.0,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-14 00:00:00.001000+00:00,0.0,0.0,0.0,0.0,-79.7122,8.0,,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-14 08:00:00+00:00,0.0,0.0,0.0,0.0,-79.7122,,8.0,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-14 08:00:00.001000+00:00,0.0,0.0,0.0,0.0,-79.7122,8.0,,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-14 16:00:00+00:00,0.0,0.0,0.0,0.0,-79.7122,,8.0,KRX_FULLY_CLOSED_PRE_US,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-14 16:00:00.001000+00:00,0.0,0.0,0.0,0.0,-79.7122,8.0,,KRX_FULLY_CLOSED_PRE_US,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-15 00:00:00+00:00,0.0,0.0,0.0,0.0,-79.7122,,8.0,KRX_FULLY_CLOSED_PRE_US,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-15 00:00:00.001000+00:00,0.00029335,0.0,-0.00029335,-2.9335,-82.64569999999999,8.0,,KRX_FULLY_CLOSED_PRE_US,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-15 08:00:00+00:00,0.0,0.001,0.001,10.0,-72.64569999999999,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-15 08:00:00.002000+00:00,0.00342426,0.0,-0.00342426,-34.2426,-106.88829999999999,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-15 16:00:00+00:00,0.0,0.0,0.0,0.0,-106.88829999999999,,8.0,US_REGULAR,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-15 16:00:00.001000+00:00,0.00097246,0.0,-0.00097246,-9.7246,-116.61289999999998,8.0,,US_REGULAR,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-16 00:00:00+00:00,0.0,0.0,0.0,0.0,-116.61289999999998,,8.0,KRX_FULLY_CLOSED_PRE_US,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-16 00:00:00.001000+00:00,-0.00014432,0.0,0.00014432,1.4432,-115.16969999999998,8.0,,KRX_FULLY_CLOSED_PRE_US,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-16 08:00:00+00:00,0.0,0.001,0.001,10.0,-105.16969999999998,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-16 08:00:00.001000+00:00,0.00158824,0.0,-0.00158824,-15.8824,-121.05209999999998,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-16 16:00:00+00:00,0.0,0.0,0.0,0.0,-121.05209999999998,,8.0,US_REGULAR,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-16 16:00:00.001000+00:00,-0.00248513,0.0,0.00248513,24.8513,-96.20079999999999,8.0,,US_REGULAR,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-17 00:00:00+00:00,0.0,0.0,0.0,0.0,-96.20079999999999,,8.0,KRX_FULLY_CLOSED_PRE_US,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-17 00:00:00.001000+00:00,0.0,0.0,0.0,0.0,-96.20079999999999,8.0,,KRX_FULLY_CLOSED_PRE_US,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-17 08:00:00+00:00,0.0,0.001,0.001,10.0,-86.20079999999999,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-17 08:00:00.001000+00:00,0.00159068,0.0,-0.00159068,-15.906799999999999,-102.10759999999999,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-17 16:00:00+00:00,0.0,0.0,0.0,0.0,-102.10759999999999,,8.0,US_REGULAR,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-17 16:00:00.001000+00:00,0.00116178,0.0,-0.00116178,-11.6178,-113.7254,8.0,,US_REGULAR,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-18 00:00:00+00:00,0.0,0.0,0.0,0.0,-113.7254,,8.0,KRX_FULLY_CLOSED_PRE_US,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-18 00:00:00.001000+00:00,0.0,0.0,0.0,0.0,-113.7254,8.0,,KRX_FULLY_CLOSED_PRE_US,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-18 08:00:00+00:00,0.0,0.001,0.001,10.0,-103.7254,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-18 08:00:00.001000+00:00,0.00072339,0.0,-0.00072339,-7.233899999999999,-110.9593,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-18 16:00:00+00:00,0.0,0.0,0.0,0.0,-110.9593,,8.0,US_REGULAR,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-18 16:00:00.001000+00:00,0.00146713,0.0,-0.00146713,-14.6713,-125.6306,8.0,,US_REGULAR,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-19 00:00:00+00:00,0.0,0.0,0.0,0.0,-125.6306,,8.0,KRX_FULLY_CLOSED_PRE_US,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-19 00:00:00.001000+00:00,0.00035242,0.0,-0.00035242,-3.5242,-129.1548,8.0,,KRX_FULLY_CLOSED_PRE_US,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-19 08:00:00+00:00,0.0,0.001,0.001,10.0,-119.1548,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-19 08:00:00.001000+00:00,0.00213117,0.0,-0.00213117,-21.3117,-140.4665,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-19 16:00:00+00:00,0.0,0.0,0.0,0.0,-140.4665,,8.0,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-19 16:00:00.001000+00:00,0.0,0.0,0.0,0.0,-140.4665,8.0,,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-20 00:00:00+00:00,0.0,0.0,0.0,0.0,-140.4665,,8.0,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-20 00:00:00.001000+00:00,0.00030862,0.0,-0.00030862,-3.0862000000000003,-143.5527,8.0,,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME
long binance / short bitget,binance,bitget,2026-06-20 08:00:00+00:00,0.0,0.0,0.0,0.0,-143.5527,,8.0,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME
