exchange,segment_start,segment_end,interval_hours,event_count,near_2026_07_14,min_rate,max_rate,timestamp_fractional_ms_events
binance,2026-06-10 08:00:00.001000+00:00,2026-07-14 16:00:00.001000+00:00,8.0,104,True,-0.00295553,0.00661515,100
binance,2026-07-14 20:00:00.001000+00:00,2026-07-23 08:00:00.001000+00:00,4.0,52,True,-0.00196477,0.00171193,46
bitget,2026-06-10 08:00:00+00:00,2026-07-14 08:00:00+00:00,8.0,103,True,-6.9e-05,0.005,0
bitget,2026-07-14 12:00:00+00:00,2026-07-23 04:00:00+00:00,4.0,53,True,-0.002897,0.002053,0
gate,2026-06-10 08:00:02+00:00,2026-07-14 16:00:03+00:00,8.0,104,True,-0.001583,0.00401,0
gate,2026-07-14 20:00:02+00:00,2026-07-23 08:00:03+00:00,4.0,52,True,5e-05,0.0005,0
hyperliquid,2026-06-10 06:00:00.052000+00:00,2026-07-23 08:00:00.021000+00:00,1.0,1035,True,-0.0009831609,0.0026422378,1019
okx,2026-06-10 08:00:00+00:00,2026-07-13 08:00:00+00:00,8.0,100,True,-0.0025562314489719,0.01,0
okx,2026-07-13 12:00:00+00:00,2026-07-14 16:00:00+00:00,4.0,8,True,0.0,0.0051280565781914,0
okx,2026-07-15 00:00:00+00:00,2026-07-23 00:00:00+00:00,8.0,25,True,-0.002398100578228,0.0025749198720348,0
