pair,long_exchange,short_exchange,event_count,total_cashflow_10000,largest_single_event_cashflow,top_5_abs_contribution_percent_of_total,top_10_abs_contribution_percent_of_total,top_5_signed_contribution_cashflow,top_10_signed_contribution_cashflow,cashflow_excluding_top_abs_1pct,cashflow_excluding_top_abs_5pct,median_event_cashflow,p95_event_cashflow,p99_event_cashflow,positive_event_ratio,average_hourly_cashflow,average_daily_cashflow,equivalent_8h_cashflow,simple_apr_not_compounded_percent
long binance / short bitget,binance,bitget,298,-35.52220000000001,-66.1515,810.7659435507933,1514.551182077686,-188.0019,-138.0019,148.98640000000006,-47.843100000000014,0.0,22.99070999999995,50.0,0.23154362416107382,-0.034689648446910186,-0.8325515627258444,-0.2775171875752815,-3.0388132039493323
long binance / short gate,binance,gate,78,83.68660000000001,-16.6537,80.98847366245012,128.19232708701273,-19.631300000000003,-21.736800000000002,100.34030000000001,113.04990000000002,0.8,6.0585699999999685,10.791978000000018,0.6410256410256411,0.5505687316919537,13.213649560606889,4.40454985353563,48.22982089621515
long binance / short hyperliquid,binance,hyperliquid,108,-21.506013999999997,-16.6537,229.92266256313238,361.37008931548183,-49.4472,-66.71150200000001,7.136786000000001,34.275386,0.0625,2.8030483,4.462487269999999,0.6111111111111112,-0.25006992053992555,-6.001678092958214,-2.0005593643194044,-21.90612503929748
long binance / short okx,binance,okx,277,550.814955676891,100.0,63.65147318721037,110.18936316597704,-18.415366176178992,30.935691883325006,450.87322185307,614.840610222014,0.0,29.77403687723699,50.96964363958413,0.4548736462093863,0.5400146625753874,12.960351901809299,4.3201173006030995,47.30528444160394
long bitget / short binance,bitget,binance,298,35.52220000000001,66.1515,810.7659435507933,1514.551182077686,188.0019,138.0019,-148.98640000000006,47.843100000000014,0.0,28.827029999999997,53.62948799999988,0.24161073825503357,0.034689648446910186,0.8325515627258444,0.2775171875752815,3.0388132039493323
long bitget / short gate,bitget,gate,76,90.48,28.97,91.76613616268789,119.39655172413792,-25.090000000000003,-0.09000000000000163,61.50999999999999,108.63,0.5,5.0,10.9925,0.5131578947368421,0.6113479090770886,14.672349817850126,4.890783272616709,53.55407683515296
long bitget / short hyperliquid,bitget,hyperliquid,102,-16.464204,-20.53,359.52847765977634,480.29797857218006,-59.193502,-53.169765000000005,20.815796000000002,38.25593,0.0625,2.678234299999998,4.31637411,0.5980392156862745,-0.20078295928593826,-4.818791022862518,-1.606263674287506,-17.588587233448195
long bitget / short okx,bitget,okx,157,578.8752964851831,51.280565781914,40.34584132445976,69.4719432120342,135.671454140556,228.595262796829,477.594730703269,407.41416355773396,0.41457711260700003,26.511052185651177,46.52881631194454,0.5159235668789809,0.5675248004756697,13.620595211416072,4.540198403805357,49.71517252166866
long gate / short binance,gate,binance,78,-83.68660000000001,16.6537,80.98847366245012,128.19232708701273,19.631300000000003,21.736800000000002,-100.34030000000001,-113.04990000000002,-0.8,6.908844999999998,15.427398000000005,0.21794871794871795,-0.5505687316919537,-13.213649560606889,-4.40454985353563,-48.22982089621515
long gate / short bitget,gate,bitget,76,-90.48,-28.97,91.76613616268789,119.39655172413792,25.090000000000003,0.09000000000000163,-61.50999999999999,-108.63,-0.5,4.675,17.695,0.07894736842105263,-0.6113479090770886,-14.672349817850126,-4.890783272616709,-53.55407683515296
long gate / short hyperliquid,gate,hyperliquid,109,-5.214915000000001,-5.133502000000001,481.95420251336776,910.9877917473245,-25.133502,-21.599765,4.9185870000000005,24.848587000000006,0.0625,2.604211399999999,4.3054898800000005,0.5596330275229358,-0.059941555934592064,-1.4385973424302096,-0.4795324474767365,-5.250880299870265
long gate / short okx,gate,okx,55,-58.62090209370498,25.749198720348,123.83316764457525,199.32184020538526,51.081679537358006,56.69553534476201,-84.37010081405299,-109.46187937845899,-2.21,11.181985109272299,19.12148094680449,0.16363636363636364,-0.40708959787295124,-9.77015034895083,-3.25671678298361,-35.66104877367052
long hyperliquid / short binance,hyperliquid,binance,108,21.506013999999997,16.6537,229.92266256313238,361.37008931548183,49.4472,66.71150200000001,-7.136786000000001,-34.275386,-0.0625,6.223284999999997,11.648612999999965,0.3611111111111111,0.25006992053992555,6.001678092958214,2.0005593643194044,21.90612503929748
long hyperliquid / short bitget,hyperliquid,bitget,102,16.464204,20.53,359.52847765977634,480.29797857218006,59.193502,53.169765000000005,-20.815796000000002,-38.25593,-0.0625,3.8744999999999896,16.680899999999966,0.27450980392156865,0.20078295928593826,4.818791022862518,1.606263674287506,17.588587233448195
long hyperliquid / short gate,hyperliquid,gate,109,5.214915000000001,5.133502000000001,481.95420251336776,910.9877917473245,25.133502,21.599765,-4.9185870000000005,-24.848587000000006,-0.0625,4.753999999999998,5.0,0.44036697247706424,0.059941555934592064,1.4385973424302096,0.4795324474767365,5.250880299870265
long hyperliquid / short okx,hyperliquid,okx,88,15.189489922313996,13.47564728786,360.339854802226,560.0074635489896,35.920164613599,57.301919922314,1.7138426344540019,-20.730674691284996,-0.0625,8.162118676898382,11.85786835801681,0.32954545454545453,0.19473702670680726,4.673688640963374,1.557896213654458,17.058963539516316
long okx / short binance,okx,binance,277,-550.814955676891,-100.0,63.65147318721037,110.18936316597704,18.415366176178992,-30.935691883325006,-450.87322185307,-614.840610222014,0.0,29.38671999999997,54.582804000000046,0.2996389891696751,-0.5400146625753874,-12.960351901809299,-4.3201173006030995,-47.30528444160394
long okx / short bitget,okx,bitget,157,-578.8752964851831,-51.280565781914,40.34584132445976,69.4719432120342,-135.671454140556,-228.595262796829,-477.594730703269,-407.41416355773396,-0.41457711260700003,19.305117462359185,32.27586458672662,0.21656050955414013,-0.5675248004756697,-13.620595211416072,-4.540198403805357,-49.71517252166866
long okx / short gate,okx,gate,55,58.62090209370498,-25.749198720348,123.83316764457525,199.32184020538526,-51.081679537358006,-56.69553534476201,84.37010081405299,109.46187937845899,2.21,6.322043197649887,10.30006049956626,0.7636363636363637,0.40708959787295124,9.77015034895083,3.25671678298361,35.66104877367052
long okx / short hyperliquid,okx,hyperliquid,88,-15.189489922313996,-13.47564728786,360.339854802226,560.0074635489896,-35.920164613599,-57.301919922314,-1.7138426344540019,20.730674691284996,0.0625,2.8030483,5.114715545648267,0.6590909090909091,-0.19473702670680726,-4.673688640963374,-1.557896213654458,-17.058963539516316
