exchange,endpoint,request_start,request_end,page_cursor,interval,contract_or_coin,row_count,min_timestamp,max_timestamp,http_status,raw_file,warning
gate,https://api.gateio.ws/api/v4/futures/usdt/candlesticks,1784682844,1784789652,1784789652,1m,mark_SKHYNIX_USDT,1781,2026-07-22 01:14:00+00:00,2026-07-23 06:54:00+00:00,200.0,data/raw/gate/046cbea1a5d137cfec8cedc1cecccaaf27c4fc061280237816db29e7fb39c93f.json,
gate,https://api.gateio.ws/api/v4/futures/usdt/candlesticks,1784226840,1784340840,1784340840,1m,index_SKHYNIX_USDT,1901,2026-07-16 18:34:00+00:00,2026-07-18 02:14:00+00:00,200.0,data/raw/gate/0605dbb2d58183b4f95f59f306e28dd632eefec546bc1af1408f3b040c6b326a.json,
gate,https://api.gateio.ws/api/v4/futures/usdt/candlesticks,1784797680,1784797733,1784797733,1m,mark_SKHYNIX_USDT,1,2026-07-23 09:08:00+00:00,2026-07-23 09:08:00+00:00,200.0,data/raw/gate/0d1f3dd83c0ca82f63841f9577321cdf0541dabe139d14fdeb352a5746637b44.json,
gate,https://api.gateio.ws/api/v4/futures/usdt/candlesticks,1784226840,1784340840,1784340840,1m,mark_SKHYNIX_USDT,1901,2026-07-16 18:34:00+00:00,2026-07-18 02:14:00+00:00,200.0,data/raw/gate/1e03651809df4ba755092f6a01b5a64c3a52579e25c12c4a7a311a8ee85bb2d4.json,
gate,https://api.gateio.ws/api/v4/futures/usdt/candlesticks,1784454842,1784568842,1784568842,1m,mark_SKHYNIX_USDT,1901,2026-07-19 09:54:00+00:00,2026-07-20 17:34:00+00:00,200.0,data/raw/gate/276b72345d264e99fb0c35f073965d2a7fea2a5b0d63de6a0fb969c2a6732948.json,
gate,https://api.gateio.ws/api/v4/futures/usdt/candlesticks,1782781200,1784491199,1784491199,15m,mark_SKHYNIX_USDT,1900,2026-06-30 01:00:00+00:00,2026-07-19 19:45:00+00:00,200.0,data/raw/gate/27b2944c3216b3aaefb2b4f7afe5b3da3b5c27dad6c185ea702accc4f9bba0b9.json,
gate,https://api.gateio.ws/api/v4/futures/usdt/candlesticks,1784568843,1784682843,1784682843,1m,SKHYNIX_USDT,1901,2026-07-20 17:34:00+00:00,2026-07-22 01:14:00+00:00,200.0,data/raw/gate/2b323dfb0eb7fb3290637784865ce0e60a709187bdfdb60351674d62413e4ea0.json,
gate,https://api.gateio.ws/api/v4/futures/usdt/candlesticks,1784789700,1784791229,1784791229,1m,index_SKHYNIX_USDT,26,2026-07-23 06:55:00+00:00,2026-07-23 07:20:00+00:00,200.0,data/raw/gate/358e6639966a2e22b201a58e78cd5b021664c9becf3810dce54d71bbb2ceb1d6.json,
gate,https://api.gateio.ws/api/v4/futures/usdt/candlesticks,1784682844,1784789652,1784789652,1m,SKHYNIX_USDT,1781,2026-07-22 01:14:00+00:00,2026-07-23 06:54:00+00:00,200.0,data/raw/gate/3eaa753e9ce0f020774c85deb7958a4d65fe97793c7033fcb7f06dfe44e770c2.json,
gate,https://api.gateio.ws/api/v4/futures/usdt/candlesticks,1784794680,1784794787,1784794787,1m,mark_SKHYNIX_USDT,2,2026-07-23 08:18:00+00:00,2026-07-23 08:19:00+00:00,200.0,data/raw/gate/407cd30c0f71e9a4bc91d2d5cd3489687ab8a7b255e20783b18736f38fcba1f3.json,
gate,https://api.gateio.ws/api/v4/futures/usdt/candlesticks,1782781200,1784491199,1784491199,15m,index_SKHYNIX_USDT,1900,2026-06-30 01:00:00+00:00,2026-07-19 19:45:00+00:00,200.0,data/raw/gate/421281f79296cf52c5676147f8454f34fb81c656be3b3a25a476eb56a0f52f4d.json,
