pair,regime,threshold_bps,event_start,event_end,duration_minutes,peak_abs_spread_bps,peak_time,spread_at_end_bps
binance/gate,GATE_REGIME_20260716_19,20,2026-07-16 18:34:00+00:00,2026-07-17 19:38:00+00:00,1505,189.71583777443942,2026-07-16 20:47:00+00:00,-26.867951443953377
binance/gate,GATE_REGIME_20260716_19,20,2026-07-17 19:41:00+00:00,2026-07-18 14:08:00+00:00,1108,47.50677439059146,2026-07-18 01:04:00+00:00,-22.683224421760055
binance/gate,GATE_REGIME_20260716_19,20,2026-07-18 14:11:00+00:00,2026-07-18 16:22:00+00:00,132,25.2072268018042,2026-07-18 15:42:00+00:00,-21.17206645133481
binance/gate,GATE_REGIME_20260716_19,20,2026-07-18 16:59:00+00:00,2026-07-18 17:01:00+00:00,3,21.168060519832515,2026-07-18 17:01:00+00:00,-21.168060519832515
binance/gate,GATE_REGIME_20260716_19,20,2026-07-18 17:11:00+00:00,2026-07-18 17:12:00+00:00,2,22.040462587426994,2026-07-18 17:11:00+00:00,-20.070463836238442
binance/gate,GATE_REGIME_20260716_19,20,2026-07-18 17:15:00+00:00,2026-07-18 17:15:00+00:00,1,21.114186039437794,2026-07-18 17:15:00+00:00,-21.114186039437794
binance/gate,GATE_REGIME_20260716_19,20,2026-07-18 17:21:00+00:00,2026-07-18 17:26:00+00:00,6,23.50940764774501,2026-07-18 17:24:00+00:00,-23.44763162596958
binance/gate,GATE_REGIME_20260716_19,20,2026-07-18 17:29:00+00:00,2026-07-18 17:36:00+00:00,8,23.705479230874616,2026-07-18 17:30:00+00:00,-20.793367002926495
binance/gate,GATE_REGIME_20260716_19,20,2026-07-18 18:02:00+00:00,2026-07-18 18:06:00+00:00,5,22.181146025879585,2026-07-18 18:03:00+00:00,-20.443226550097965
binance/gate,GATE_REGIME_20260716_19,20,2026-07-18 18:28:00+00:00,2026-07-18 18:29:00+00:00,2,22.15764878649042,2026-07-18 18:28:00+00:00,-21.00712679797631
binance/gate,GATE_REGIME_20260716_19,20,2026-07-18 18:42:00+00:00,2026-07-18 18:42:00+00:00,1,20.283181064389563,2026-07-18 18:42:00+00:00,-20.283181064389563
binance/gate,GATE_REGIME_20260716_19,20,2026-07-18 18:48:00+00:00,2026-07-18 18:51:00+00:00,4,20.615918688589158,2026-07-18 18:50:00+00:00,-20.460561201817963
binance/gate,GATE_REGIME_20260716_19,20,2026-07-18 19:18:00+00:00,2026-07-18 19:28:00+00:00,11,23.999582615954427,2026-07-18 19:24:00+00:00,-20.018277557769746
binance/gate,GATE_REGIME_20260716_19,20,2026-07-18 19:37:00+00:00,2026-07-18 19:37:00+00:00,1,21.079207508362785,2026-07-18 19:37:00+00:00,-21.079207508362785
binance/gate,GATE_REGIME_20260716_19,20,2026-07-18 19:50:00+00:00,2026-07-18 19:52:00+00:00,3,21.39186239641066,2026-07-18 19:52:00+00:00,-21.39186239641066
binance/gate,GATE_REGIME_20260716_19,20,2026-07-18 19:57:00+00:00,2026-07-18 20:03:00+00:00,7,22.517725101176907,2026-07-18 19:57:00+00:00,-20.71823078444958
binance/gate,GATE_REGIME_20260716_19,20,2026-07-18 21:00:00+00:00,2026-07-18 21:07:00+00:00,8,21.413073748870094,2026-07-18 21:05:00+00:00,-20.42723341373761
binance/gate,GATE_REGIME_20260716_19,20,2026-07-18 22:01:00+00:00,2026-07-18 22:01:00+00:00,1,20.63894586687778,2026-07-18 22:01:00+00:00,-20.63894586687778
binance/gate,GATE_REGIME_20260716_19,20,2026-07-19 00:52:00+00:00,2026-07-19 00:52:00+00:00,1,25.798460292268697,2026-07-19 00:52:00+00:00,-25.798460292268697
binance/gate,GATE_REGIME_20260716_19,20,2026-07-19 04:33:00+00:00,2026-07-19 04:43:00+00:00,11,21.466355484053654,2026-07-19 04:40:00+00:00,-21.308295378816418
binance/gate,GATE_REGIME_20260716_19,20,2026-07-19 04:48:00+00:00,2026-07-19 04:48:00+00:00,1,20.017814609182658,2026-07-19 04:48:00+00:00,-20.017814609182658
binance/gate,GATE_REGIME_20260716_19,20,2026-07-19 05:02:00+00:00,2026-07-19 05:02:00+00:00,1,20.330368487929615,2026-07-19 05:02:00+00:00,-20.330368487929615
