pair,long_exchange,short_exchange,regime,window_start,window_end,long_event_count,short_event_count,sum_funding_long,sum_funding_short,net_funding_pnl_per_1usd,theoretical_cashflow_10000usd
long binance / short gate,binance,gate,PRE_GATE_REGIME,,,,,,,,
long binance / short gate,binance,gate,GATE_REGIME_20260716_19,2026-07-16 18:34:00+00:00,2026-07-20 00:00:00+00:00,19.0,19.0,-0.002199,0.008141,0.01034,103.4
long binance / short gate,binance,gate,POST_GATE_REGIME,2026-07-20 00:00:00+00:00,2026-07-23 08:00:00.001000+00:00,20.0,20.0,0.00622034,0.004249,-0.0019713400000000002,-19.713400000000004
long bitget / short gate,bitget,gate,PRE_GATE_REGIME,,,,,,,,
long bitget / short gate,bitget,gate,GATE_REGIME_20260716_19,2026-07-16 18:34:00+00:00,2026-07-20 00:00:00+00:00,19.0,19.0,-0.002897,0.008141,0.011038000000000001,110.38000000000001
long bitget / short gate,bitget,gate,POST_GATE_REGIME,2026-07-20 00:00:00+00:00,2026-07-23 04:00:00+00:00,19.0,19.0,0.006099,0.004109,-0.0019900000000000004,-19.900000000000006
long gate / short binance,gate,binance,PRE_GATE_REGIME,,,,,,,,
long gate / short binance,gate,binance,GATE_REGIME_20260716_19,2026-07-16 18:34:00+00:00,2026-07-20 00:00:00+00:00,19.0,19.0,0.008141,-0.002199,-0.01034,-103.4
long gate / short binance,gate,binance,POST_GATE_REGIME,2026-07-20 00:00:00+00:00,2026-07-23 08:00:00.001000+00:00,20.0,20.0,0.004249,0.00622034,0.0019713400000000002,19.713400000000004
long gate / short bitget,gate,bitget,PRE_GATE_REGIME,,,,,,,,
long gate / short bitget,gate,bitget,GATE_REGIME_20260716_19,2026-07-16 18:34:00+00:00,2026-07-20 00:00:00+00:00,19.0,19.0,0.008141,-0.002897,-0.011038000000000001,-110.38000000000001
long gate / short bitget,gate,bitget,POST_GATE_REGIME,2026-07-20 00:00:00+00:00,2026-07-23 04:00:00+00:00,19.0,19.0,0.004109,0.006099,0.0019900000000000004,19.900000000000006
long gate / short hyperliquid,gate,hyperliquid,PRE_GATE_REGIME,,,,,,,,
long gate / short hyperliquid,gate,hyperliquid,GATE_REGIME_20260716_19,2026-07-19 16:05:00+00:00,2026-07-20 00:00:00+00:00,1.0,7.0,0.0005,0.00026198489999999997,-0.00023801510000000004,-2.3801510000000006
long gate / short hyperliquid,gate,hyperliquid,POST_GATE_REGIME,2026-07-20 00:00:00+00:00,2026-07-23 08:00:00.021000+00:00,20.0,80.0,0.004249,0.0040146737,-0.00023432630000000051,-2.343263000000005
long gate / short okx,gate,okx,PRE_GATE_REGIME,,,,,,,,
long gate / short okx,gate,okx,GATE_REGIME_20260716_19,2026-07-16 18:34:00+00:00,2026-07-20 00:00:00+00:00,19.0,9.0,0.008141,0.0006737311983980999,-0.0074672688016019,-74.67268801601901
long gate / short okx,gate,okx,POST_GATE_REGIME,2026-07-20 00:00:00+00:00,2026-07-23 00:00:00+00:00,18.0,9.0,0.004059,0.0056641785922314,0.0016051785922313998,16.051785922314
long hyperliquid / short gate,hyperliquid,gate,PRE_GATE_REGIME,,,,,,,,
long hyperliquid / short gate,hyperliquid,gate,GATE_REGIME_20260716_19,2026-07-19 16:05:00+00:00,2026-07-20 00:00:00+00:00,7.0,1.0,0.00026198489999999997,0.0005,0.00023801510000000004,2.3801510000000006
long hyperliquid / short gate,hyperliquid,gate,POST_GATE_REGIME,2026-07-20 00:00:00+00:00,2026-07-23 08:00:00.021000+00:00,80.0,20.0,0.0040146737,0.004249,0.00023432630000000051,2.343263000000005
long okx / short gate,okx,gate,PRE_GATE_REGIME,,,,,,,,
long okx / short gate,okx,gate,GATE_REGIME_20260716_19,2026-07-16 18:34:00+00:00,2026-07-20 00:00:00+00:00,9.0,19.0,0.0006737311983980999,0.008141,0.0074672688016019,74.67268801601901
long okx / short gate,okx,gate,POST_GATE_REGIME,2026-07-20 00:00:00+00:00,2026-07-23 00:00:00+00:00,9.0,18.0,0.0056641785922314,0.004059,-0.0016051785922313998,-16.051785922314
