pair,regime,pair_price_start,pair_price_end,regime_effective_start,regime_effective_end,count,valid_minutes,coverage_percent,mean_bps,median_bps,std_bps,p05_bps,p25_bps,p75_bps,p95_bps,p99_bps,mean_abs_bps,p95_abs_bps,p99_abs_bps,max_abs_bps,percent_gate_higher,longest_event_over_20bps_minutes,longest_event_over_50bps_minutes,longest_event_over_100bps_minutes
binance/gate,PRE_GATE_REGIME,2026-07-16 18:34:00+00:00,2026-07-23 08:25:00+00:00,,,0,0,,,,,,,,,,,,,,,,,
binance/gate,GATE_REGIME_20260716_19,2026-07-16 18:34:00+00:00,2026-07-23 08:25:00+00:00,2026-07-16 18:34:00+00:00,2026-07-20 00:00:00+00:00,4646,4646,100.0,-52.29240454117093,-29.94488685247527,49.56184371278345,-171.16874874620777,-88.66765877270367,-17.541818844665436,-10.096273358050398,-6.064186844782001,52.30279051760373,171.16874874620777,181.87135041257483,189.71583777443942,99.89238054240207,1505.0,1234.0,652.0
binance/gate,POST_GATE_REGIME,2026-07-16 18:34:00+00:00,2026-07-23 08:25:00+00:00,2026-07-20 00:00:00+00:00,2026-07-23 08:25:00+00:00,4825,4825,100.0,-6.78535898066116,-6.447390203626385,7.07639962300383,-18.74005707845748,-11.06740648789329,-1.9228180821812448,3.7059426065913317,8.593539442388689,7.79675338054765,18.88191456747375,26.930132032865792,56.53001905671308,84.16580310880829,49.0,1.0,
bitget/gate,PRE_GATE_REGIME,2026-07-16 18:34:00+00:00,2026-07-23 08:24:00+00:00,,,0,0,,,,,,,,,,,,,,,,,
bitget/gate,GATE_REGIME_20260716_19,2026-07-16 18:34:00+00:00,2026-07-23 08:24:00+00:00,2026-07-16 18:34:00+00:00,2026-07-20 00:00:00+00:00,4646,4646,100.0,-40.07638816763919,-16.87102935772391,51.03849040783091,-170.27780884250384,-76.99576013792918,-4.198928483228999,2.9439686055383434,6.3237563185066845,40.806459373151114,170.27780884250384,179.0782824467979,189.13239267487296,86.5260439087387,1493.0,1155.0,377.0
bitget/gate,POST_GATE_REGIME,2026-07-16 18:34:00+00:00,2026-07-23 08:24:00+00:00,2026-07-20 00:00:00+00:00,2026-07-23 08:24:00+00:00,4824,4824,100.0,7.920982324808885,8.687086896772309,8.687808590511596,-7.82068295748217,2.9989386211357285,13.734361850395125,20.5731846584444,24.839618933549072,9.945386727913627,20.835435945175742,25.334402226953372,47.728713994860215,15.257048092868988,32.0,,
gate/hyperliquid,PRE_GATE_REGIME,2026-07-19 16:05:00+00:00,2026-07-23 08:25:00+00:00,,,0,0,,,,,,,,,,,,,,,,,
gate/hyperliquid,GATE_REGIME_20260716_19,2026-07-19 16:05:00+00:00,2026-07-23 08:25:00+00:00,2026-07-19 16:05:00+00:00,2026-07-20 00:00:00+00:00,475,475,100.0,67.67484787929823,67.19301192675962,9.845408385838194,50.17394471984515,63.23777414274919,72.35098961364915,85.46088207410193,89.64682767253204,67.67484787929823,85.46088207410193,89.64682767253204,100.24007075769585,100.0,475.0,426.0,1.0
gate/hyperliquid,POST_GATE_REGIME,2026-07-19 16:05:00+00:00,2026-07-23 08:25:00+00:00,2026-07-20 00:00:00+00:00,2026-07-23 08:25:00+00:00,4825,4825,100.0,26.352999164206107,26.218567512810985,10.118696126918378,9.889691955301416,19.70119848957553,33.126293995859214,43.24756925066991,49.31831511290364,26.36527149501944,43.24756925066991,49.31831511290364,78.55590840715246,99.66839378238342,469.0,9.0,
gate/okx,PRE_GATE_REGIME,2026-07-16 18:34:00+00:00,2026-07-23 07:04:00+00:00,,,0,0,,,,,,,,,,,,,,,,,
gate/okx,GATE_REGIME_20260716_19,2026-07-16 18:34:00+00:00,2026-07-23 07:04:00+00:00,2026-07-16 18:34:00+00:00,2026-07-20 00:00:00+00:00,4646,4646,100.0,68.77794926867836,41.672765547387044,54.29175078529564,21.743543547267496,28.774065141210375,110.59131333203314,196.7943262447992,203.2393345118999,68.77922505555479,196.7943262447992,203.2393345118999,207.6481374452712,99.97847610848042,2865.0,1603.0,1144.0
gate/okx,POST_GATE_REGIME,2026-07-16 18:34:00+00:00,2026-07-23 07:04:00+00:00,2026-07-20 00:00:00+00:00,2026-07-23 07:04:00+00:00,4744,4744,100.0,15.057009777903039,15.036980694677723,8.15591056338582,1.9633283061983677,10.030518138310619,19.972167270488974,28.073645746939214,36.9786927719397,15.315478892349017,28.073645746939214,36.9786927719397,57.60320574362286,96.88026981450253,109.0,3.0,
