session,strategy_direction,event_count,median_combined_pnl_bps,total_funding_pnl_bps,median_holding_minutes,max_mae_bps
BOTH_PRIMARY_MARKETS_CLOSED,funding_optimal_trailing_24h,5665,-2.2855055486065807,18522.59955562161,367.0,245.39444161490124
BOTH_PRIMARY_MARKETS_CLOSED,price_convergence,5665,6.847905185901672,-42234.31170181506,376.0,330.1345828806312
KRX_CLOSE_TRANSITION,funding_optimal_trailing_24h,924,3.2075111210618164,1364.641686402668,480.0,302.93487889548453
KRX_CLOSE_TRANSITION,price_convergence,924,2.5459799713752655,-4125.909184327102,480.0,302.93487889548453
KRX_HOLIDAY_OR_WEEKEND,funding_optimal_trailing_24h,25179,2.360512839872431,392097.6616189833,1440.0,124.09147160284226
KRX_HOLIDAY_OR_WEEKEND,price_convergence,25179,2.7357735379772734,-274143.6841643957,1440.0,220.69001828424
KRX_OFFICIAL_AFTER_HOURS,funding_optimal_trailing_24h,8679,3.082810761469368,44926.13220718016,735.0,367.5167776420295
KRX_OFFICIAL_AFTER_HOURS,price_convergence,8679,3.6463820794114667,-53408.44846519907,480.0,334.1358746591529
KRX_REGULAR_EARLIER,funding_optimal_trailing_24h,28215,-2.001889295673376,51585.61394782018,480.0,310.3969860464477
KRX_REGULAR_EARLIER,price_convergence,28215,9.847497801973422,-13003.320054862656,480.0,331.42974357791417
PRE_CLOSE_BASELINE,funding_optimal_trailing_24h,3443,2.438904921685708,13980.679205130848,480.0,356.2796814000836
PRE_CLOSE_BASELINE,price_convergence,3443,7.0651225336718095,-7799.982566678241,480.0,308.22815597449255
US_AFTER_HOURS,funding_optimal_trailing_24h,14443,-2.0900308889596104,70293.13748019974,403.0,286.118601277713
US_AFTER_HOURS,price_convergence,14443,9.23359376081142,-86730.98163473587,474.0,305.9008066044732
US_PREMARKET,funding_optimal_trailing_24h,15059,-0.10174056403150189,81508.94566154871,489.0,563.3983047868604
US_PREMARKET,price_convergence,15059,5.134378804149242,-129621.96296353066,612.0,334.3888647578964
US_REGULAR,funding_optimal_trailing_24h,25443,-1.2970639042197503,90003.52459575482,480.0,359.90480528299315
US_REGULAR,price_convergence,25443,8.681063089352147,-149809.88595210918,480.0,334.3728500631424
