rank,base_event_id,pair,event_start,event_end,duration_observed_minutes,status,peak_abs_spread_bps,start_session,start_regime,higher_exchange_at_peak,lower_exchange_at_peak,warning
1,BE-39f7457215142c2356c0,bitget/okx,2026-06-19 08:22:00+00:00,2026-06-25 07:00:00+00:00,8559,COMPLETED,176.90675957206494,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
2,BE-21727a88697c07c91251,binance/bitget,2026-06-22 00:01:00+00:00,2026-06-26 08:10:00+00:00,6250,COMPLETED,350.305916170873,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,bitget,binance,historical_mark_trade_proxy_not_executable_BBO
3,BE-4587b02eff98a1e7c8e4,bitget/okx,2026-07-10 08:12:00+00:00,2026-07-13 01:50:00+00:00,3939,COMPLETED,70.93605333315372,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
4,BE-9daad2a6ab1a3e1c6533,binance/bitget,2026-06-19 06:10:00+00:00,2026-06-21 23:25:00+00:00,3916,COMPLETED,82.03284582073793,PRE_CLOSE_BASELINE,PRE_GATE_REGIME,bitget,binance,historical_mark_trade_proxy_not_executable_BBO
5,BE-b2fc20045dd4231c0cb9,bitget/okx,2026-06-26 14:01:00+00:00,2026-06-28 16:00:00+00:00,3000,COMPLETED,83.20952660680302,US_REGULAR,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
6,BE-45b6bffab45939eb7a74,gate/okx,2026-07-16 18:34:00+00:00,2026-07-18 18:18:00+00:00,2865,COMPLETED,207.6481374452712,US_REGULAR,GATE_REGIME_20260716_19,gate,okx,historical_mark_trade_proxy_not_executable_BBO
7,BE-7b6879be22a067f13698,bitget/okx,2026-07-13 03:17:00+00:00,2026-07-15 01:14:00+00:00,2758,COMPLETED,291.3502492644481,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
8,BE-d60182c1b14075cb10e4,binance/bitget,2026-06-26 14:00:00+00:00,2026-06-28 11:13:00+00:00,2714,COMPLETED,88.76617301417032,US_REGULAR,PRE_GATE_REGIME,bitget,binance,historical_mark_trade_proxy_not_executable_BBO
9,BE-19802bd42c0cb2d0d8cf,bitget/okx,2026-06-13 03:59:00+00:00,2026-06-15 00:22:00+00:00,2664,COMPLETED,125.87814368911738,KRX_HOLIDAY_OR_WEEKEND,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
10,BE-b516bc38b80d7eff413e,bitget/okx,2026-06-10 09:26:00+00:00,2026-06-11 12:44:00+00:00,1639,COMPLETED,114.87394250445735,US_PREMARKET,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
11,BE-67324259b61260f832f5,binance/okx,2026-07-13 03:47:00+00:00,2026-07-14 07:02:00+00:00,1636,COMPLETED,240.72114774218164,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,binance,okx,historical_mark_trade_proxy_not_executable_BBO
12,BE-df14c4cb70523e5ff7a9,binance/gate,2026-07-16 18:34:00+00:00,2026-07-17 19:38:00+00:00,1505,COMPLETED,189.71583777443942,US_REGULAR,GATE_REGIME_20260716_19,gate,binance,historical_mark_trade_proxy_not_executable_BBO
