metric,pair,old_value,corrected_value,absolute_change,percent_change,reason_for_change
平均价差,binance/bitget,-24.499171036384446,-24.499514275570224,-0.00034323918577783274,-0.0014010236724666236,严格 pair 左闭右开共同窗口
中位价差,binance/bitget,-19.7063861101522,-19.7068510062392,-0.0004648960870028418,-0.002359113864938127,严格 pair 左闭右开共同窗口
P95 绝对价差,binance/bitget,59.535037074778366,59.53518269403298,0.00014561925461720193,0.00024459421169806007,严格 pair 左闭右开共同窗口
P99 绝对价差,binance/bitget,80.01426409796109,80.01435952547865,9.542751756441703e-05,0.00011926313219301195,严格 pair 左闭右开共同窗口
最大绝对价差,binance/bitget,354.4050070074069,354.4050070074069,0.0,0.0,严格 pair 左闭右开共同窗口
覆盖率,binance/bitget,100.0,100.0,0.0,0.0,严格 pair 左闭右开共同窗口
事件数量,binance/bitget,1587.0,1587.0,0.0,0.0,严格共同分钟；事件按全局连续段去重
最长事件持续时间,binance/bitget,6250.0,6250.0,0.0,0.0,严格共同分钟
平均价差,binance/gate,-28.984459041615523,-6.745822325083912,22.23863671653161,76.72607132188203,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
中位价差,binance/gate,-13.460046381433164,-6.367550814323103,7.092495567110062,52.69295042618482,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
P95 绝对价差,binance/gate,130.79690316847382,18.79350222503895,-112.00340094343487,-85.63153884398022,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
P99 绝对价差,binance/gate,179.23728246765592,26.921394507876904,-152.31588795977902,-84.98002528422903,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
最大绝对价差,binance/gate,189.71583777443942,56.53001905671308,-133.18581871772633,-70.20279396814311,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
覆盖率,binance/gate,100.0,100.0,0.0,0.0,严格 pair 左闭右开共同窗口；Gate 主长期对照排除 7月16–19 regime
事件数量,binance/gate,126.0,126.0,0.0,0.0,严格共同分钟；事件按全局连续段去重
最长事件持续时间,binance/gate,1505.0,49.0,-1456.0,-96.74418604651163,严格共同分钟；Gate 排除异常 regime
平均价差,binance/hyperliquid,22.03244484372419,22.03206586222541,-0.00037898149878046183,-0.0017201064224536683,严格 pair 左闭右开共同窗口
中位价差,binance/hyperliquid,20.718188909384594,20.717783273639384,-0.0004056357452100201,-0.001957872606452979,严格 pair 左闭右开共同窗口
P95 绝对价差,binance/hyperliquid,46.02416085892589,46.026682327515104,0.0025214685892152033,0.005478575909170958,严格 pair 左闭右开共同窗口
P99 绝对价差,binance/hyperliquid,56.305961630347895,56.30766510664584,0.0017034762979477591,0.0030253924249286175,严格 pair 左闭右开共同窗口
最大绝对价差,binance/hyperliquid,111.94326554994065,111.94326554994065,0.0,0.0,严格 pair 左闭右开共同窗口
覆盖率,binance/hyperliquid,100.0,100.0,0.0,0.0,严格 pair 左闭右开共同窗口
事件数量,binance/hyperliquid,150.0,150.0,0.0,0.0,严格共同分钟；事件按全局连续段去重
最长事件持续时间,binance/hyperliquid,482.0,482.0,0.0,0.0,严格共同分钟
平均价差,binance/okx,13.24063946798164,13.240586470853323,-5.299712831785541e-05,-0.0004002610934767346,严格 pair 左闭右开共同窗口
中位价差,binance/okx,11.123297715996674,11.123245098609864,-5.261738681028305e-05,-0.00047303765622143477,严格 pair 左闭右开共同窗口
P95 绝对价差,binance/okx,48.15573883429213,48.15628536564679,0.0005465313546579864,0.001134924658800576,严格 pair 左闭右开共同窗口
P99 绝对价差,binance/okx,91.80217202775667,91.80217202775667,0.0,0.0,严格 pair 左闭右开共同窗口
最大绝对价差,binance/okx,331.89687645852933,331.89687645852933,0.0,0.0,严格 pair 左闭右开共同窗口
