pair,long_exchange,short_exchange,pair_price_start,pair_price_end,pair_funding_start,pair_funding_end,joint_start,joint_end,joint_duration_hours,long_funding_event_count,short_funding_event_count,sum_funding_long,sum_funding_short,net_funding_pnl_per_1usd,theoretical_cashflow_10000usd
long binance / short bitget,binance,bitget,2026-06-10 05:50:00+00:00,2026-07-23 08:24:00+00:00,2026-06-10 08:00:00.001000+00:00,2026-07-23 04:00:00+00:00,2026-06-10 08:00:00.001000+00:00,2026-07-23 04:00:00+00:00,1027.9999997222221,154,154,0.07936521999999999,0.075813,-0.003552219999999981,-35.522199999999806
long binance / short gate,binance,gate,2026-07-16 18:34:00+00:00,2026-07-23 08:25:00+00:00,2026-06-10 08:00:02+00:00,2026-07-23 08:00:00.001000+00:00,2026-07-16 18:34:00+00:00,2026-07-23 08:00:00.001000+00:00,157.43333361111112,39,39,0.00402134,0.012389999999999998,0.008368659999999998,83.68659999999998
long binance / short hyperliquid,binance,hyperliquid,2026-07-19 16:05:00+00:00,2026-07-23 08:25:00+00:00,2026-06-10 08:00:00.001000+00:00,2026-07-23 08:00:00.001000+00:00,2026-07-19 16:05:00+00:00,2026-07-23 08:00:00.001000+00:00,87.91666694444444,21,87,0.00642726,0.0042766586,-0.0021506013999999995,-21.506013999999997
long binance / short okx,binance,okx,2026-06-10 05:50:00+00:00,2026-07-23 07:04:00+00:00,2026-06-10 08:00:00.001000+00:00,2026-07-23 00:00:00+00:00,2026-06-10 08:00:00.001000+00:00,2026-07-23 00:00:00+00:00,1023.9999997222221,153,131,0.07936521999999999,0.13444671556768908,0.0550814955676891,550.814955676891
long bitget / short binance,bitget,binance,2026-06-10 05:50:00+00:00,2026-07-23 08:24:00+00:00,2026-06-10 08:00:00.001000+00:00,2026-07-23 04:00:00+00:00,2026-06-10 08:00:00.001000+00:00,2026-07-23 04:00:00+00:00,1027.9999997222221,154,154,0.075813,0.07936521999999999,0.003552219999999981,35.522199999999806
long bitget / short gate,bitget,gate,2026-07-16 18:34:00+00:00,2026-07-23 08:24:00+00:00,2026-06-10 08:00:02+00:00,2026-07-23 04:00:00+00:00,2026-07-16 18:34:00+00:00,2026-07-23 04:00:00+00:00,153.43333333333334,38,38,0.003202000000000001,0.012249999999999999,0.009047999999999997,90.47999999999998
long bitget / short hyperliquid,bitget,hyperliquid,2026-07-19 16:05:00+00:00,2026-07-23 08:24:00+00:00,2026-06-10 08:00:00+00:00,2026-07-23 04:00:00+00:00,2026-07-19 16:05:00+00:00,2026-07-23 04:00:00+00:00,83.91666666666667,20,83,0.006098999999999999,0.0044525796,-0.0016464203999999993,-16.46420399999999
long bitget / short okx,bitget,okx,2026-06-10 05:50:00+00:00,2026-07-23 07:04:00+00:00,2026-06-10 08:00:00+00:00,2026-07-23 00:00:00+00:00,2026-06-10 08:00:00+00:00,2026-07-23 00:00:00+00:00,1024.0,154,132,0.07681299999999999,0.1347005296485183,0.057887529648518316,578.8752964851832
long gate / short binance,gate,binance,2026-07-16 18:34:00+00:00,2026-07-23 08:25:00+00:00,2026-06-10 08:00:02+00:00,2026-07-23 08:00:00.001000+00:00,2026-07-16 18:34:00+00:00,2026-07-23 08:00:00.001000+00:00,157.43333361111112,39,39,0.012389999999999998,0.00402134,-0.008368659999999998,-83.68659999999998
long gate / short bitget,gate,bitget,2026-07-16 18:34:00+00:00,2026-07-23 08:24:00+00:00,2026-06-10 08:00:02+00:00,2026-07-23 04:00:00+00:00,2026-07-16 18:34:00+00:00,2026-07-23 04:00:00+00:00,153.43333333333334,38,38,0.012249999999999999,0.003202000000000001,-0.009047999999999997,-90.47999999999998
