pair,exchange_A,exchange_B,session,coverage_percent,comparison_quality,count,mean_bps,median_bps,std_bps,min_bps,max_bps,p01_bps,p05_bps,p25_bps,p75_bps,p95_bps,p99_bps,mean_abs_bps,p95_abs_bps,p99_abs_bps,max_abs_bps,percent_A_higher,percent_B_higher
binance/bitget,binance,bitget,ALL,100.0,mark_spread_bps,62130,-24.496526966524833,-19.704224779086353,19.95721772368725,-354.4050070074069,212.47427267170025,-79.67225104420423,-59.43040772642078,-35.16839685796971,-11.60535280377549,-3.0849453164331764,2.980090374787742,24.78765606228747,59.53443460193554,80.0131189677497,354.4050070074069,2.2066634476098503,97.78206985353292
binance/bitget,binance,bitget,PRE_CLOSE_BASELINE,2.0601963624657977,mark_spread_bps,1280,-24.24240491100658,-19.414783630774938,18.9342425266383,-107.11397702672944,41.075722765299986,-75.41214930253994,-59.47868687523286,-37.28327603808696,-9.902574831834968,-1.6591535060169322,2.278102109384756,24.51259326631339,59.47868687523285,75.41214930253996,107.11397702672944,2.65625,97.34375
binance/bitget,binance,bitget,AFTER_CLOSE_ALL,52.663769515531946,mark_spread_bps,32720,-25.368611319257962,-20.010887616160776,22.93782209070036,-354.4050070074069,212.47427267170025,-95.9623023847631,-63.519791115169326,-34.61406960611244,-11.294238152790827,-2.400663379000472,4.895043539229195,25.838762657403194,63.682347374076485,97.12159418850634,354.4050070074069,2.9278728606356967,97.05684596577017
binance/bitget,binance,bitget,KRX_OFFICIAL_AFTER_HOURS,7.210687268630291,mark_spread_bps,4480,-25.48732460525649,-19.20122085216309,21.589508217603115,-128.12824357052259,52.573568460284875,-102.74147684682738,-64.3939182943357,-36.22922768327928,-10.163918687926428,-1.5882707170960966,2.8179515559363764,25.678968116443553,64.3939182943357,102.7414768468274,128.12824357052259,2.8794642857142856,97.12053571428572
binance/bitget,binance,bitget,KRX_FULLY_CLOSED,44.93803315628521,mark_spread_bps,27920,-25.350048362174665,-20.083078838087637,23.166983116298827,-354.4050070074069,212.47427267170025,-92.67937551488326,-63.415806079660115,-34.22199243429533,-11.547796083155253,-2.63148414350843,5.410456926579997,25.86479481883147,63.57021692928139,95.0998887823475,354.4050070074069,2.9011461318051577,97.08094555873924
binance/bitget,binance,bitget,KRX_HOLIDAY_OR_WEEKEND,27.812650893288268,mark_spread_bps,17280,-23.022203419766466,-19.534733434978218,13.193598978607657,-88.76617301417032,8.187268600311057,-53.289804426723364,-45.60939126282053,-35.61515579039691,-13.169616649545592,-5.627512812065835,-2.4895599692817494,23.030105525152074,45.60939126282053,53.28980442672333,88.76617301417032,0.17939814814814814,99.82060185185185
binance/gate,binance,gate,ALL,100.0,mark_spread_bps,9527,-28.945131452220338,-13.437399633454046,41.74050766962856,-189.71583777443942,30.23058437501773,-179.23337131539472,-130.75493630329677,-29.686213668171284,-6.026587737058692,1.8115511160055084,6.163924894873105,29.472420768188663,130.75493630329674,179.23337131539472,189.71583777443942,8.21874671984885,91.6657919596935
binance/gate,binance,gate,PRE_CLOSE_BASELINE,2.099296735593576,mark_spread_bps,200,-25.41838546261862,-9.523272477083921,39.04103487984206,-119.53842878279087,11.373769757514259,-112.32704564415296,-107.54002053571384,-17.70868130591765,-1.2495016061864794,3.379652181975751,8.998942406089016,26.399056742966433,107.54002053571382,112.32704564415296,119.53842878279087,17.0,83.0
binance/gate,binance,gate,AFTER_CLOSE_ALL,49.301983835415136,mark_spread_bps,4697,-29.234100374407273,-10.10132895609057,48.31631713163669,-189.71583777443942,30.23058437501773,-181.86415406502667,-170.86439304802954,-19.799360305638587,-4.317704551252759,2.1274421783104094,7.932649402007029,29.857419228947194,170.8643930480295,181.86415406502667,189.71583777443942,9.601873536299765,90.22780498190335
binance/gate,binance,gate,KRX_OFFICIAL_AFTER_HOURS,7.347538574577516,mark_spread_bps,700,-23.09025627297455,-8.332992268226828,34.88563378180278,-112.07116371439082,21.843683534845553,-102.04026287059942,-97.0644051760499,-13.527128423255546,-3.626298533573344,2.763686054853003,4.534557372170359,23.79460417957875,97.0644051760499,102.04026287059942,112.07116371439082,13.857142857142858,86.0
