pair,exchange_A,exchange_B,session,pair_price_start,pair_price_end,calendar_minutes,valid_common_minutes,coverage_vs_pair_window_percent,coverage_vs_requested_period_percent,comparison_quality,mean_bps,median_bps,std_bps,p05_bps,p25_bps,p75_bps,p95_bps,p99_bps,mean_abs_bps,p95_abs_bps,p99_abs_bps,max_abs_bps,requested_start,actual_data_start
binance/bitget,binance,bitget,ALL,2026-06-10 05:50:00+00:00,2026-07-23 08:24:00+00:00,62074,62074,100.0,99.99677814292158,mark_spread_bps,-24.50804663618121,-19.714194508961555,19.962387207900584,-59.44100210249628,-35.18381113841524,-11.610068198191271,-3.0821740208361343,2.9820497837294093,24.799438373780408,59.54558324874535,80.02191934014452,354.4050070074069,2026-06-10 05:50:00+00:00,2026-06-10 05:50:00+00:00
binance/bitget,binance,bitget,PRE_CLOSE_BASELINE,2026-06-10 05:50:00+00:00,2026-07-23 08:24:00+00:00,62074,1280,2.062054966652705,2.061988530188801,mark_spread_bps,-24.24240491100658,-19.414783630774934,18.9342425266383,-59.47868687523286,-37.28327603808696,-9.902574831834968,-1.6591535060169322,2.278102109384756,24.51259326631339,59.47868687523285,75.41214930253996,107.11397702672944,2026-06-10 05:50:00+00:00,2026-06-10 05:50:00+00:00
binance/bitget,binance,bitget,AFTER_CLOSE_ALL,2026-06-10 05:50:00+00:00,2026-07-23 08:24:00+00:00,62074,32664,52.62106518026871,52.61936980475546,mark_spread_bps,-25.39199818853309,-20.040521798893337,22.95027834522441,-63.54345990566905,-34.65438552131398,-11.305314633964446,-2.3950149407560475,4.9136241545103765,25.862955566200007,63.68807717335785,97.1704956100876,354.4050070074069,2026-06-10 05:50:00+00:00,2026-06-10 05:50:00+00:00
binance/bitget,binance,bitget,KRX_OFFICIAL_AFTER_HOURS,2026-06-10 05:50:00+00:00,2026-07-23 08:24:00+00:00,62074,4444,7.159197087347359,7.158966428249243,mark_spread_bps,-25.596185076508327,-19.429450727629217,21.641798551877866,-64.4657015697684,-36.40841434381355,-10.146827983156877,-1.5718303551885469,2.8467131720510657,25.789381055382773,64.46570156976838,102.79273927847213,128.1282435705226,2026-06-10 05:50:00+00:00,2026-06-10 05:50:00+00:00
binance/bitget,binance,bitget,KRX_FULLY_CLOSED,2026-06-10 05:50:00+00:00,2026-07-23 08:24:00+00:00,62074,27900,44.94635435125817,44.94490624395902,mark_spread_bps,-25.360228834680544,-20.092092594090744,23.172037760503063,-63.41788133758748,-34.24009469757246,-11.54827711281732,-2.62885293885712,5.41312432399613,25.87534428521309,63.57404858133854,95.10946841726152,354.4050070074069,2026-06-10 05:50:00+00:00,2026-06-10 05:50:00+00:00
binance/bitget,binance,bitget,KRX_HOLIDAY_OR_WEEKEND,2026-06-10 05:50:00+00:00,2026-07-23 08:24:00+00:00,62074,17280,27.837742049811517,27.83684515754881,mark_spread_bps,-23.022203419766463,-19.534733434978214,13.193598978607657,-45.60939126282053,-35.61515579039691,-13.169616649545592,-5.627512812065835,-2.4895599692817494,23.030105525152077,45.60939126282053,53.28980442672333,88.76617301417032,2026-06-10 05:50:00+00:00,2026-06-10 05:50:00+00:00
binance/gate,binance,gate,ALL,2026-07-16 18:34:00+00:00,2026-07-23 08:25:00+00:00,9471,9471,100.0,15.257104194857916,mark_spread_bps,-29.108844745007943,-13.523719892917734,41.80842462110169,-130.89879719101356,-29.79168023930618,-6.134184362803963,1.7424459064840014,6.184066136134021,29.62919436236188,130.89879719101356,179.26980232663607,189.71583777443945,2026-06-10 05:50:00+00:00,2026-07-16 18:34:00+00:00
binance/gate,binance,gate,PRE_CLOSE_BASELINE,2026-07-16 18:34:00+00:00,2026-07-23 08:25:00+00:00,9471,200,2.1117094287825995,0.3221857078420001,mark_spread_bps,-25.41838546261862,-9.52327247708392,39.04103487984206,-107.54002053571384,-17.70868130591765,-1.2495016061864794,3.379652181975751,8.998942406089016,26.399056742966437,107.54002053571382,112.32704564415296,119.53842878279087,2026-06-10 05:50:00+00:00,2026-07-16 18:34:00+00:00
binance/gate,binance,gate,AFTER_CLOSE_ALL,2026-07-16 18:34:00+00:00,2026-07-23 08:25:00+00:00,9471,4641,49.00221729490022,7.476319350473613,mark_spread_bps,-29.571680821645774,-10.218117508352776,48.50712753833512,-171.06585674024888,-19.940836691138237,-4.455487229082627,1.9869624693357495,8.000396939823746,30.18199639426006,171.06585674024888,181.87205593684428,189.71583777443945,2026-06-10 05:50:00+00:00,2026-07-16 18:34:00+00:00
binance/gate,binance,gate,KRX_OFFICIAL_AFTER_HOURS,2026-07-16 18:34:00+00:00,2026-07-23 08:25:00+00:00,9471,665,7.021433850702143,1.0712674785746503,mark_spread_bps,-24.15890104363082,-8.690696649025591,35.46516042342228,-97.25056813173062,-13.931965568142765,-3.91120791137656,2.7850563079937314,4.578915687864148,24.85922187218845,97.25056813173062,102.4468416932424,112.07116371439082,2026-06-10 05:50:00+00:00,2026-07-16 18:34:00+00:00
binance/gate,binance,gate,KRX_FULLY_CLOSED,2026-07-16 18:34:00+00:00,2026-07-23 08:25:00+00:00,9471,3926,41.45285608700243,6.324505444938462,mark_spread_bps,-30.55112904930588,-10.570144388608783,50.41935904222648,-173.69845978764957,-20.261604086259105,-4.6751355356457465,1.79527005244379,8.350554044912192,31.15016904167633,173.69845978764957,182.63072022612545,189.71583777443945,2026-06-10 05:50:00+00:00,2026-07-16 18:34:00+00:00
binance/gate,binance,gate,KRX_HOLIDAY_OR_WEEKEND,2026-07-16 18:34:00+00:00,2026-07-23 08:25:00+00:00,9471,2880,30.408615774469432,4.639474192924802,mark_spread_bps,-27.627667057076277,-22.363175927213085,19.80109609047716,-81.07128281434491,-31.99286396670696,-14.931915111024203,-9.222733997671993,-5.227870551047743,27.632591306116566,81.07128281434488,98.76646244769115,113.93035661639348,2026-06-10 05:50:00+00:00,2026-07-16 18:34:00+00:00
binance/hyperliquid,binance,hyperliquid,ALL,2026-07-19 16:05:00+00:00,2026-07-23 08:25:00+00:00,5300,5300,100.0,8.537921257813004,historical_proxy_spread_bps,22.02524280621837,20.7107895621266,13.41180108819717,2.3800023964282584,12.47035908012501,30.430681247136647,46.06658163394,56.38049830485986,22.265431352544315,46.06658163394,56.38049830485986,111.94326554994063,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
binance/hyperliquid,binance,hyperliquid,PRE_CLOSE_BASELINE,2026-07-19 16:05:00+00:00,2026-07-23 08:25:00+00:00,5300,160,3.018867924528302,0.2577485662736001,historical_proxy_spread_bps,20.79314108587466,23.04544802533289,9.837049142252818,5.687775851275879,11.918152684616649,29.18737316106113,34.548939481992164,36.605355075378576,20.799556977225546,34.548939481992164,36.605355075378576,37.16186324112492,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
binance/hyperliquid,binance,hyperliquid,AFTER_CLOSE_ALL,2026-07-19 16:05:00+00:00,2026-07-23 08:25:00+00:00,5300,3740,70.56603773584905,6.024872736645403,historical_proxy_spread_bps,24.057293115325464,23.18787307460788,14.31619069190736,1.810638755744694,14.002227155279051,33.041677928677046,48.56608773461406,58.49709747950969,24.3557832233163,48.56608773461406,58.49709747950969,111.94326554994063,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
binance/hyperliquid,binance,hyperliquid,KRX_OFFICIAL_AFTER_HOURS,2026-07-19 16:05:00+00:00,2026-07-23 08:25:00+00:00,5300,525,9.90566037735849,0.8457374830852503,historical_proxy_spread_bps,27.064868716845243,27.408018849024074,7.917102607269649,12.15843991146044,22.068460027804523,32.48583442245865,39.62879202265274,44.11515079090836,27.064868716845243,39.62879202265274,44.11515079090836,54.12148546204919,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
binance/hyperliquid,binance,hyperliquid,KRX_FULLY_CLOSED,2026-07-19 16:05:00+00:00,2026-07-23 08:25:00+00:00,5300,3175,59.905660377358494,5.114698111991752,historical_proxy_spread_bps,23.54938626164158,21.82450552198647,15.113173535212582,0.9867016886085612,12.885139247617206,33.31427047843441,49.72013280924796,59.87983845942359,23.900993506959924,49.72013280924796,59.87983845942359,111.94326554994063,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
binance/hyperliquid,binance,hyperliquid,KRX_HOLIDAY_OR_WEEKEND,2026-07-19 16:05:00+00:00,2026-07-23 08:25:00+00:00,5300,0,0.0,0.0,historical_proxy_spread_bps,,,,,,,,,,,,,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
binance/okx,binance,okx,ALL,2026-06-10 05:50:00+00:00,2026-07-23 07:04:00+00:00,61994,61994,100.0,99.86790385978478,mark_spread_bps,13.240586470853325,11.123245098609864,20.80792858585253,-10.422234005809802,3.203649522303476,19.22528790155713,46.95831913502165,88.32068779529939,16.530045992262277,48.15628536564679,91.80217202775668,331.89687645852933,2026-06-10 05:50:00+00:00,2026-06-10 05:50:00+00:00
binance/okx,binance,okx,PRE_CLOSE_BASELINE,2026-06-10 05:50:00+00:00,2026-07-23 07:04:00+00:00,61994,1280,2.0647159402522823,2.061988530188801,mark_spread_bps,3.8694349918958224,1.941536895046864,19.43501532777123,-22.529366780641144,-7.062450800860823,10.04777554881894,49.88032385742272,66.16281868717435,13.352306049478369,50.11150557303622,66.16281868717435,89.47758648196226,2026-06-10 05:50:00+00:00,2026-06-10 05:50:00+00:00
binance/okx,binance,okx,AFTER_CLOSE_ALL,2026-06-10 05:50:00+00:00,2026-07-23 07:04:00+00:00,61994,32584,52.55992515404717,52.49049552161866,mark_spread_bps,16.42555264243807,13.28991776807066,23.179524698879256,-8.846834839947899,4.47417864876776,24.342994934580155,59.11587681331606,92.35072636788576,19.623729720098208,60.07839578937196,96.47988640627648,331.89687645852933,2026-06-10 05:50:00+00:00,2026-06-10 05:50:00+00:00
binance/okx,binance,okx,KRX_OFFICIAL_AFTER_HOURS,2026-06-10 05:50:00+00:00,2026-07-23 07:04:00+00:00,61994,4364,7.039390908797626,7.030092145112443,mark_spread_bps,7.201392216412951,4.842720311845224,20.67280689273713,-19.529407504152918,-4.0661463924416,13.136187391525445,40.07021635101529,93.12167354475768,14.089345809049576,42.7735520093427,93.12167354475768,131.31692775067546,2026-06-10 05:50:00+00:00,2026-06-10 05:50:00+00:00
binance/okx,binance,okx,KRX_FULLY_CLOSED,2026-06-10 05:50:00+00:00,2026-07-23 07:04:00+00:00,61994,27900,45.00435526018647,44.94490624395902,mark_spread_bps,18.032426526904683,14.612378021446602,23.201478680435567,-6.169981089015951,6.30180841129066,25.710915489433653,59.82130730995284,92.33738310133646,20.56229287254229,61.112862857377074,97.83996759263084,331.89687645852933,2026-06-10 05:50:00+00:00,2026-06-10 05:50:00+00:00
binance/okx,binance,okx,KRX_HOLIDAY_OR_WEEKEND,2026-06-10 05:50:00+00:00,2026-07-23 07:04:00+00:00,61994,17280,27.873665193405813,27.83684515754881,mark_spread_bps,11.338042791586904,11.370023813239266,8.592128737284574,-3.782860000287645,6.273546081934869,16.511536623120385,25.573877637376818,32.04630810621149,12.23217316159538,25.580319481862404,32.04630810621149,60.969214268555454,2026-06-10 05:50:00+00:00,2026-06-10 05:50:00+00:00
bitget/gate,bitget,gate,ALL,2026-07-16 18:34:00+00:00,2026-07-23 08:24:00+00:00,9470,9470,100.0,15.255493266318704,mark_spread_bps,-15.626618869268595,-0.1578544906029234,43.4980564575383,-106.23785312131746,-16.97412499710211,8.85984918363659,17.945035695648897,23.30304601665443,25.085887626516943,106.2378531213174,176.20450859366903,189.13239267487296,2026-06-10 05:50:00+00:00,2026-07-16 18:34:00+00:00
bitget/gate,bitget,gate,PRE_CLOSE_BASELINE,2026-07-16 18:34:00+00:00,2026-07-23 08:24:00+00:00,9470,200,2.1119324181626187,0.3221857078420001,mark_spread_bps,-17.190953373030293,0.982566841395881,40.75228217788305,-101.22916620832108,-8.544746103063574,7.02943622358498,13.72185681001311,19.2566511038146,24.83753854364324,101.22916620832108,107.74954933192645,108.27532869296272,2026-06-10 05:50:00+00:00,2026-07-16 18:34:00+00:00
bitget/gate,bitget,gate,AFTER_CLOSE_ALL,2026-07-16 18:34:00+00:00,2026-07-23 08:24:00+00:00,9470,4640,48.99683210137275,7.474708421934403,mark_spread_bps,-15.619386733973217,5.883993635536667,52.991790987582085,-170.29763124138577,-8.88110966485405,12.90745184890371,20.52956841146585,24.667260055988272,29.98519426512765,170.29763124138577,179.08053771955085,189.13239267487296,2026-06-10 05:50:00+00:00,2026-07-16 18:34:00+00:00
bitget/gate,bitget,gate,KRX_OFFICIAL_AFTER_HOURS,2026-07-16 18:34:00+00:00,2026-07-23 08:24:00+00:00,9470,664,7.011615628299895,1.0696565500354405,mark_spread_bps,-14.95895440321322,4.137551058315683,39.713120345725365,-96.05994436105505,-2.977562334995405,8.295837429075593,12.409552658129796,14.958115824413888,24.084166766759854,96.05994436105505,101.58151646361642,109.5836081545382,2026-06-10 05:50:00+00:00,2026-07-16 18:34:00+00:00
bitget/gate,bitget,gate,KRX_FULLY_CLOSED,2026-07-16 18:34:00+00:00,2026-07-23 08:24:00+00:00,9470,3926,41.45723336853221,6.324505444938462,mark_spread_bps,-15.72810179410482,6.581518590879725,55.05104369854869,-172.32365582585592,-9.139664602322938,13.799784568668104,20.97825220384243,25.116949146389945,31.058467664881505,172.32365582585592,179.59424864439845,189.13239267487296,2026-06-10 05:50:00+00:00,2026-07-16 18:34:00+00:00
bitget/gate,bitget,gate,KRX_HOLIDAY_OR_WEEKEND,2026-07-16 18:34:00+00:00,2026-07-23 08:24:00+00:00,9470,2880,30.41182682154171,4.639474192924802,mark_spread_bps,-14.112489355875637,-9.474592996224056,18.512581866779044,-60.57220961230122,-19.784597825313124,-1.0102847426232295,4.024696334694911,7.004925015908985,15.24282589752855,60.57220961230118,77.66822582343504,97.46037553844386,2026-06-10 05:50:00+00:00,2026-07-16 18:34:00+00:00
bitget/hyperliquid,bitget,hyperliquid,ALL,2026-07-19 16:05:00+00:00,2026-07-23 08:24:00+00:00,5299,5299,100.0,8.536310329273794,historical_proxy_spread_bps,36.367083424307886,35.89948145193508,12.806534081328424,16.73152664040616,27.076362614674917,45.01715309940244,57.57009479797723,66.62694484498937,36.37697483496875,57.57009479797723,66.62694484498937,98.95500467687302,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
bitget/hyperliquid,bitget,hyperliquid,PRE_CLOSE_BASELINE,2026-07-19 16:05:00+00:00,2026-07-23 08:24:00+00:00,5299,160,3.0194376297414607,0.2577485662736001,historical_proxy_spread_bps,29.881753127999943,30.778559802540123,10.13540447843876,15.57224451885725,21.465940623095012,38.910210738298105,44.359038583092506,45.68012707380108,30.076553442844705,44.359038583092506,45.68012707380108,47.303041658103695,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
bitget/hyperliquid,bitget,hyperliquid,AFTER_CLOSE_ALL,2026-07-19 16:05:00+00:00,2026-07-23 08:24:00+00:00,5299,3739,70.56048311002075,6.023261808106192,historical_proxy_spread_bps,40.016740176177976,40.613179374874846,12.346700715076397,19.60197891589778,31.18497717090634,48.04411374599187,60.02597184795289,67.93455110293824,40.016740176177976,60.02597184795289,67.93455110293824,98.95500467687302,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
bitget/hyperliquid,bitget,hyperliquid,KRX_OFFICIAL_AFTER_HOURS,2026-07-19 16:05:00+00:00,2026-07-23 08:24:00+00:00,5299,524,9.888658237403284,0.8441265545460404,historical_proxy_spread_bps,38.57653642777591,38.58599279371157,7.960838042064751,24.213135000988427,34.32812098565894,43.39451378620733,52.769401466957234,55.71270507572746,38.57653642777591,52.769401466957234,55.71270507572746,58.81168177240831,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
bitget/hyperliquid,bitget,hyperliquid,KRX_FULLY_CLOSED,2026-07-19 16:05:00+00:00,2026-07-23 08:24:00+00:00,5299,3175,59.91696546518211,5.114698111991752,historical_proxy_spread_bps,40.32484691557036,41.29071723505193,12.9305614540694,18.74526238411592,30.945285470689463,48.91327916413523,60.90773528238086,68.81600676229193,40.32484691557036,60.90773528238086,68.81600676229193,98.95500467687302,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
bitget/hyperliquid,bitget,hyperliquid,KRX_HOLIDAY_OR_WEEKEND,2026-07-19 16:05:00+00:00,2026-07-23 08:24:00+00:00,5299,0,0.0,0.0,historical_proxy_spread_bps,,,,,,,,,,,,,2026-06-10 05:50:00+00:00,2026-07-19 16:05:00+00:00
bitget/okx,bitget,okx,ALL,2026-06-10 05:50:00+00:00,2026-07-23 07:04:00+00:00,61994,61994,100.0,99.86790385978478,mark_spread_bps,37.77317035184253,33.557543518759275,24.54271717767458,8.283651960027886,23.025348401516425,46.092473745198326,86.14005515466559,124.30125066693329,37.99876216327095,86.14005515466559,124.30125066693329,291.3502492644481,2026-06-10 05:50:00+00:00,2026-06-10 05:50:00+00:00
bitget/okx,bitget,okx,PRE_CLOSE_BASELINE,2026-06-10 05:50:00+00:00,2026-07-23 07:04:00+00:00,61994,1280,2.0647159402522823,2.061988530188801,mark_spread_bps,28.11182404104291,24.12115391741819,23.145632862488647,-5.22675971902597,13.849683018766688,37.125184415455976,75.70727986701286,96.06120046257251,29.327918889716763,75.70727986701286,96.06120046257251,115.60333411233093,2026-06-10 05:50:00+00:00,2026-06-10 05:50:00+00:00
bitget/okx,bitget,okx,AFTER_CLOSE_ALL,2026-06-10 05:50:00+00:00,2026-07-23 07:04:00+00:00,61994,32584,52.55992515404717,52.49049552161866,mark_spread_bps,41.86644282638317,35.17283880053489,26.18637183615633,11.044988450259224,24.68781437624941,52.23662997497447,94.23021379650052,128.17769727143883,41.9312706271788,94.23021379650052,128.17769727143883,183.58735357098,2026-06-10 05:50:00+00:00,2026-06-10 05:50:00+00:00
bitget/okx,bitget,okx,KRX_OFFICIAL_AFTER_HOURS,2026-06-10 05:50:00+00:00,2026-07-23 07:04:00+00:00,61994,4364,7.039390908797626,7.030092145112443,mark_spread_bps,33.16673162805304,27.59619205570935,25.02657159834598,2.748937523323967,17.117981624310733,43.51479675912457,87.59744496704243,118.19464896819376,33.481215827914475,87.59744496704243,118.19464896819376,149.29472782795574,2026-06-10 05:50:00+00:00,2026-06-10 05:50:00+00:00
bitget/okx,bitget,okx,KRX_FULLY_CLOSED,2026-06-10 05:50:00+00:00,2026-07-23 07:04:00+00:00,61994,27900,45.00435526018647,44.94490624395902,mark_spread_bps,43.39259963121273,36.13716075640952,26.0780816618956,13.437502499393288,26.151602301658507,53.86332090685853,95.14184781114258,129.68738707942978,43.40599614334216,95.14184781114258,129.68738707942978,183.58735357098,2026-06-10 05:50:00+00:00,2026-06-10 05:50:00+00:00
bitget/okx,bitget,okx,KRX_HOLIDAY_OR_WEEKEND,2026-06-10 05:50:00+00:00,2026-07-23 07:04:00+00:00,61994,17280,27.873665193405813,27.83684515754881,mark_spread_bps,34.360225733033616,34.293505068981446,11.303902958280442,16.982682298737252,25.408964852672337,42.247834077825416,53.492342026234496,61.627399026145135,34.36386539015508,53.492342026234496,61.627399026145135,83.20952660680302,2026-06-10 05:50:00+00:00,2026-06-10 05:50:00+00:00
