pair,session,funding_pnl,event_count
long binance / short bitget,KRX_FULLY_CLOSED_PRE_US,40.93229999999999,95
long binance / short bitget,KRX_HOLIDAY_OR_WEEKEND,-39.4476,84
long binance / short bitget,KRX_OFFICIAL_AFTER_HOURS,-53.505500000000005,60
long binance / short bitget,US_AFTER_HOURS,-5.098900000000002,11
long binance / short bitget,US_REGULAR,21.59749999999999,48
long binance / short gate,KRX_FULLY_CLOSED_PRE_US,4.349500000000001,32
long binance / short gate,KRX_HOLIDAY_OR_WEEKEND,52.1618,24
long binance / short gate,KRX_OFFICIAL_AFTER_HOURS,14.7004,8
long binance / short gate,US_AFTER_HOURS,16.8082,8
long binance / short gate,US_REGULAR,-4.3333,6
long binance / short hyperliquid,KRX_FULLY_CLOSED_PRE_US,-26.133302,58
long binance / short hyperliquid,KRX_OFFICIAL_AFTER_HOURS,-10.315078,10
long binance / short hyperliquid,PRE_CLOSE_BASELINE,1.65883,4
long binance / short hyperliquid,US_AFTER_HOURS,11.96131,15
long binance / short hyperliquid,US_REGULAR,1.3222259999999992,21
long binance / short okx,KRX_FULLY_CLOSED_PRE_US,430.994349460658,84
long binance / short okx,KRX_HOLIDAY_OR_WEEKEND,168.391478547394,78
long binance / short okx,KRX_OFFICIAL_AFTER_HOURS,-151.493081940553,60
long binance / short okx,US_AFTER_HOURS,-5.098900000000002,7
long binance / short okx,US_REGULAR,108.02110960939198,48
long bitget / short binance,KRX_FULLY_CLOSED_PRE_US,-40.93229999999999,95
long bitget / short binance,KRX_HOLIDAY_OR_WEEKEND,39.4476,84
long bitget / short binance,KRX_OFFICIAL_AFTER_HOURS,53.505500000000005,60
long bitget / short binance,US_AFTER_HOURS,5.098900000000002,11
long bitget / short binance,US_REGULAR,-21.59749999999999,48
long bitget / short gate,KRX_FULLY_CLOSED_PRE_US,22.879999999999995,30
long bitget / short gate,KRX_HOLIDAY_OR_WEEKEND,56.64,24
long bitget / short gate,KRX_OFFICIAL_AFTER_HOURS,0.8300000000000007,8
long bitget / short gate,US_AFTER_HOURS,2.08,8
long bitget / short gate,US_REGULAR,8.05,6
long bitget / short hyperliquid,KRX_FULLY_CLOSED_PRE_US,-29.600372000000004,54
long bitget / short hyperliquid,KRX_OFFICIAL_AFTER_HOURS,-9.796046999999998,9
long bitget / short hyperliquid,PRE_CLOSE_BASELINE,2.261579,3
long bitget / short hyperliquid,US_AFTER_HOURS,6.965109999999999,15
long bitget / short hyperliquid,US_REGULAR,13.705525999999999,21
long bitget / short okx,KRX_FULLY_CLOSED_PRE_US,390.062049460658,52
long bitget / short okx,KRX_HOLIDAY_OR_WEEKEND,207.839078547394,42
long bitget / short okx,KRX_OFFICIAL_AFTER_HOURS,-105.449441132261,31
long bitget / short okx,US_AFTER_HOURS,0.0,7
long bitget / short okx,US_REGULAR,86.423609609392,25
long gate / short binance,KRX_FULLY_CLOSED_PRE_US,-4.349500000000001,32
long gate / short binance,KRX_HOLIDAY_OR_WEEKEND,-52.1618,24
long gate / short binance,KRX_OFFICIAL_AFTER_HOURS,-14.7004,8
long gate / short binance,US_AFTER_HOURS,-16.8082,8
long gate / short binance,US_REGULAR,4.3333,6
long gate / short bitget,KRX_FULLY_CLOSED_PRE_US,-22.879999999999995,30
long gate / short bitget,KRX_HOLIDAY_OR_WEEKEND,-56.64,24
long gate / short bitget,KRX_OFFICIAL_AFTER_HOURS,-0.8300000000000007,8
long gate / short bitget,US_AFTER_HOURS,-2.08,8
long gate / short bitget,US_REGULAR,-8.05,6
long gate / short hyperliquid,KRX_FULLY_CLOSED_PRE_US,-11.748002,58
long gate / short hyperliquid,KRX_OFFICIAL_AFTER_HOURS,-5.674878,10
long gate / short hyperliquid,PRE_CLOSE_BASELINE,1.65883,4
long gate / short hyperliquid,US_AFTER_HOURS,5.385109999999999,15
long gate / short hyperliquid,US_REGULAR,5.655526,21
long gate / short okx,KRX_FULLY_CLOSED_PRE_US,-27.581534782059,19
long gate / short okx,KRX_HOLIDAY_OR_WEEKEND,-36.915001683456,18
long gate / short okx,KRX_OFFICIAL_AFTER_HOURS,0.32066646623700135,8
long gate / short okx,US_AFTER_HOURS,-2.08,4
long gate / short okx,US_REGULAR,7.634967905573,6
long hyperliquid / short binance,KRX_FULLY_CLOSED_PRE_US,26.133302,58
long hyperliquid / short binance,KRX_OFFICIAL_AFTER_HOURS,10.315078,10
long hyperliquid / short binance,PRE_CLOSE_BASELINE,-1.65883,4
long hyperliquid / short binance,US_AFTER_HOURS,-11.96131,15
long hyperliquid / short binance,US_REGULAR,-1.3222259999999992,21
long hyperliquid / short bitget,KRX_FULLY_CLOSED_PRE_US,29.600372000000004,54
long hyperliquid / short bitget,KRX_OFFICIAL_AFTER_HOURS,9.796046999999998,9
long hyperliquid / short bitget,PRE_CLOSE_BASELINE,-2.261579,3
long hyperliquid / short bitget,US_AFTER_HOURS,-6.965109999999999,15
long hyperliquid / short bitget,US_REGULAR,-13.705525999999999,21
long hyperliquid / short gate,KRX_FULLY_CLOSED_PRE_US,11.748002,58
long hyperliquid / short gate,KRX_OFFICIAL_AFTER_HOURS,5.674878,10
long hyperliquid / short gate,PRE_CLOSE_BASELINE,-1.65883,4
long hyperliquid / short gate,US_AFTER_HOURS,-5.385109999999999,15
long hyperliquid / short gate,US_REGULAR,-5.655526,21
long hyperliquid / short okx,KRX_FULLY_CLOSED_PRE_US,1.5776916961839997,43
long hyperliquid / short okx,KRX_OFFICIAL_AFTER_HOURS,20.859045320557,9
long hyperliquid / short okx,PRE_CLOSE_BASELINE,-2.261579,3
long hyperliquid / short okx,US_AFTER_HOURS,-6.965109999999999,12
long hyperliquid / short okx,US_REGULAR,1.9794419055730015,21
long okx / short binance,KRX_FULLY_CLOSED_PRE_US,-430.994349460658,84
long okx / short binance,KRX_HOLIDAY_OR_WEEKEND,-168.391478547394,78
long okx / short binance,KRX_OFFICIAL_AFTER_HOURS,151.493081940553,60
long okx / short binance,US_AFTER_HOURS,5.098900000000002,7
long okx / short binance,US_REGULAR,-108.02110960939198,48
long okx / short bitget,KRX_FULLY_CLOSED_PRE_US,-390.062049460658,52
long okx / short bitget,KRX_HOLIDAY_OR_WEEKEND,-207.839078547394,42
long okx / short bitget,KRX_OFFICIAL_AFTER_HOURS,105.449441132261,31
long okx / short bitget,US_AFTER_HOURS,0.0,7
long okx / short bitget,US_REGULAR,-86.423609609392,25
long okx / short gate,KRX_FULLY_CLOSED_PRE_US,27.581534782059,19
long okx / short gate,KRX_HOLIDAY_OR_WEEKEND,36.915001683456,18
long okx / short gate,KRX_OFFICIAL_AFTER_HOURS,-0.32066646623700135,8
long okx / short gate,US_AFTER_HOURS,2.08,4
long okx / short gate,US_REGULAR,-7.634967905573,6
long okx / short hyperliquid,KRX_FULLY_CLOSED_PRE_US,-1.5776916961839997,43
long okx / short hyperliquid,KRX_OFFICIAL_AFTER_HOURS,-20.859045320557,9
long okx / short hyperliquid,PRE_CLOSE_BASELINE,2.261579,3
long okx / short hyperliquid,US_AFTER_HOURS,6.965109999999999,12
long okx / short hyperliquid,US_REGULAR,-1.9794419055730015,21
