pair,session,count,mean_abs_spread_bps,median_abs_spread_bps,p95_abs_spread_bps,p99_abs_spread_bps,max_abs_spread_bps,event_count,median_duration_minutes,p95_duration_minutes,convergence_probability_1h,convergence_probability_4h,convergence_probability_24h,combined_strategy_pnl
binance/bitget,KRX_CLOSE_TRANSITION,320,25.804580146220957,20.261831746612415,55.895568974121694,96.24008512659124,110.55590787613096,11.0,4.0,1524.0,0.6363636363636364,0.7272727272727273,0.8181818181818182,155.8380041570418
binance/bitget,KRX_FULLY_CLOSED_PRE_US,22460,24.829890884027247,19.802656757033215,63.17252550081005,77.8074828320268,212.47427267170025,686.0,2.0,339.5,0.8411078717201166,0.9285714285714286,0.9912536443148688,9909.90741777124
binance/bitget,KRX_HOLIDAY_OR_WEEKEND,17280,23.030105525152074,19.534733434978218,45.60939126282053,53.28980442672333,88.76617301417032,530.0,2.0,1518.1499999999949,0.9,0.9,0.9471698113207547,3884.9125581640187
binance/bitget,KRX_OFFICIAL_AFTER_HOURS,4445,25.785427155536027,19.43300933539901,64.46476529290764,102.79131532203763,128.12824357052259,116.0,3.0,1411.25,0.6810344827586207,0.7931034482758621,0.9655172413793104,1974.192857977962
binance/bitget,PRE_CLOSE_BASELINE,1280,24.51259326631339,19.593773763578103,59.47868687523285,75.41214930253996,107.11397702672944,44.0,3.0,495.75,0.7954545454545454,0.9090909090909091,0.9772727272727273,796.758195652003
binance/bitget,US_AFTER_HOURS,6000,26.458895082933754,17.92624161251258,73.50978549536705,126.54104447579466,350.305916170873,195.0,2.0,709.3,0.7589743589743589,0.8153846153846154,0.958974358974359,2405.9589857457913
binance/bitget,US_REGULAR,10290,26.31348881912245,21.2342782180369,60.997146251620435,77.06965029930468,354.4050070074069,456.0,2.0,742.25,0.7631578947368421,0.8026315789473685,0.9846491228070176,8176.68315540063
binance/gate,KRX_CLOSE_TRANSITION,50,24.95398126268747,5.090577893590263,108.93221437119774,116.45318284757772,118.69522066886671,1.0,771.0,771.0,0.0,0.0,1.0,92.36239007370526
binance/gate,KRX_FULLY_CLOSED_PRE_US,3370,29.77488762831259,11.547648851770433,128.755096156083,148.10814316118015,174.13001930321738,81.0,2.0,571.0,0.8888888888888888,0.8888888888888888,1.0,1431.2214078067602
binance/gate,KRX_HOLIDAY_OR_WEEKEND,2880,27.632591306116566,22.363175927213085,81.07128281434488,98.76646244769117,113.93035661639347,36.0,2.0,173.75,0.8055555555555556,0.9722222222222222,1.0,629.8104452785956
binance/gate,KRX_OFFICIAL_AFTER_HOURS,666,24.828922455157592,8.703291704138774,97.24220755080461,102.4352251554526,112.07116371439082,9.0,662.0,756.0,0.2222222222222222,0.2222222222222222,1.0,608.9748695239252
binance/gate,PRE_CLOSE_BASELINE,200,26.399056742966433,9.578816397703946,107.54002053571382,112.32704564415296,119.53842878279087,8.0,399.5,817.95,0.5,0.5,1.0,398.21749833216256
binance/gate,US_AFTER_HOURS,960,50.48247334168939,12.276189185036598,181.73157133440225,185.6904586932374,189.71583777443942,12.0,1.0,3.0,1.0,1.0,1.0,102.69222892743318
