pair,session,threshold_bps,event_start,event_end,duration_minutes,peak_abs_spread_bps,peak_time,spread_at_end_bps,higher_exchange_at_peak,lower_exchange_at_peak
binance/bitget,KRX_OFFICIAL_AFTER_HOURS,10,2026-06-10 05:50:00+00:00,2026-06-10 08:06:00+00:00,137,71.99625648942703,2026-06-10 07:17:00+00:00,-13.761678132970268,bitget,binance
binance/bitget,KRX_OFFICIAL_AFTER_HOURS,10,2026-06-10 08:09:00+00:00,2026-06-10 08:48:00+00:00,40,30.69899623911302,2026-06-10 08:19:00+00:00,-18.79661715849111,bitget,binance
binance/bitget,KRX_OFFICIAL_AFTER_HOURS,10,2026-06-10 08:53:00+00:00,2026-06-10 08:54:00+00:00,2,12.54282551958121,2026-06-10 08:53:00+00:00,-12.323719775175164,bitget,binance
binance/bitget,KRX_OFFICIAL_AFTER_HOURS,10,2026-06-10 08:59:00+00:00,2026-06-10 08:59:00+00:00,1,10.44083212490892,2026-06-10 08:59:00+00:00,-10.44083212490892,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 09:11:00+00:00,2026-06-10 09:14:00+00:00,4,16.778192706722756,2026-06-10 09:13:00+00:00,-11.686279330147945,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 09:17:00+00:00,2026-06-10 09:22:00+00:00,6,17.220364758634936,2026-06-10 09:18:00+00:00,-10.915665772579024,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 09:29:00+00:00,2026-06-10 10:05:00+00:00,37,21.7072244506256,2026-06-10 09:31:00+00:00,-10.189964248119125,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 10:08:00+00:00,2026-06-10 10:12:00+00:00,5,12.790545468145456,2026-06-10 10:10:00+00:00,-11.603490030355887,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 10:38:00+00:00,2026-06-10 10:38:00+00:00,1,13.337173481535292,2026-06-10 10:38:00+00:00,-13.337173481535292,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 10:45:00+00:00,2026-06-10 10:48:00+00:00,4,14.215630322700095,2026-06-10 10:46:00+00:00,-10.00271236325956,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 10:52:00+00:00,2026-06-10 11:02:00+00:00,11,21.778608895381875,2026-06-10 11:00:00+00:00,-16.983493236398104,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 11:06:00+00:00,2026-06-10 11:41:00+00:00,36,30.17576540278671,2026-06-10 11:24:00+00:00,-10.807102888541129,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 11:46:00+00:00,2026-06-10 11:46:00+00:00,1,10.382516807551843,2026-06-10 11:46:00+00:00,-10.382516807551843,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 12:09:00+00:00,2026-06-10 12:18:00+00:00,10,17.601660874666532,2026-06-10 12:18:00+00:00,17.601660874666532,binance,bitget
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 12:21:00+00:00,2026-06-10 12:24:00+00:00,4,15.959541536050121,2026-06-10 12:24:00+00:00,-15.959541536050121,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 12:28:00+00:00,2026-06-10 17:36:00+00:00,309,130.25449783222638,2026-06-10 12:30:00+00:00,-11.007396970764354,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 17:39:00+00:00,2026-06-10 17:42:00+00:00,4,11.615266776514089,2026-06-10 17:39:00+00:00,-10.521397800805927,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 17:46:00+00:00,2026-06-10 17:46:00+00:00,1,13.336753013592762,2026-06-10 17:46:00+00:00,13.336753013592762,binance,bitget
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 17:49:00+00:00,2026-06-10 18:55:00+00:00,67,32.2051826353731,2026-06-10 18:15:00+00:00,-12.335450454334909,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 18:59:00+00:00,2026-06-10 18:59:00+00:00,1,11.282645005954528,2026-06-10 18:59:00+00:00,-11.282645005954528,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 19:05:00+00:00,2026-06-10 19:05:00+00:00,1,10.809850290976064,2026-06-10 19:05:00+00:00,-10.809850290976064,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 19:10:00+00:00,2026-06-10 19:10:00+00:00,1,10.634524757681278,2026-06-10 19:10:00+00:00,-10.634524757681278,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 19:17:00+00:00,2026-06-10 19:59:00+00:00,43,27.435165235254907,2026-06-10 19:32:00+00:00,-10.94649991250267,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 20:07:00+00:00,2026-06-10 20:08:00+00:00,2,16.7786491689326,2026-06-10 20:07:00+00:00,-13.642462539446477,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 20:14:00+00:00,2026-06-10 20:16:00+00:00,3,13.486858811597154,2026-06-10 20:16:00+00:00,-13.486858811597154,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 20:23:00+00:00,2026-06-10 20:23:00+00:00,1,11.426224304997834,2026-06-10 20:23:00+00:00,-11.426224304997834,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 20:26:00+00:00,2026-06-10 20:29:00+00:00,4,14.502719523593232,2026-06-10 20:27:00+00:00,-13.648879956846438,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 20:35:00+00:00,2026-06-10 20:36:00+00:00,2,12.481401612155777,2026-06-10 20:35:00+00:00,-10.76724067025944,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 20:39:00+00:00,2026-06-10 20:40:00+00:00,2,12.010722113308553,2026-06-10 20:40:00+00:00,-12.010722113308553,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 20:43:00+00:00,2026-06-10 20:45:00+00:00,3,10.538699697492481,2026-06-10 20:43:00+00:00,-10.232584106145312,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 21:02:00+00:00,2026-06-10 21:02:00+00:00,1,10.289241450553142,2026-06-10 21:02:00+00:00,-10.289241450553142,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 21:43:00+00:00,2026-06-10 21:43:00+00:00,1,11.784060393549122,2026-06-10 21:43:00+00:00,-11.784060393549122,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 22:13:00+00:00,2026-06-10 22:13:00+00:00,1,10.383294753136083,2026-06-10 22:13:00+00:00,-10.383294753136083,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 22:41:00+00:00,2026-06-10 22:42:00+00:00,2,12.471263504275404,2026-06-10 22:42:00+00:00,-12.471263504275404,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 22:46:00+00:00,2026-06-10 22:49:00+00:00,4,18.687363424007373,2026-06-10 22:49:00+00:00,-18.687363424007373,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 22:53:00+00:00,2026-06-10 22:56:00+00:00,4,11.550533473395394,2026-06-10 22:56:00+00:00,-11.550533473395394,bitget,binance
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 23:01:00+00:00,2026-06-10 23:03:00+00:00,3,13.294719042158537,2026-06-10 23:03:00+00:00,13.294719042158537,binance,bitget
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 23:07:00+00:00,2026-06-10 23:07:00+00:00,1,23.744911804614492,2026-06-10 23:07:00+00:00,23.744911804614492,binance,bitget
binance/bitget,KRX_FULLY_CLOSED,10,2026-06-10 23:10:00+00:00,2026-06-10 23:10:00+00:00,1,11.322455047157852,2026-06-10 23:10:00+00:00,11.322455047157852,binance,bitget
