pair,long_exchange,short_exchange,funding_time,long_rate,short_rate,net_rate,net_cashflow_10000,cumulative_cashflow,long_interval_hours,short_interval_hours,session,regime,date,week
long binance / short okx,binance,okx,2026-07-13 08:00:00+00:00,0.0,0.01,0.01,100.0,549.2551639868782,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-13 00:00:00+00:00,2026-07-13/2026-07-19
long okx / short binance,okx,binance,2026-07-13 08:00:00+00:00,0.01,0.0,-0.01,-100.0,-549.2551639868782,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-13 00:00:00+00:00,2026-07-13/2026-07-19
long binance / short bitget,binance,bitget,2026-07-07 08:00:00.001000+00:00,0.00661515,0.0,-0.00661515,-66.1515,-70.22409999999999,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-07 00:00:00+00:00,2026-07-06/2026-07-12
long binance / short okx,binance,okx,2026-07-07 08:00:00.001000+00:00,0.00661515,0.0,-0.00661515,-66.1515,378.5362032674621,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-07 00:00:00+00:00,2026-07-06/2026-07-12
long okx / short binance,okx,binance,2026-07-07 08:00:00.001000+00:00,0.0,0.00661515,0.00661515,66.1515,-378.5362032674621,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-07 00:00:00+00:00,2026-07-06/2026-07-12
long bitget / short binance,bitget,binance,2026-07-07 08:00:00.001000+00:00,0.0,0.00661515,0.00661515,66.1515,70.22409999999999,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-07 00:00:00+00:00,2026-07-06/2026-07-12
long okx / short binance,okx,binance,2026-07-02 08:00:00+00:00,0.0066093233823821,0.0,-0.0066093233823821,-66.09323382382101,-405.70572916612196,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-02 00:00:00+00:00,2026-06-29/2026-07-05
long binance / short okx,binance,okx,2026-07-02 08:00:00+00:00,0.0,0.0066093233823821,0.0066093233823821,66.09323382382101,405.70572916612196,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-02 00:00:00+00:00,2026-06-29/2026-07-05
long okx / short binance,okx,binance,2026-06-25 00:00:00.002000+00:00,0.0,0.00603242,0.00603242,60.324200000000005,-240.66679754021197,,8.0,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-06-25 00:00:00+00:00,2026-06-22/2026-06-28
long bitget / short binance,bitget,binance,2026-06-25 00:00:00.002000+00:00,0.0,0.00603242,0.00603242,60.324200000000005,225.00710000000004,,8.0,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-06-25 00:00:00+00:00,2026-06-22/2026-06-28
long binance / short okx,binance,okx,2026-06-25 00:00:00.002000+00:00,0.00603242,0.0,-0.00603242,-60.324200000000005,240.66679754021197,8.0,,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-06-25 00:00:00+00:00,2026-06-22/2026-06-28
long binance / short bitget,binance,bitget,2026-06-25 00:00:00.002000+00:00,0.00603242,0.0,-0.00603242,-60.324200000000005,-225.00710000000004,8.0,,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-06-25 00:00:00+00:00,2026-06-22/2026-06-28
long binance / short okx,binance,okx,2026-06-23 08:00:00.002000+00:00,0.00580329,0.0,-0.00580329,-58.0329,234.89708063925798,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-23 00:00:00+00:00,2026-06-22/2026-06-28
long bitget / short binance,bitget,binance,2026-06-23 08:00:00.002000+00:00,0.0,0.00580329,0.00580329,58.0329,205.4672,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-23 00:00:00+00:00,2026-06-22/2026-06-28
long okx / short binance,okx,binance,2026-06-23 08:00:00.002000+00:00,0.0,0.00580329,0.00580329,58.0329,-234.89708063925798,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-23 00:00:00+00:00,2026-06-22/2026-06-28
long binance / short bitget,binance,bitget,2026-06-23 08:00:00.002000+00:00,0.00580329,0.0,-0.00580329,-58.0329,-205.4672,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-23 00:00:00+00:00,2026-06-22/2026-06-28
long binance / short okx,binance,okx,2026-07-02 08:00:00.001000+00:00,0.00534933,0.0,-0.00534933,-53.493300000000005,352.212429166122,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-02 00:00:00+00:00,2026-06-29/2026-07-05
long okx / short binance,okx,binance,2026-07-02 08:00:00.001000+00:00,0.0,0.00534933,0.00534933,53.493300000000005,-352.212429166122,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-02 00:00:00+00:00,2026-06-29/2026-07-05
long binance / short bitget,binance,bitget,2026-07-02 08:00:00.001000+00:00,0.00534933,0.0,-0.00534933,-53.493300000000005,-87.0527,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-02 00:00:00+00:00,2026-06-29/2026-07-05
long bitget / short binance,bitget,binance,2026-07-02 08:00:00.001000+00:00,0.0,0.00534933,0.00534933,53.493300000000005,87.0527,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-02 00:00:00+00:00,2026-06-29/2026-07-05
long okx / short binance,okx,binance,2026-07-14 04:00:00+00:00,0.0051280565781914,0.0,-0.0051280565781914,-51.280565781914,-607.2909780291062,4.0,,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-07-14 00:00:00+00:00,2026-07-13/2026-07-19
long okx / short bitget,okx,bitget,2026-07-14 04:00:00+00:00,0.0051280565781914,0.0,-0.0051280565781914,-51.280565781914,-636.0802188373981,4.0,,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-07-14 00:00:00+00:00,2026-07-13/2026-07-19
long bitget / short okx,bitget,okx,2026-07-14 04:00:00+00:00,0.0,0.0051280565781914,0.0051280565781914,51.280565781914,636.0802188373981,,4.0,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-07-14 00:00:00+00:00,2026-07-13/2026-07-19
long binance / short okx,binance,okx,2026-07-14 04:00:00+00:00,0.0,0.0051280565781914,0.0051280565781914,51.280565781914,607.2909780291062,,4.0,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-07-14 00:00:00+00:00,2026-07-13/2026-07-19
long binance / short okx,binance,okx,2026-06-25 00:00:00+00:00,0.0,0.0050871457699901,0.0050871457699901,50.871457699901,300.990997540212,,8.0,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-06-25 00:00:00+00:00,2026-06-22/2026-06-28
long okx / short binance,okx,binance,2026-06-25 00:00:00+00:00,0.0050871457699901,0.0,-0.0050871457699901,-50.871457699901,-300.990997540212,8.0,,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,2026-06-25 00:00:00+00:00,2026-06-22/2026-06-28
long binance / short okx,binance,okx,2026-07-07 08:00:00+00:00,0.0,0.0050692334577689,0.0050692334577689,50.692334577689,444.6877032674621,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-07 00:00:00+00:00,2026-07-06/2026-07-12
long okx / short binance,okx,binance,2026-07-07 08:00:00+00:00,0.0050692334577689,0.0,-0.0050692334577689,-50.692334577689,-444.6877032674621,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-07 00:00:00+00:00,2026-07-06/2026-07-12
long okx / short binance,okx,binance,2026-07-14 08:00:00.001000+00:00,0.0,0.005,0.005,50.0,-558.3506508061802,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-14 00:00:00+00:00,2026-07-13/2026-07-19
long binance / short bitget,binance,bitget,2026-07-14 08:00:00+00:00,0.0,0.005,0.005,50.0,13.748899999999978,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-14 00:00:00+00:00,2026-07-13/2026-07-19
long binance / short bitget,binance,bitget,2026-07-13 08:00:00.001000+00:00,0.005,0.0,-0.005,-50.0,-47.07120000000002,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-13 00:00:00+00:00,2026-07-13/2026-07-19
long binance / short bitget,binance,bitget,2026-07-13 08:00:00+00:00,0.0,0.005,0.005,50.0,2.928799999999981,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-13 00:00:00+00:00,2026-07-13/2026-07-19
long okx / short binance,okx,binance,2026-07-13 08:00:00.001000+00:00,0.0,0.005,0.005,50.0,-499.2551639868782,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-13 00:00:00+00:00,2026-07-13/2026-07-19
long bitget / short binance,bitget,binance,2026-07-07 08:00:00+00:00,0.005,0.0,-0.005,-50.0,4.072599999999994,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-07 00:00:00+00:00,2026-07-06/2026-07-12
long binance / short bitget,binance,bitget,2026-07-07 08:00:00+00:00,0.0,0.005,0.005,50.0,-4.072599999999994,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-07 00:00:00+00:00,2026-07-06/2026-07-12
long okx / short bitget,okx,bitget,2026-07-13 08:00:00+00:00,0.01,0.005,-0.005,-50.0,-538.8645047951701,8.0,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-13 00:00:00+00:00,2026-07-13/2026-07-19
long binance / short bitget,binance,bitget,2026-07-02 08:00:00+00:00,0.0,0.005,0.005,50.0,-33.5594,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-02 00:00:00+00:00,2026-06-29/2026-07-05
long binance / short bitget,binance,bitget,2026-06-29 08:00:00+00:00,0.0,0.005,0.005,50.0,-116.08590000000001,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-29 00:00:00+00:00,2026-06-29/2026-07-05
long binance / short bitget,binance,bitget,2026-06-26 08:00:00+00:00,0.0,0.005,0.005,50.0,-127.70370000000003,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-26 00:00:00+00:00,2026-06-22/2026-06-28
long binance / short okx,binance,okx,2026-07-13 08:00:00.001000+00:00,0.005,0.0,-0.005,-50.0,499.2551639868782,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-13 00:00:00+00:00,2026-07-13/2026-07-19
long binance / short okx,binance,okx,2026-07-14 08:00:00.001000+00:00,0.005,0.0,-0.005,-50.0,558.3506508061802,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-14 00:00:00+00:00,2026-07-13/2026-07-19
long binance / short bitget,binance,bitget,2026-07-14 08:00:00.001000+00:00,0.005,0.0,-0.005,-50.0,-36.25110000000002,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-14 00:00:00+00:00,2026-07-13/2026-07-19
long binance / short bitget,binance,bitget,2026-06-24 08:00:00+00:00,0.0,0.005,0.005,50.0,-158.7381,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-24 00:00:00+00:00,2026-06-22/2026-06-28
long bitget / short binance,bitget,binance,2026-07-13 08:00:00+00:00,0.005,0.0,-0.005,-50.0,-2.928799999999981,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-13 00:00:00+00:00,2026-07-13/2026-07-19
long bitget / short binance,bitget,binance,2026-06-24 08:00:00+00:00,0.005,0.0,-0.005,-50.0,158.7381,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-24 00:00:00+00:00,2026-06-22/2026-06-28
long bitget / short binance,bitget,binance,2026-06-26 08:00:00+00:00,0.005,0.0,-0.005,-50.0,127.70370000000003,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-26 00:00:00+00:00,2026-06-22/2026-06-28
long bitget / short binance,bitget,binance,2026-06-29 08:00:00+00:00,0.005,0.0,-0.005,-50.0,116.08590000000001,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-29 00:00:00+00:00,2026-06-29/2026-07-05
long bitget / short binance,bitget,binance,2026-07-13 08:00:00.001000+00:00,0.0,0.005,0.005,50.0,47.07120000000002,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-13 00:00:00+00:00,2026-07-13/2026-07-19
long bitget / short binance,bitget,binance,2026-07-14 08:00:00+00:00,0.005,0.0,-0.005,-50.0,-13.748899999999978,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-14 00:00:00+00:00,2026-07-13/2026-07-19
long bitget / short binance,bitget,binance,2026-07-14 08:00:00.001000+00:00,0.0,0.005,0.005,50.0,36.25110000000002,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-14 00:00:00+00:00,2026-07-13/2026-07-19
long bitget / short okx,bitget,okx,2026-07-13 08:00:00+00:00,0.005,0.01,0.005,50.0,538.8645047951701,8.0,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-13 00:00:00+00:00,2026-07-13/2026-07-19
long bitget / short binance,bitget,binance,2026-07-02 08:00:00+00:00,0.005,0.0,-0.005,-50.0,33.5594,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-02 00:00:00+00:00,2026-06-29/2026-07-05
long okx / short bitget,okx,bitget,2026-07-14 08:00:00+00:00,0.0001059672777074,0.005,0.0048940327222926,48.940327222926,-587.139891614472,4.0,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-14 00:00:00+00:00,2026-07-13/2026-07-19
long bitget / short okx,bitget,okx,2026-07-14 08:00:00+00:00,0.005,0.0001059672777074,-0.0048940327222926,-48.940327222926,587.139891614472,8.0,4.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-14 00:00:00+00:00,2026-07-13/2026-07-19
long binance / short okx,binance,okx,2026-06-23 08:00:00+00:00,0.0,0.0048822453571552,0.0048822453571552,48.822453571551996,292.92998063925796,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-23 00:00:00+00:00,2026-06-22/2026-06-28
long okx / short binance,okx,binance,2026-06-23 08:00:00+00:00,0.0048822453571552,0.0,-0.0048822453571552,-48.822453571551996,-292.92998063925796,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-06-23 00:00:00+00:00,2026-06-22/2026-06-28
long binance / short bitget,binance,bitget,2026-07-10 08:00:00+00:00,0.0,0.004771,0.004771,47.71,-38.236700000000006,,8.0,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-10 00:00:00+00:00,2026-07-06/2026-07-12
long bitget / short binance,bitget,binance,2026-07-10 08:00:00+00:00,0.004771,0.0,-0.004771,-47.71,38.236700000000006,8.0,,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,2026-07-10 00:00:00+00:00,2026-07-06/2026-07-12
