rank,pair,session,event_start,event_peak_time,event_end,long_exchange_at_peak,short_exchange_at_peak,peak_spread_bps,gross_convergence_bps,funding_advantage_bps_during_event,combined_gross_bps,net_10bps,net_20bps,net_40bps,net_80bps,duration_minutes,data_quality,warnings
1,binance/bitget,KRX_FULLY_CLOSED,2026-06-11 13:39:00+00:00,2026-06-11 14:04:00+00:00,2026-06-12 02:01:00+00:00,binance,bitget,354.4050070074069,329.56017462817937,-22.193,307.3671746281794,297.3671746281794,287.3671746281794,267.3671746281794,227.36717462817938,743,strict_joint_window,历史分钟代理；无真实BBO
2,binance/bitget,KRX_FULLY_CLOSED,2026-06-22 00:01:00+00:00,2026-06-24 20:10:00+00:00,2026-06-26 08:10:00+00:00,binance,bitget,350.305916170873,328.8901552664899,-46.36859999999996,282.52155526648994,272.52155526648994,262.52155526648994,242.52155526648994,202.52155526648994,6250,strict_joint_window,历史分钟代理；无真实BBO
3,gate/okx,KRX_FULLY_CLOSED,2026-07-16 18:34:00+00:00,2026-07-16 19:41:00+00:00,2026-07-18 18:18:00+00:00,okx,gate,207.6481374452712,186.53211664207976,49.957861860033006,236.48997850211276,226.48997850211276,216.48997850211276,196.48997850211276,156.48997850211276,2865,strict_joint_window,历史分钟代理；无真实BBO
4,bitget/gate,KRX_FULLY_CLOSED,2026-07-16 18:34:00+00:00,2026-07-16 20:02:00+00:00,2026-07-17 19:26:00+00:00,bitget,gate,189.13239267487296,163.15691935116993,49.97,213.12691935116993,203.12691935116993,193.12691935116993,173.12691935116993,133.12691935116993,1493,strict_joint_window,历史分钟代理；无真实BBO
5,binance/gate,KRX_FULLY_CLOSED,2026-07-16 18:34:00+00:00,2026-07-16 20:47:00+00:00,2026-07-17 19:38:00+00:00,binance,gate,189.71583777443945,162.84788633048603,34.4763,197.32418633048604,187.32418633048604,177.32418633048604,157.32418633048604,117.32418633048604,1505,strict_joint_window,历史分钟代理；无真实BBO
6,binance/okx,KRX_FULLY_CLOSED,2026-06-11 13:36:00+00:00,2026-06-11 13:53:00+00:00,2026-06-11 14:41:00+00:00,binance,okx,331.89687645852933,190.18545426882093,0.0,190.18545426882093,180.18545426882093,170.18545426882093,150.18545426882093,110.18545426882093,66,strict_joint_window,历史分钟代理；无真实BBO
7,binance/okx,KRX_FULLY_CLOSED,2026-07-14 08:00:00+00:00,2026-07-14 13:33:00+00:00,2026-07-14 23:14:00+00:00,okx,binance,115.25771064892145,88.9261041347105,73.833052763929,162.7591568986395,152.7591568986395,142.7591568986395,122.7591568986395,82.7591568986395,915,strict_joint_window,历史分钟代理；无真实BBO
8,bitget/okx,KRX_REGULAR_EARLIER,2026-07-13 03:17:00+00:00,2026-07-14 03:27:00+00:00,2026-07-15 01:14:00+00:00,okx,bitget,291.3502492644481,268.29087314473804,-105.95206127829897,162.33881186643907,152.33881186643907,142.33881186643907,122.33881186643907,82.33881186643907,2758,strict_joint_window,历史分钟代理；无真实BBO
9,binance/okx,KRX_FULLY_CLOSED,2026-06-24 19:38:00+00:00,2026-06-24 20:06:00+00:00,2026-06-24 20:45:00+00:00,binance,okx,184.5241097638372,152.07029052457827,0.0,152.07029052457827,142.07029052457827,132.07029052457827,112.07029052457827,72.07029052457827,68,strict_joint_window,历史分钟代理；无真实BBO
10,binance/bitget,KRX_FULLY_CLOSED,2026-06-11 12:26:00+00:00,2026-06-11 12:35:00+00:00,2026-06-11 13:36:00+00:00,bitget,binance,212.47427267170025,147.57389998680998,0.0,147.57389998680998,137.57389998680998,127.57389998680998,107.57389998680998,67.57389998680998,71,strict_joint_window,历史分钟代理；无真实BBO
11,binance/okx,KRX_FULLY_CLOSED,2026-06-11 12:23:00+00:00,2026-06-11 12:35:00+00:00,2026-06-11 13:04:00+00:00,okx,binance,246.1620959648114,145.65741425961298,0.0,145.65741425961298,135.65741425961298,125.65741425961298,105.65741425961298,65.65741425961298,42,strict_joint_window,历史分钟代理；无真实BBO
12,bitget/okx,KRX_FULLY_CLOSED,2026-06-25 07:04:00+00:00,2026-06-25 13:45:00+00:00,2026-06-26 02:41:00+00:00,okx,bitget,109.35855877823684,85.42971709979236,51.505153441893,136.93487054168537,126.93487054168537,116.93487054168537,96.93487054168537,56.93487054168537,1178,strict_joint_window,历史分钟代理；无真实BBO
13,bitget/okx,KRX_FULLY_CLOSED,2026-06-16 07:50:00+00:00,2026-06-16 14:31:00+00:00,2026-06-17 04:42:00+00:00,okx,bitget,102.54840437743889,81.11640171691431,31.057159995046,112.1735617119603,102.1735617119603,92.1735617119603,72.1735617119603,32.1735617119603,1253,strict_joint_window,历史分钟代理；无真实BBO
14,binance/bitget,KRX_FULLY_CLOSED,2026-06-11 09:53:00+00:00,2026-06-11 11:32:00+00:00,2026-06-11 12:21:00+00:00,binance,bitget,141.796587642019,112.13349603310104,0.0,112.13349603310104,102.13349603310104,92.13349603310104,72.13349603310104,32.13349603310104,149,strict_joint_window,历史分钟代理；无真实BBO
15,binance/bitget,KRX_FULLY_CLOSED,2026-06-10 12:30:00+00:00,2026-06-10 12:30:00+00:00,2026-06-10 13:37:00+00:00,binance,bitget,130.25449783222638,106.70471177297512,0.0,106.70471177297512,96.70471177297512,86.70471177297512,66.70471177297512,26.704711772975116,68,strict_joint_window,历史分钟代理；无真实BBO
16,bitget/okx,KRX_FULLY_CLOSED,2026-07-02 08:24:00+00:00,2026-07-02 12:38:00+00:00,2026-07-02 16:38:00+00:00,okx,bitget,125.605034673928,97.61710761521542,3.4407437920720003,101.05785140728742,91.05785140728742,81.05785140728742,61.057851407287416,21.057851407287416,495,strict_joint_window,历史分钟代理；无真实BBO
17,bitget/okx,KRX_FULLY_CLOSED,2026-06-26 13:33:00+00:00,2026-06-26 13:33:00+00:00,2026-06-26 13:34:00+00:00,okx,bitget,123.27183264704082,99.12947960710262,0.0,99.12947960710262,89.12947960710262,79.12947960710262,59.129479607102624,19.129479607102624,2,strict_joint_window,历史分钟代理；无真实BBO
18,gate/hyperliquid,KRX_FULLY_CLOSED,2026-07-19 16:05:00+00:00,2026-07-19 23:00:00+00:00,2026-07-20 00:22:00+00:00,hyperliquid,gate,100.24007075769585,79.64601135175597,4.691342000000001,84.33735335175598,74.33735335175598,64.33735335175598,44.33735335175598,4.337353351755979,498,strict_joint_window,历史分钟代理；无真实BBO
19,binance/hyperliquid,KRX_FULLY_CLOSED,2026-07-19 16:05:00+00:00,2026-07-19 23:00:00+00:00,2026-07-20 00:06:00+00:00,hyperliquid,binance,111.94326554994063,86.01925994726221,-6.3977580000000005,79.62150194726222,69.62150194726222,59.62150194726222,39.62150194726222,-0.3784980527377826,482,strict_joint_window,历史分钟代理；无真实BBO
20,binance/hyperliquid,KRX_FULLY_CLOSED,2026-07-22 07:32:00+00:00,2026-07-22 11:32:00+00:00,2026-07-22 13:42:00+00:00,hyperliquid,binance,95.89957211852378,72.03512219409453,2.581789,74.61691119409453,64.61691119409453,54.61691119409453,34.61691119409453,-5.383088805905473,371,strict_joint_window,历史分钟代理；无真实BBO
21,bitget/okx,KRX_FULLY_CLOSED,2026-06-10 09:26:00+00:00,2026-06-10 13:33:00+00:00,2026-06-11 12:44:00+00:00,okx,bitget,114.87394250445736,94.0683228123378,-19.549019203818997,74.5193036085188,64.5193036085188,54.5193036085188,34.5193036085188,-5.480696391481203,1639,strict_joint_window,历史分钟代理；无真实BBO
22,bitget/okx,KRX_FULLY_CLOSED,2026-07-15 07:56:00+00:00,2026-07-15 13:44:00+00:00,2026-07-15 14:22:00+00:00,okx,bitget,89.95302945260158,67.06904066727172,6.581503215192,73.65054388246372,63.65054388246372,53.65054388246372,33.65054388246372,-6.349456117536278,387,strict_joint_window,历史分钟代理；无真实BBO
23,binance/okx,KRX_FULLY_CLOSED,2026-06-11 11:28:00+00:00,2026-06-11 11:32:00+00:00,2026-06-11 12:19:00+00:00,binance,okx,92.84032248296184,71.17401930488006,0.0,71.17401930488006,61.17401930488006,51.17401930488006,31.174019304880062,-8.825980695119938,52,strict_joint_window,历史分钟代理；无真实BBO
24,binance/okx,KRX_FULLY_CLOSED,2026-06-23 22:21:00+00:00,2026-06-23 23:10:00+00:00,2026-06-23 23:16:00+00:00,okx,binance,101.59449151387584,70.5872900321576,0.0,70.5872900321576,60.5872900321576,50.5872900321576,30.587290032157597,-9.412709967842403,56,strict_joint_window,历史分钟代理；无真实BBO
