base_event_id,analysis_scope,pair,threshold_bps,event_start,event_end,duration_bars,duration_minutes,status,peak_abs_spread_bps,peak_time,peak_spread_bps,start_session,start_regime,comparison_quality
15m-0000001,ALL_FIVE_TRADE_CLOSE_15M,binance/bitget,20,2026-06-10 06:00:00+00:00,2026-06-10 08:15:00+00:00,10,150,COMPLETED,78.84638445856804,2026-06-10 07:45:00+00:00,-78.84638445856804,PRE_CLOSE_BASELINE,PRE_GATE_REGIME,STRICT_NATIVE_15M_BARS
15m-0000002,ALL_FIVE_TRADE_CLOSE_15M,binance/bitget,20,2026-06-10 10:45:00+00:00,2026-06-10 10:45:00+00:00,1,15,COMPLETED,21.238146692251124,2026-06-10 10:45:00+00:00,-21.238146692251124,US_PREMARKET,PRE_GATE_REGIME,STRICT_NATIVE_15M_BARS
15m-0000003,ALL_FIVE_TRADE_CLOSE_15M,binance/bitget,20,2026-06-10 12:15:00+00:00,2026-06-10 13:45:00+00:00,7,105,COMPLETED,42.75213215352874,2026-06-10 12:30:00+00:00,-42.75213215352874,US_PREMARKET,PRE_GATE_REGIME,STRICT_NATIVE_15M_BARS
15m-0000004,ALL_FIVE_TRADE_CLOSE_15M,binance/bitget,20,2026-06-10 14:15:00+00:00,2026-06-10 15:30:00+00:00,6,90,COMPLETED,53.98958772236743,2026-06-10 14:15:00+00:00,-53.98958772236743,US_REGULAR,PRE_GATE_REGIME,STRICT_NATIVE_15M_BARS
15m-0000005,ALL_FIVE_TRADE_CLOSE_15M,binance/bitget,20,2026-06-10 16:15:00+00:00,2026-06-10 17:00:00+00:00,4,60,COMPLETED,32.22715791307417,2026-06-10 16:30:00+00:00,-32.22715791307417,US_REGULAR,PRE_GATE_REGIME,STRICT_NATIVE_15M_BARS
15m-0000006,ALL_FIVE_TRADE_CLOSE_15M,binance/bitget,20,2026-06-10 17:45:00+00:00,2026-06-10 18:00:00+00:00,2,30,COMPLETED,24.751033719644248,2026-06-10 17:45:00+00:00,-24.751033719644248,US_REGULAR,PRE_GATE_REGIME,STRICT_NATIVE_15M_BARS
15m-0000007,ALL_FIVE_TRADE_CLOSE_15M,binance/bitget,20,2026-06-11 00:00:00+00:00,2026-06-11 00:45:00+00:00,4,60,COMPLETED,46.535359273962015,2026-06-11 00:45:00+00:00,-46.535359273962015,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,STRICT_NATIVE_15M_BARS
15m-0000008,ALL_FIVE_TRADE_CLOSE_15M,binance/bitget,20,2026-06-11 01:15:00+00:00,2026-06-12 02:00:00+00:00,100,1500,COMPLETED,66.40679332222948,2026-06-11 10:45:00+00:00,-66.40679332222948,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,STRICT_NATIVE_15M_BARS
15m-0000009,ALL_FIVE_TRADE_CLOSE_15M,binance/bitget,20,2026-06-12 02:30:00+00:00,2026-06-12 03:30:00+00:00,5,75,COMPLETED,33.8021408022519,2026-06-12 03:00:00+00:00,-33.8021408022519,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,STRICT_NATIVE_15M_BARS
15m-0000010,ALL_FIVE_TRADE_CLOSE_15M,binance/bitget,20,2026-06-12 04:00:00+00:00,2026-06-12 04:00:00+00:00,1,15,COMPLETED,20.60267834818472,2026-06-12 04:00:00+00:00,-20.60267834818472,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,STRICT_NATIVE_15M_BARS
15m-0000011,ALL_FIVE_TRADE_CLOSE_15M,binance/bitget,20,2026-06-12 04:30:00+00:00,2026-06-12 06:30:00+00:00,9,135,COMPLETED,38.59761981344396,2026-06-12 05:30:00+00:00,-38.59761981344396,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,STRICT_NATIVE_15M_BARS
