analysis_scope,comparison_quality,threshold_bps,event_count,completed_count,median_duration_minutes,p95_duration_minutes,max_duration_minutes
ALL_FIVE_TRADE_CLOSE_15M,ALLOW_ONE_MISSING_15M_BAR,20,1751,1747,30.0,825.0,24120
ALL_FIVE_TRADE_CLOSE_15M,ALLOW_ONE_MISSING_15M_BAR,50,1056,1056,30.0,510.0,21225
ALL_FIVE_TRADE_CLOSE_15M,ALLOW_ONE_MISSING_15M_BAR,100,308,308,30.0,999.7499999999997,13440
ALL_FIVE_TRADE_CLOSE_15M,ALLOW_ONE_MISSING_15M_BAR,150,269,269,45.0,842.9999999999998,11670
ALL_FIVE_TRADE_CLOSE_15M,ALLOW_ONE_MISSING_15M_BAR,200,197,197,30.0,626.9999999999993,4140
ALL_FIVE_TRADE_CLOSE_15M,STRICT_NATIVE_15M_BARS,20,2021,2017,30.0,1500.0,1500
ALL_FIVE_TRADE_CLOSE_15M,STRICT_NATIVE_15M_BARS,50,1180,1180,30.0,1500.0,1500
ALL_FIVE_TRADE_CLOSE_15M,STRICT_NATIVE_15M_BARS,100,375,375,45.0,1500.0,1500
ALL_FIVE_TRADE_CLOSE_15M,STRICT_NATIVE_15M_BARS,150,308,308,60.0,1463.2499999999977,1500
ALL_FIVE_TRADE_CLOSE_15M,STRICT_NATIVE_15M_BARS,200,211,211,30.0,540.0,1500
