group_type,group_value,population,threshold_bps,event_count_total,event_count_completed,event_count_right_censored,event_count_data_gap_censored,censoring_ratio,min_minutes,p25_minutes,median_minutes,p75_minutes,p90_minutes,p95_minutes,p99_minutes,max_observed_minutes,count_le_5m,ratio_le_5m,count_le_15m,ratio_le_15m,count_le_30m,ratio_le_30m,count_le_60m,ratio_le_60m,count_le_240m,ratio_le_240m,count_gt_240m,ratio_gt_240m,count_gt_1440m,ratio_gt_1440m
ALL,ALL_OBSERVED,ALL_OBSERVED,20,1122,1116,6,0,0.0053475935828877,15.0,15.0,45.0,165.0,628.4999999999997,1274.2500000000007,8986.94999999992,24390.0,0,0.0,391,0.3484848484848485,513,0.4572192513368984,676,0.6024955436720143,907,0.8083778966131907,215,0.19162210338680927,46,0.040998217468805706
STATUS_SCOPE,COMPLETED_ONLY,COMPLETED_ONLY,20,1116,1116,0,0,0.0,15.0,15.0,45.0,165.0,630.0,1278.75,9119.2499999998,24390.0,0,0.0,387,0.3467741935483871,509,0.4560931899641577,671,0.6012544802867383,902,0.8082437275985663,214,0.1917562724014337,46,0.04121863799283154
STATUS_SCOPE,ALL_OBSERVED,ALL_OBSERVED,20,1122,1116,6,0,0.0053475935828877,15.0,15.0,45.0,165.0,628.4999999999997,1274.2500000000007,8986.94999999992,24390.0,0,0.0,391,0.3484848484848485,513,0.4572192513368984,676,0.6024955436720143,907,0.8083778966131907,215,0.19162210338680927,46,0.040998217468805706
PAIR,binance/bitget,ALL_OBSERVED,20,149,149,0,0,0.0,15.0,15.0,45.0,120.0,285.0,656.9999999999998,3037.800000000027,9450.0,0,0.0,55,0.3691275167785235,73,0.4899328859060403,95,0.6375838926174496,131,0.8791946308724832,18,0.12080536912751678,4,0.026845637583892617
PAIR,binance/gate,ALL_OBSERVED,20,57,57,0,0,0.0,15.0,15.0,15.0,45.0,135.0,1250.9999999999995,16619.399999999983,20895.0,0,0.0,32,0.5614035087719298,38,0.6666666666666666,46,0.8070175438596491,53,0.9298245614035088,4,0.07017543859649122,2,0.03508771929824561
PAIR,binance/hyperliquid,ALL_OBSERVED,20,143,143,0,0,0.0,15.0,15.0,60.0,277.5,1032.0,1360.5000000000002,3996.900000000007,6315.0,0,0.0,40,0.27972027972027974,59,0.4125874125874126,79,0.5524475524475524,104,0.7272727272727273,39,0.2727272727272727,6,0.04195804195804196
PAIR,binance/okx,ALL_OBSERVED,20,168,167,1,0,0.005952380952380952,15.0,15.0,30.0,93.75,268.5000000000005,393.75000000000045,899.8500000000006,1665.0,0,0.0,75,0.44642857142857145,92,0.5476190476190477,118,0.7023809523809523,150,0.8928571428571429,18,0.10714285714285714,1,0.005952380952380952
PAIR,bitget/gate,ALL_OBSERVED,20,116,115,1,0,0.008620689655172414,15.0,15.0,45.0,93.75,255.0,997.5,10253.24999999996,17160.0,0,0.0,37,0.31896551724137934,54,0.46551724137931033,76,0.6551724137931034,104,0.896551724137931,12,0.10344827586206896,6,0.05172413793103448
PAIR,bitget/hyperliquid,ALL_OBSERVED,20,38,37,1,0,0.02631578947368421,15.0,45.0,330.0,1200.0,4722.000000000013,7679.249999999996,11869.350000000008,12885.0,0,0.0,7,0.18421052631578946,9,0.23684210526315788,12,0.3157894736842105,16,0.42105263157894735,22,0.5789473684210527,8,0.21052631578947367
PAIR,bitget/okx,ALL_OBSERVED,20,97,96,1,0,0.010309278350515464,15.0,30.0,75.0,435.0,1026.0,2540.999999999998,6970.799999999974,10110.0,0,0.0,21,0.21649484536082475,29,0.29896907216494845,42,0.4329896907216495,68,0.7010309278350515,29,0.29896907216494845,7,0.07216494845360824
PAIR,gate/hyperliquid,ALL_OBSERVED,20,37,37,0,0,0.0,15.0,30.0,285.0,945.0,2045.9999999999982,6563.9999999999545,21074.400000000005,24390.0,0,0.0,6,0.16216216216216217,10,0.2702702702702703,13,0.35135135135135137,16,0.43243243243243246,21,0.5675675675675675,5,0.13513513513513514
PAIR,gate/okx,ALL_OBSERVED,20,125,124,1,0,0.008,15.0,15.0,30.0,90.0,228.00000000000026,353.9999999999999,11307.000000000067,22725.0,0,0.0,55,0.44,68,0.544,91,0.728,115,0.92,10,0.08,2,0.016
PAIR,hyperliquid/okx,ALL_OBSERVED,20,192,191,1,0,0.005208333333333333,15.0,15.0,60.0,195.0,576.0000000000005,823.4999999999997,1761.0000000000032,3090.0,0,0.0,63,0.328125,81,0.421875,104,0.5416666666666666,150,0.78125,42,0.21875,5,0.026041666666666668
START_SESSION,BOTH_PRIMARY_MARKETS_CLOSED,ALL_OBSERVED,20,36,36,0,0,0.0,15.0,15.0,45.0,195.0,405.0,532.5,1064.249999999999,1290.0,0,0.0,12,0.3333333333333333,15,0.4166666666666667,21,0.5833333333333334,31,0.8611111111111112,5,0.1388888888888889,0,0.0
START_SESSION,KRX_CLOSE_TRANSITION,ALL_OBSERVED,20,16,15,1,0,0.0625,15.0,15.0,52.5,378.75,450.0,487.5,541.5,555.0,0,0.0,6,0.375,7,0.4375,9,0.5625,11,0.6875,5,0.3125,0,0.0
START_SESSION,KRX_HOLIDAY_OR_WEEKEND,ALL_OBSERVED,20,214,214,0,0,0.0,15.0,15.0,45.0,135.0,411.0000000000005,1240.4999999999998,3049.0500000000015,6315.0,0,0.0,75,0.35046728971962615,97,0.4532710280373832,128,0.5981308411214953,177,0.8271028037383178,37,0.17289719626168223,9,0.04205607476635514
START_SESSION,KRX_OFFICIAL_AFTER_HOURS,ALL_OBSERVED,20,133,130,3,0,0.022556390977443608,15.0,15.0,135.0,705.0,1301.9999999999998,3221.999999999991,22139.400000000012,24390.0,0,0.0,34,0.2556390977443609,42,0.3157894736842105,55,0.41353383458646614,75,0.5639097744360902,58,0.43609022556390975,9,0.06766917293233082
START_SESSION,KRX_REGULAR_EARLIER,ALL_OBSERVED,20,264,263,1,0,0.003787878787878788,15.0,15.0,30.0,105.0,430.5000000000002,1460.9999999999995,11294.400000000014,17160.0,0,0.0,100,0.3787878787878788,133,0.5037878787878788,183,0.6931818181818182,229,0.8674242424242424,35,0.13257575757575757,14,0.05303030303030303
START_SESSION,PRE_CLOSE_BASELINE,ALL_OBSERVED,20,44,44,0,0,0.0,15.0,15.0,37.5,161.25,1099.500000000001,1491.0,3056.100000000001,4230.0,0,0.0,19,0.4318181818181818,22,0.5,28,0.6363636363636364,34,0.7727272727272727,10,0.22727272727272727,3,0.06818181818181818
START_SESSION,US_AFTER_HOURS,ALL_OBSERVED,20,106,106,0,0,0.0,15.0,15.0,45.0,116.25,285.0,375.0,4167.000000000008,4350.0,0,0.0,43,0.4056603773584906,51,0.4811320754716981,64,0.6037735849056604,95,0.8962264150943396,11,0.10377358490566038,3,0.02830188679245283
