check,evidence,conclusion
quarter_hour_alignment,aligned=True; rows=12639,DATA_ERROR_NOT_SUPPORTED
duplicate_timestamps,duplicate rows=0,DATA_ERROR_NOT_SUPPORTED
missing_buckets,index:0; mark:0; trade:0,DATA_ERROR_NOT_SUPPORTED
pagination_order,normalized rows are sorted; raw API page ordering is not preserved as a column (observed backward count after normalization=0),INCONCLUSIVE
seconds_milliseconds,implausible years=0,DATA_ERROR_NOT_SUPPORTED
price_multiplier_1000,"median Gate/external ratios=1.004751,1.003474,1.006051",DATA_ERROR_NOT_SUPPORTED
trade_mark_index_symbol,"{""index"": ""SKHYNIX_USDT"", ""mark"": ""SKHYNIX_USDT"", ""trade"": ""SKHYNIX_USDT""}",DATA_ERROR_NOT_SUPPORTED
ohlc_invariants,violations=0,DATA_ERROR_NOT_SUPPORTED
zero_or_missing_volume,ratio=0.0000%,DATA_ERROR_NOT_SUPPORTED
trade_count_availability,trade_count column is absent from native 15m schema,INCONCLUSIVE
extremes_at_low_volume,lowest-volume-decile share among top-5% premium=1.4354%,INCONCLUSIVE
extremes_after_stale_trade,first-price-change share among top-5% premium=1.9139%,INCONCLUSIVE
discrete_ratio_steps,"{""1.0"":0.1637497003,""1.001"":0.1532006713,""0.999"":0.0477103812,""1.002"":0.0472308799,""1.005"":0.0467513786}",INCONCLUSIVE
