record_type,pair,funding_time,lag_hours,gate_funding_rate,other_funding_rate,funding_diff,premium_bps,premium_before_4h_bps,premium_after_4h_bps,abs_premium_change_after_settlement_bps,correlation,alignment,regime
settlement,gate/binance,2026-06-10 08:00:00+00:00,,0.00401,0.00463966,-0.0006296600000000006,1.632059585010274,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-10 08:00:00+00:00,,0.00401,0.00463966,-0.0006296600000000006,,,12.495577619365545,,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-10 16:00:00+00:00,,0.000223,0.00017878,4.422000000000001e-05,3.3062101647598077,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-10 16:00:00+00:00,,0.000223,0.00017878,4.422000000000001e-05,,12.495577619365545,9.562514941429393,-2.9330626779361513,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-11 00:00:00+00:00,,-0.001583,-0.00220722,0.0006242200000000002,9.977022614584111,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-11 00:00:00+00:00,,-0.001583,-0.00220722,0.0006242200000000002,,9.562514941429393,14.281416397531036,4.7189014561016425,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-11 08:00:00+00:00,,0.002548,0.0033825,-0.0008345000000000002,-8.425020884056458,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-11 08:00:00+00:00,,0.002548,0.0033825,-0.0008345000000000002,,14.281416397531036,14.663278452811811,0.38186205528077544,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-11 16:00:00+00:00,,0.000344,5.254e-05,0.00029146,-4.371091574369317,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-11 16:00:00+00:00,,0.000344,5.254e-05,0.00029146,,14.663278452811811,9.313979496125812,-5.349298956685999,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-12 00:00:00+00:00,,0.002061,0.00216676,-0.00010576000000000032,22.206016647941883,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-12 00:00:00+00:00,,0.002061,0.00216676,-0.00010576000000000032,,9.313979496125812,12.939975854272223,3.625996358146411,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-12 08:00:00+00:00,,0.001088,0.00074851,0.00033949,20.206947009022496,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-12 08:00:00+00:00,,0.001088,0.00074851,0.00033949,,12.939975854272223,1.1718359567512941,-11.768139897520928,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-12 16:00:00+00:00,,0.000685,0.00091069,-0.00022569000000000007,6.69414194961819,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-12 16:00:00+00:00,,0.000685,0.00091069,-0.00022569000000000007,,1.1718359567512941,8.154943934759212,6.983107978007918,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-13 00:00:00+00:00,,0.0001,0.0,0.0001,0.0,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-13 00:00:00+00:00,,0.0001,0.0,0.0001,,8.154943934759212,7.499573887846661,-0.6553700469125507,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-13 08:00:00+00:00,,0.0001,0.0,0.0001,-6.6382621300694185,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-13 08:00:00+00:00,,0.0001,0.0,0.0001,,7.499573887846661,-7.886971538910337,0.38739765106367585,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-13 16:00:00+00:00,,0.0001,0.0,0.0001,-2.8399294074679693,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-13 16:00:00+00:00,,0.0001,0.0,0.0001,,-7.886971538910337,-1.6002987224282474,-6.286672816482089,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-14 00:00:00+00:00,,0.0001,0.0,0.0001,-0.13380521974150042,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-14 00:00:00+00:00,,0.0001,0.0,0.0001,,-1.6002987224282474,1.7199521059489895,0.11965338352074206,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-14 08:00:00+00:00,,0.0001,0.0,0.0001,0.0,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-14 08:00:00+00:00,,0.0001,0.0,0.0001,,1.7199521059489895,-7.667178904116654,5.947226798167665,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-14 16:00:00+00:00,,0.0001,0.0,0.0001,4.099471697115944,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-14 16:00:00+00:00,,0.0001,0.0,0.0001,,-7.667178904116654,-0.4650745614191665,-7.202104342697488,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-15 00:00:00+00:00,,0.0001,0.00029335,-0.00019335,-0.4509626441868424,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-15 00:00:00+00:00,,0.0001,0.00029335,-0.00019335,,-0.4650745614191665,4.772380339100623,4.3073057776814565,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-15 08:00:00+00:00,,0.002437,0.00342426,-0.0009872600000000002,14.918927407641371,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-15 08:00:00+00:00,,0.002437,0.00342426,-0.0009872600000000002,,4.772380339100623,5.559585012124949,0.7872046730243261,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-15 16:00:00+00:00,,0.00118,0.00097246,0.0002075400000000001,19.787145941265106,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-15 16:00:00+00:00,,0.00118,0.00097246,0.0002075400000000001,,5.559585012124949,9.90092805534448,4.34134304321953,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-16 00:00:00+00:00,,-0.000288,-0.00014432,-0.00014368,-3.4327779437657804,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-16 00:00:00+00:00,,-0.000288,-0.00014432,-0.00014368,,9.90092805534448,1.0229394164135863,-8.877988638930894,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-16 08:00:00+00:00,,0.001027,0.00158824,-0.0005612400000000002,2.2536339847998645,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-16 08:00:00+00:00,,0.001027,0.00158824,-0.0005612400000000002,,1.0229394164135863,16.53348029760292,15.510540881189335,,real_settlement_plus_minus_4h,PRE_20260716
settlement,gate/binance,2026-06-16 16:00:00+00:00,,-0.000901,-0.00248513,0.00158413,14.670706426408431,,,,,real_settlement_event,PRE_20260716
settlement_window,gate/binance,2026-06-16 16:00:00+00:00,,-0.000901,-0.00248513,0.00158413,,16.53348029760292,-1.042358858094923,-15.491121439507998,,real_settlement_plus_minus_4h,PRE_20260716
