pair,regime,count,median_signed_bps,median_abs_bps,p95_abs_bps
binance/bitget,PRE_20260716,3398,-22.106806670069037,22.106806670069037,61.585083052657204
binance/hyperliquid,PRE_20260716,3432,38.96919716541939,39.189657858204626,90.29714408619488
binance/okx,PRE_20260716,3432,10.512210179427708,11.53446579325084,51.96216800822646
bitget/hyperliquid,PRE_20260716,3398,63.504388132476706,63.504388132476706,119.28377392853193
bitget/okx,PRE_20260716,3398,35.91725191343005,35.91725191343005,88.56745405620069
hyperliquid/okx,PRE_20260716,3432,-27.19247333227286,27.288312883465554,61.48590594799326
NON_GATE_CROSS_SECTION_MEDIAN,PRE_20260716,3432,,32.10978086943677,64.65909946605147
GATE_EXCESS_VS_NON_GATE_MEDIAN,PRE_20260716,3398,,30.21681332526006,174.9643887440226
binance/bitget,GATE_REGIME_20260716_20260720,380,-11.926493817018892,11.926493817018892,20.735239038966604
binance/hyperliquid,GATE_REGIME_20260716_20260720,384,31.190413295420257,31.190413295420257,66.8739248412503
binance/okx,GATE_REGIME_20260716_20260720,384,16.09302387461615,16.09302387461615,28.41367028516921
bitget/hyperliquid,GATE_REGIME_20260716_20260720,380,43.62870516068703,43.62870516068703,75.94737969251425
bitget/okx,GATE_REGIME_20260716_20260720,380,27.2993122002552,27.2993122002552,41.03151374020404
hyperliquid/okx,GATE_REGIME_20260716_20260720,384,-17.30595464233223,17.30595464233223,42.914286926080855
NON_GATE_CROSS_SECTION_MEDIAN,GATE_REGIME_20260716_20260720,384,,23.098335063049742,38.83074479178964
GATE_EXCESS_VS_NON_GATE_MEDIAN,GATE_REGIME_20260716_20260720,380,,16.87636023206982,151.1736514825115
binance/bitget,POST_20260720,398,-12.992965130985901,12.992965130985901,23.55524531969703
binance/hyperliquid,POST_20260720,402,22.07044308427281,22.07044308427281,36.833988696263
binance/okx,POST_20260720,402,11.186483717378835,11.297483041495845,19.720451002996697
bitget/hyperliquid,POST_20260720,398,34.36191127466156,34.36191127466156,51.601969190116094
bitget/okx,POST_20260720,398,22.675746126942855,22.675746126942855,37.08176306256622
hyperliquid/okx,POST_20260720,402,-11.355491072745298,11.355491072745298,28.23709334365738
NON_GATE_CROSS_SECTION_MEDIAN,POST_20260720,402,,18.448944610497268,26.307137550038558
GATE_EXCESS_VS_NON_GATE_MEDIAN,POST_20260720,398,,-11.313084977030057,2.151460357830804
