row_type,pair,regime,count,coverage_percent,median_signed_bps,mean_signed_bps,std_bps,p05_signed_bps,p95_signed_bps,p95_abs_bps,p99_abs_bps,max_abs_bps,percent_gate_higher,ratio_abs_gt_20bps,longest_over_20bps_minutes,ratio_abs_gt_50bps,longest_over_50bps_minutes,ratio_abs_gt_100bps,longest_over_100bps_minutes,ratio_abs_gt_150bps,longest_over_150bps_minutes,ratio_abs_gt_200bps,longest_over_200bps_minutes
pair,gate/binance,PRE_20260716,3432,100.0,57.91911233231859,83.533467983871,75.97289948811333,-3.965666632120082,205.1176340526703,205.1176340526703,245.07512277182727,293.9714126645284,89.8892773892774,0.6558857808857809,13260,0.548951048951049,9375,0.43065268065268064,7725,0.26019813519813517,5940,0.08158508158508158,705
pair,gate/bitget,PRE_20260716,3398,99.009324009324,46.380312422552365,56.884245369340746,78.8448017117173,-41.88618975962848,183.80214150551132,183.80214150551132,221.66404277561875,258.64598124699245,61.8599175985874,0.8487345497351383,1500,0.5,1500,0.3646262507357269,1500,0.1483225426721601,1500,0.0164802825191289,675
pair,gate/hyperliquid,PRE_20260716,3432,100.0,99.7380123101963,123.9346757693948,79.78134168790555,24.680502798759996,256.2891350965535,256.2891350965535,339.151194525487,449.7633853494466,99.53379953379954,0.9676573426573427,18255,0.7963286713286714,18210,0.4991258741258741,11310,0.39015151515151514,9600,0.18210955710955712,4170
pair,gate/okx,PRE_20260716,3432,100.0,72.01298936271851,96.83142973446203,80.76290133732385,1.2580478005889173,222.58039932819574,222.58039932819574,293.7276893380652,393.121374128094,95.33799533799534,0.7587412587412588,18240,0.615967365967366,12825,0.44726107226107226,11310,0.3146853146853147,6180,0.1357808857808858,2145
pair,gate/binance,GATE_REGIME_20260716_20260720,384,100.0,36.01513821471802,76.73905251602757,64.58049949330878,12.408791176986355,176.8565331022277,176.8565331022277,183.2151383002365,191.82632327582863,100.0,0.7734375,3855,0.4479166666666667,2580,0.3567708333333333,1755,0.2552083333333333,1470,0.0,0
pair,gate/bitget,GATE_REGIME_20260716_20260720,380,98.95833333333333,23.89936380351211,65.11783042529476,66.24330426316462,-0.34390110007571073,172.15612179464097,172.15612179464097,178.29020930323708,183.85737225132388,93.15789473684211,0.5394736842105263,1500,0.44473684210526315,1170,0.3131578947368421,1170,0.25,825,0.0,0
pair,gate/hyperliquid,GATE_REGIME_20260716_20260720,384,100.0,69.43942322140936,112.95882705854122,74.3371805709628,36.57007749337195,229.94066694087195,229.94066694087195,237.4791906085766,250.9836405052821,100.0,1.0,5760,0.6953125,3225,0.4401041666666667,2265,0.3802083333333333,2190,0.22395833333333334,885
pair,gate/okx,GATE_REGIME_20260716_20260720,384,100.0,51.11651726896109,93.12497244653373,67.82902989419836,23.89890388324836,200.443297002678,200.443297002678,204.0365494140012,206.5798598999526,100.0,0.9869791666666666,4425,0.5130208333333334,2745,0.4270833333333333,2265,0.2890625,1515,0.0546875,60
pair,gate/binance,POST_20260720,402,100.0,5.729553106198712,5.312610671487551,8.573764005494104,-11.209228270622164,18.04451959909261,18.356752048121965,25.671009123149673,29.99693401503071,76.61691542288557,0.03482587064676617,105,0.0,0,0.0,0,0.0,0,0.0,0
pair,gate/bitget,POST_20260720,398,99.0049751243781,-8.61539719615784,-7.591610773404968,8.254363699925918,-19.184726343380458,6.761017008962572,19.422252219278448,22.414419023419114,26.67029977251818,16.582914572864322,0.04271356783919598,45,0.0,0,0.0,0,0.0,0,0.0,0
pair,gate/hyperliquid,POST_20260720,402,100.0,26.329879912913814,26.92676700354919,9.856593644359094,11.785505322884143,44.014125573275024,44.014125573275024,49.8466071516058,55.47505692403079,100.0,0.7437810945273632,630,0.007462686567164179,15,0.0,0,0.0,0,0.0,0
pair,gate/okx,POST_20260720,402,100.0,14.892570275906039,14.945611631555124,7.982536068152725,2.4116443587139167,26.830129715586803,26.830129715586803,36.87223338433591,42.069099888266095,97.76119402985076,0.2537313432835821,345,0.0,0,0.0,0,0.0,0,0.0,0
