analysis_scope,execution_model,strategy_event_id,base_event_id,pair,threshold_bps,signal_time,signal_close_spread_bps,signal_abs_spread_bps,signal_direction,entry_exec_time,exit_signal_time,exit_signal_close_spread_bps,exit_exec_time,holding_minutes,long_exchange,short_exchange,entry_long_price,entry_short_price,exit_long_price,exit_short_price,long_return,short_return,gross_price_pnl_bps,signed_spread_change_bps,long_funding_event_count,short_funding_event_count,sum_long_funding,sum_short_funding,funding_cashflow_bps,combined_gross_bps,net_after_cost_20bps,net_after_cost_40bps,net_after_cost_80bps,mae_price_bps,mfe_price_bps,status,is_realized,data_quality
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,j15-47930f253a3bb5be2301,15m-0000002,binance/bitget,20,2026-06-10 10:45:00+00:00,-21.238146692251124,21.238146692251124,LONG_A_SHORT_B,2026-06-10 11:00:00+00:00,2026-06-10 11:00:00+00:00,-13.369083252251983,2026-06-10 11:15:00+00:00,15.0,binance,bitget,1340.7,1343.35,1345.09,1347.29,0.0032744088908778224,-0.0029329660922321477,3.4144279864567473,7.869063439999142,0,0,0.0,0.0,0.0,3.4144279864567473,-16.585572013543253,-36.585572013543256,-76.58557201354326,6.397944060150262,6.397944060150262,REALIZED,True,native_15m_close_signal_next_contiguous_open_execution
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,j15-edd584e08cf4b1665815,15m-0000003,binance/bitget,20,2026-06-10 12:15:00+00:00,-23.28853168379076,23.28853168379076,LONG_A_SHORT_B,2026-06-10 12:30:00+00:00,2026-06-10 14:00:00+00:00,-19.200602826474306,2026-06-10 14:15:00+00:00,105.0,binance,bitget,1359.68,1362.77,1378.9,1381.49,0.014135678983290267,-0.013736727400808668,3.9895158248159923,4.087928857316456,0,0,0.0,0.0,0.0,3.9895158248159923,-16.010484175184008,-36.010484175184004,-76.010484175184,-20.260384600623293,3.5482355235672003,REALIZED,True,native_15m_close_signal_next_contiguous_open_execution
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,j15-e97a9edc2f6398855b28,15m-0000004,binance/bitget,20,2026-06-10 14:15:00+00:00,-53.98958772236743,53.98958772236743,LONG_A_SHORT_B,2026-06-10 14:30:00+00:00,2026-06-10 15:45:00+00:00,-18.998626253177953,2026-06-10 16:00:00+00:00,90.0,binance,bitget,1396.76,1404.05,1366.91,1369.82,-0.021370886909705233,0.024379473665467777,30.085867557625434,34.99096146918948,0,0,0.0,0.0,0.0,30.085867557625434,10.085867557625434,-9.914132442374566,-49.914132442374566,-1.7571446200270735,32.30528964874968,REALIZED,True,native_15m_close_signal_next_contiguous_open_execution
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,j15-97aeecb886e88bc3adfc,15m-0000005,binance/bitget,20,2026-06-10 16:15:00+00:00,-23.339259033056944,23.339259033056944,LONG_A_SHORT_B,2026-06-10 16:30:00+00:00,2026-06-10 17:15:00+00:00,-14.893011235462623,2026-06-10 17:30:00+00:00,60.0,binance,bitget,1373.53,1376.97,1368.75,1370.79,-0.003480084162704844,0.00448811520948178,10.08031046776936,8.44624779759432,0,0,0.0,0.0,0.0,10.08031046776936,-9.91968953223064,-29.91968953223064,-69.91968953223063,-7.2264910887009925,10.08031046776936,REALIZED,True,native_15m_close_signal_next_contiguous_open_execution
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,j15-87b51b190a5359c52fe2,15m-0000006,binance/bitget,20,2026-06-10 17:45:00+00:00,-24.751033719644248,24.751033719644248,LONG_A_SHORT_B,2026-06-10 18:00:00+00:00,2026-06-10 18:15:00+00:00,-12.081162120461228,2026-06-10 18:30:00+00:00,30.0,binance,bitget,1371.97,1375.38,1373.05,1374.87,0.0007871892242541367,0.00037080661344512933,11.57995837699266,12.66987159918302,0,0,0.0,0.0,0.0,11.57995837699266,-8.42004162300734,-28.42004162300734,-68.42004162300734,4.398031015884207,12.746164635146773,REALIZED,True,native_15m_close_signal_next_contiguous_open_execution
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,j15-ef329c35fc60e4e29dbb,15m-0000007,binance/bitget,20,2026-06-11 00:00:00+00:00,-33.36881601099091,33.36881601099091,LONG_A_SHORT_B,2026-06-11 00:15:00+00:00,,,,,binance,bitget,1322.41,1326.8,,,,,,,0,0,0.0,0.0,,,,,,,,DATA_GAP_DURING_HOLD,False,native_15m_close_signal_next_contiguous_open_execution
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,j15-e32d21f2b9054dcf531c,15m-0000008,binance/bitget,20,2026-06-11 01:15:00+00:00,-32.536800119872034,32.536800119872034,LONG_A_SHORT_B,2026-06-11 01:30:00+00:00,,,,,binance,bitget,1399.26,1403.77,,,,,,,0,0,0.0,0.0,,,,,,,,DATA_GAP_DURING_HOLD,False,native_15m_close_signal_next_contiguous_open_execution
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,j15-20b4e311bd812a8365d2,15m-0000009,binance/bitget,20,2026-06-12 02:30:00+00:00,-31.70142056995951,31.70142056995951,LONG_A_SHORT_B,2026-06-12 02:45:00+00:00,2026-06-12 03:45:00+00:00,-18.566641933326217,2026-06-12 04:00:00+00:00,75.0,binance,bitget,1499.25,1503.89,1501.4,1504.09,0.0014340503585126285,-0.00013298844995301984,13.010619085596087,13.134778636633293,0,0,0.0,0.0,0.0,13.010619085596087,-6.989380914403913,-26.989380914403913,-66.98938091440391,-2.897940513300057,12.343618918846389,REALIZED,True,native_15m_close_signal_next_contiguous_open_execution
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,j15-0185c01257110f5978c6,15m-0000010,binance/bitget,20,2026-06-12 04:00:00+00:00,-20.60267834818472,20.60267834818472,LONG_A_SHORT_B,2026-06-12 04:15:00+00:00,2026-06-12 04:15:00+00:00,-13.533505376916027,2026-06-12 04:30:00+00:00,15.0,binance,bitget,1498.31,1501.35,1506.33,1508.39,0.005352697372372761,-0.004689113131514988,6.63584240857773,7.069172971268694,0,0,0.0,0.0,0.0,6.63584240857773,-13.36415759142227,-33.36415759142227,-73.36415759142227,6.769326133575504,6.769326133575504,REALIZED,True,native_15m_close_signal_next_contiguous_open_execution
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,j15-687de47c7e5511dd1a4b,15m-0000011,binance/bitget,20,2026-06-12 04:30:00+00:00,-23.194113585076412,23.194113585076412,LONG_A_SHORT_B,2026-06-12 04:45:00+00:00,2026-06-12 06:45:00+00:00,-14.789982252022257,2026-06-12 07:00:00+00:00,135.0,binance,bitget,1511.52,1515.07,1418.98,1420.93,-0.06122313962104364,0.06213574290296808,9.1260328192444,8.404131333054154,0,0,0.0,0.0,0.0,9.1260328192444,-10.8739671807556,-30.8739671807556,-70.8739671807556,-14.618042047677138,8.133654286375247,REALIZED,True,native_15m_close_signal_next_contiguous_open_execution
