analysis_scope,execution_model,pair,threshold_bps,cost_bps,event_count_total,realized_event_count,censored_event_count,positive_event_count,win_rate,sum_event_net_bps,mean_event_net_bps,median_event_net_bps,p05_event_net_bps,p95_event_net_bps,mean_holding_minutes,median_holding_minutes,max_holding_minutes,joint_start,joint_end
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/bitget,20,20,235,235,0,6,0.02553191489361702,-3591.8692252238498,-15.284549894569574,-16.010484175184008,-26.021674954433678,-5.140274341751002,128.17021276595744,30.0,6585.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/bitget,20,40,235,235,0,0,0.0,-8291.869225223849,-35.28454989456957,-36.010484175184004,-46.02167495443368,-25.140274341751002,128.17021276595744,30.0,6585.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/bitget,20,80,235,235,0,0,0.0,-17691.869225223847,-75.28454989456957,-76.010484175184,-86.02167495443368,-65.140274341751,128.17021276595744,30.0,6585.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/bitget,50,20,61,61,0,2,0.03278688524590164,-819.5225166267647,-13.434795354537126,-13.152241377536438,-22.652198998281953,-0.629852850100292,91.72131147540983,30.0,1365.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/bitget,50,40,61,61,0,0,0.0,-2039.5225166267649,-33.43479535453713,-33.15224137753644,-42.65219899828195,-20.629852850100292,91.72131147540983,30.0,1365.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/bitget,50,80,61,61,0,0,0.0,-4479.522516626765,-73.43479535453713,-73.15224137753644,-82.65219899828195,-60.62985285010029,91.72131147540983,30.0,1365.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/bitget,100,20,4,4,0,1,0.25,-80.41693393720246,-20.104233484300615,-22.320454069982183,-37.669765993180135,0.5640078445331,41.25,30.0,90.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/bitget,100,40,4,4,0,0,0.0,-160.41693393720246,-40.104233484300615,-42.32045406998218,-57.669765993180135,-19.4359921554669,41.25,30.0,90.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/bitget,100,80,4,4,0,0,0.0,-320.41693393720243,-80.10423348430061,-82.32045406998219,-97.66976599318012,-59.4359921554669,41.25,30.0,90.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
PRICE_FUNDING_15M_GLOBAL_WINDOW,NEXT_BAR_OPEN_PROXY,binance/gate,20,20,60,60,0,10,0.16666666666666666,-456.5606950522384,-7.609344917537306,-11.134665661338676,-26.936948442559377,13.943065974845544,638.25,15.0,16950.0,2026-06-10 09:00:00+00:00,2026-07-23 00:00:00+00:00
