rank,base_event_id,pair,event_start,event_end,duration_observed_minutes,status,peak_abs_spread_bps,start_session,start_regime,higher_exchange_at_peak,lower_exchange_at_peak,warning
1,BE-d84743026b90368ad2a3,gate/hyperliquid,2026-07-03 07:00:00+00:00,2026-07-20 05:15:00+00:00,24390,COMPLETED,449.7633853494466,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,gate,hyperliquid,historical_mark_trade_proxy_not_executable_BBO
2,BE-de84e434c41e3376087d,gate/okx,2026-07-03 07:00:00+00:00,2026-07-19 01:30:00+00:00,22725,COMPLETED,385.71451378578286,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,gate,okx,historical_mark_trade_proxy_not_executable_BBO
3,BE-d590ecf4f44ce91befef,binance/gate,2026-07-03 07:00:00+00:00,2026-07-17 19:00:00+00:00,20895,COMPLETED,271.3934829794798,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,gate,binance,historical_mark_trade_proxy_not_executable_BBO
4,BE-84d2a20422b757a298b4,bitget/gate,2026-07-06 00:45:00+00:00,2026-07-17 22:30:00+00:00,17160,COMPLETED,253.24215083424292,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,gate,bitget,historical_mark_trade_proxy_not_executable_BBO
5,BE-791f936f3d67e893b62e,gate/hyperliquid,2026-06-22 17:15:00+00:00,2026-07-03 06:00:00+00:00,15180,COMPLETED,300.88740987243386,US_REGULAR,PRE_GATE_REGIME,gate,hyperliquid,historical_mark_trade_proxy_not_executable_BBO
6,BE-53c96dee224bd83286f1,gate/okx,2026-06-23 05:15:00+00:00,2026-07-03 06:15:00+00:00,14475,COMPLETED,286.8139835079017,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,gate,okx,historical_mark_trade_proxy_not_executable_BBO
7,BE-1a01cdb18b994280cdef,binance/gate,2026-06-24 00:00:00+00:00,2026-07-03 04:45:00+00:00,13260,COMPLETED,338.1788708577448,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,gate,binance,historical_mark_trade_proxy_not_executable_BBO
8,BE-575f810c156531d0b1ce,bitget/hyperliquid,2026-06-17 08:00:00+00:00,2026-06-26 06:30:00+00:00,12885,COMPLETED,170.79454360700817,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,bitget,hyperliquid,historical_mark_trade_proxy_not_executable_BBO
9,BE-7245c4fee89e11cb67fd,bitget/gate,2026-06-24 19:00:00+00:00,2026-07-02 15:00:00+00:00,11295,COMPLETED,258.64598124699245,US_REGULAR,PRE_GATE_REGIME,gate,bitget,historical_mark_trade_proxy_not_executable_BBO
10,BE-b504f8f1566a459225fa,bitget/hyperliquid,2026-06-10 05:45:00+00:00,2026-06-17 06:30:00+00:00,10140,COMPLETED,133.3556319849931,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,bitget,hyperliquid,historical_mark_trade_proxy_not_executable_BBO
11,BE-782ee646d68f5614c67e,bitget/okx,2026-06-19 02:00:00+00:00,2026-06-26 02:15:00+00:00,10110,COMPLETED,154.22530469328726,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
12,BE-319981d110ead25994ce,binance/bitget,2026-06-22 00:00:00+00:00,2026-06-28 13:15:00+00:00,9450,COMPLETED,297.56397069033756,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,bitget,binance,historical_mark_trade_proxy_not_executable_BBO
13,BE-481e17ec2a04363a0e68,bitget/hyperliquid,2026-07-15 01:45:00+00:00,2026-07-20 02:15:00+00:00,7245,COMPLETED,110.75298312988679,KRX_REGULAR_EARLIER,PRE_GATE_REGIME,bitget,hyperliquid,historical_mark_trade_proxy_not_executable_BBO
14,BE-ab14e9eafedf7437341d,bitget/okx,2026-07-10 08:00:00+00:00,2026-07-15 01:45:00+00:00,6840,COMPLETED,269.86330672728934,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,bitget,okx,historical_mark_trade_proxy_not_executable_BBO
15,BE-a01cadba91f33c26a4ec,bitget/hyperliquid,2026-07-10 08:00:00+00:00,2026-07-15 00:45:00+00:00,6780,COMPLETED,286.8812889088526,KRX_OFFICIAL_AFTER_HOURS,PRE_GATE_REGIME,bitget,hyperliquid,historical_mark_trade_proxy_not_executable_BBO
