analysis_scope,pair,exchange_A,exchange_B,global_start,global_end,bar_count,comparison_price_type,mean_abs_bps,median_signed_spread_bps,p95_abs_bps,p99_abs_bps,max_abs_bps,percent_A_higher,data_quality
ALL_FIVE_TRADE_CLOSE_15M,binance/bitget,binance,bitget,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,4140,trade_close_15m,24.444639245067822,-19.658000305431507,58.62902273705606,76.86006952229172,143.83097852705671,1.5217391304347827,strict_all_five_timestamp_intersection
ALL_FIVE_TRADE_CLOSE_15M,binance/gate,binance,gate,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,4140,trade_close_15m,77.86911543301741,-49.123834703659575,203.17414470933088,242.403975238985,293.9714126645284,9.154589371980675,strict_all_five_timestamp_intersection
ALL_FIVE_TRADE_CLOSE_15M,binance/hyperliquid,binance,hyperliquid,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,4140,trade_close_15m,39.517042887913654,36.00972567382175,83.67443864679095,143.05854597039828,233.3608337682894,95.38647342995169,strict_all_five_timestamp_intersection
ALL_FIVE_TRADE_CLOSE_15M,binance/okx,binance,okx,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,4140,trade_close_15m,15.728499432432354,11.083567448555161,45.01675120616205,87.40499854344408,220.76392394413608,82.3913043478261,strict_all_five_timestamp_intersection
ALL_FIVE_TRADE_CLOSE_15M,bitget/gate,bitget,gate,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,4140,trade_close_15m,70.58340926145186,-36.286109057762815,181.99089793376322,215.79023745694911,258.64598124699245,38.743961352657,strict_all_five_timestamp_intersection
ALL_FIVE_TRADE_CLOSE_15M,bitget/hyperliquid,bitget,hyperliquid,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,4140,trade_close_15m,62.924360193273024,58.2870310707715,115.84659401801846,177.97754683227157,286.8812889088526,99.34782608695653,strict_all_five_timestamp_intersection
ALL_FIVE_TRADE_CLOSE_15M,bitget/okx,bitget,okx,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,4140,trade_close_15m,37.72497578590248,33.104421568077846,85.21253981090312,125.83351357725371,274.2852348289392,98.93719806763285,strict_all_five_timestamp_intersection
ALL_FIVE_TRADE_CLOSE_15M,gate/hyperliquid,gate,hyperliquid,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,4140,trade_close_15m,115.46108030909011,87.60659054300234,248.23737693464435,333.08689581469196,449.7633853494466,99.61352657004831,strict_all_five_timestamp_intersection
ALL_FIVE_TRADE_CLOSE_15M,gate/okx,gate,okx,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,4140,trade_close_15m,90.7105105379896,61.808417208052894,220.07801185651127,281.4374216046046,393.121374128094,96.06280193236715,strict_all_five_timestamp_intersection
ALL_FIVE_TRADE_CLOSE_15M,hyperliquid/okx,hyperliquid,okx,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,4140,trade_close_15m,26.671461447324372,-24.976166511710236,59.74301400054643,76.00382331247751,122.68151697880333,7.270531400966183,strict_all_five_timestamp_intersection
