pair,baseline_window,median_raw_spread_bps,median_abs_raw_spread_bps,median_residual_bps,p95_abs_residual_bps,p99_abs_residual_bps,share_abs_residual_gt_20bps,share_abs_residual_gt_50bps,share_abs_residual_gt_100bps,median_net_residual_edge_bps,p95_net_residual_edge_bps,strict_common_window_start,strict_common_window_end,valid_residual_count,insufficient_history_count
binance/hyperliquid,24h,36.00972567382175,36.19521326533318,1.2045498996055741,51.382790258127145,86.15408645800629,0.2665677546983185,0.05390702274975272,0.0042037586547972305,-28.923424664366507,11.382790258127141,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,4044,96
binance/hyperliquid,72h,36.00972567382175,36.19521326533318,0.34001337395712916,54.52849274354352,102.8971145483138,0.333073727933541,0.06360332294911734,0.011163032191069575,-26.392831366864982,14.528492743543516,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,3852,288
bitget/hyperliquid,24h,58.2870310707715,58.2870310707715,0.5534662936289685,52.31978789024915,88.20618607823748,0.26607319485657766,0.057368941641938676,0.006923837784371909,-29.029555528811645,12.319787890249152,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,4044,96
bitget/hyperliquid,72h,58.2870310707715,58.2870310707715,0.05205702397912759,59.763993973620636,118.53378153177421,0.3444963655244029,0.07346832814122534,0.015316718587746626,-26.441446252760315,19.763993973620636,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,3852,288
bitget/okx,24h,33.104421568077846,33.104421568077846,-0.42405515268281313,36.068828257129894,69.93116465388329,0.15652818991097922,0.025469831849653807,0.0027200791295746785,-32.663969499943086,-3.931171742870104,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,4044,96
bitget/okx,72h,33.104421568077846,33.104421568077846,-0.5953265983467393,52.31784932004114,86.35113815273326,0.2201453790238837,0.05841121495327103,0.005970924195223261,-31.461908477116662,12.317849320041143,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,3852,288
gate/binance,24h,49.123834703659575,49.123834703659575,0.03176776873199838,69.88549260179093,106.53334685491944,0.269782393669634,0.10633036597428289,0.012363996043521267,-30.90893019070487,29.885492601790926,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,4044,96
gate/binance,72h,49.123834703659575,49.123834703659575,-0.48225280152456185,101.04317082357817,134.52627764794698,0.42912772585669784,0.2266355140186916,0.05088265835929388,-25.648642109804612,61.04317082357817,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,3852,288
gate/bitget,24h,36.286109057762815,43.70540933040952,0.9314254982596211,68.85594795840122,102.88984686591833,0.2727497527200791,0.10608308605341246,0.011374876360039565,-30.011061907340245,28.85594795840122,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,4044,96
gate/bitget,72h,36.286109057762815,43.70540933040952,0.06864449316021393,105.69383300269071,133.36002620255582,0.43769470404984423,0.2069055036344756,0.057892004153686394,-23.682352692244173,65.69383300269071,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,3852,288
gate/hyperliquid,24h,87.60659054300234,87.60659054300234,0.49565038548865203,83.00606912001103,120.40768113133076,0.38649851632047477,0.13501483679525222,0.024975272007912958,-25.427135181294776,43.006069120011034,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,4044,96
gate/hyperliquid,72h,87.60659054300234,87.60659054300234,2.322347227434445,112.99387348713697,144.50972812327407,0.5397196261682243,0.245067497403946,0.06593977154724819,-17.638981331532875,72.99387348713697,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,3852,288
gate/okx,24h,61.808417208052894,61.808417208052894,-0.18898078049098288,71.59476377276036,108.7892285195604,0.29376854599406527,0.11078140454995054,0.01483679525222552,-28.612517682851646,31.594763772760363,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,4044,96
gate/okx,72h,61.808417208052894,61.808417208052894,-0.43556500545869525,109.31538431710574,136.13636263981132,0.46079958463136034,0.22585669781931464,0.06230529595015576,-22.79209756483921,69.31538431710574,2026-06-10 06:00:00+00:00,2026-07-23 09:00:00+00:00,3852,288
