pair,data_scope,start_time,end_time_exclusive,valid_minutes,missing_minutes,longest_contiguous_minutes
binance/bitget,PAIR_NATIVE_WINDOW,2026-07-16 18:34:00+00:00,2026-07-26 04:44:00+00:00,9438,4132,246
binance/bitget,COMMON_FOUR_WINDOW,2026-07-16 18:34:00+00:00,2026-07-26 04:44:00+00:00,9301,4269,109
binance/gate,PAIR_NATIVE_WINDOW,2026-07-16 18:34:00+00:00,2026-07-26 04:45:00+00:00,9532,4039,9527
binance/gate,COMMON_FOUR_WINDOW,2026-07-16 18:34:00+00:00,2026-07-26 04:44:00+00:00,9301,4269,109
binance/okx,PAIR_NATIVE_WINDOW,2026-07-16 18:34:00+00:00,2026-07-26 04:45:00+00:00,9394,4177,9389
binance/okx,COMMON_FOUR_WINDOW,2026-07-16 18:34:00+00:00,2026-07-26 04:44:00+00:00,9301,4269,109
bitget/gate,PAIR_NATIVE_WINDOW,2026-07-16 18:34:00+00:00,2026-07-26 04:44:00+00:00,9438,4132,246
bitget/gate,COMMON_FOUR_WINDOW,2026-07-16 18:34:00+00:00,2026-07-26 04:44:00+00:00,9301,4269,109
bitget/okx,PAIR_NATIVE_WINDOW,2026-07-16 18:34:00+00:00,2026-07-26 04:44:00+00:00,9301,4269,109
bitget/okx,COMMON_FOUR_WINDOW,2026-07-16 18:34:00+00:00,2026-07-26 04:44:00+00:00,9301,4269,109
gate/okx,PAIR_NATIVE_WINDOW,2026-07-16 18:34:00+00:00,2026-07-26 04:45:00+00:00,9394,4177,9389
gate/okx,COMMON_FOUR_WINDOW,2026-07-16 18:34:00+00:00,2026-07-26 04:44:00+00:00,9301,4269,109
