utc_hour,signal_count,entered_count,realized_count,max_hold_count,unresolved_count,realized_rate,unresolved_rate,entry_decay_rate,mean_net_account_price_pnl_bps,median_net_account_price_pnl_bps,win_rate,median_holding_minutes,mean_net_funding_account_bps,mean_net_combined_account_pnl_bps
0,22,19,15,0,4,0.7894736842105263,0.21052631578947367,0.13636363636363635,-16.462313192847617,-16.241808219525904,0.0,5.0,-0.10527666666666667,-16.567589859514285
1,12,12,7,0,5,0.5833333333333334,0.4166666666666667,0.0,-17.072661666754346,-17.287066457337666,0.0,5.0,0.0,-17.072661666754346
2,10,8,6,0,2,0.75,0.25,0.2,-17.288387461522223,-17.55537184235571,0.0,8.5,0.0,-17.288387461522223
3,8,7,5,0,2,0.7142857142857143,0.2857142857142857,0.125,-17.7540857906273,-17.75569756420679,0.0,55.0,0.24578999999999995,-17.508295790627297
4,9,8,3,0,5,0.375,0.625,0.1111111111111111,-17.458956312265297,-17.712663078353046,0.0,1.0,0.0,-17.458956312265297
5,19,14,10,0,4,0.7142857142857143,0.2857142857142857,0.2631578947368421,-17.17145839375659,-17.623416847800648,0.0,4.0,0.0,-17.17145839375659
6,13,11,7,0,4,0.6363636363636364,0.36363636363636365,0.15384615384615385,-17.734958575037783,-17.87027433205133,0.0,12.0,0.0,-17.734958575037783
7,12,12,9,0,3,0.75,0.25,0.0,-17.287329693860002,-17.531973431775242,0.0,7.0,-0.04223333333333332,-17.32956302719333
8,4,4,3,0,1,0.75,0.25,0.0,-16.958218057581114,-17.187454637087576,0.0,1.0,0.0,-16.958218057581114
9,5,5,4,0,1,0.8,0.2,0.0,-17.235869056248646,-17.30279136392508,0.0,3.0,0.0,-17.235869056248646
10,5,4,2,0,2,0.5,0.5,0.2,-17.710640148959047,-17.710640148959047,0.0,1.5,0.0,-17.710640148959047
11,13,10,7,0,3,0.7,0.3,0.23076923076923078,-17.229866767252908,-17.418215240422292,0.0,2.0,-0.16669285714285714,-17.396559624395767
12,14,12,9,0,3,0.75,0.25,0.14285714285714285,-17.070262489035382,-17.450636464613183,0.0,7.0,0.0,-17.070262489035382
13,16,13,10,0,3,0.7692307692307693,0.23076923076923078,0.1875,-17.62871940572512,-17.691592552983842,0.0,2.0,-0.317532364393,-17.946251770118117
14,7,7,5,0,2,0.7142857142857143,0.2857142857142857,0.0,-17.695697013530115,-17.852070271839864,0.0,2.0,0.0,-17.695697013530115
15,6,4,3,0,1,0.75,0.25,0.3333333333333333,-17.22974648962907,-17.634937528211417,0.0,6.0,0.0,-17.22974648962907
16,5,5,3,0,2,0.6,0.4,0.0,-16.671938405194414,-17.10459508837579,0.0,6.0,0.0,-16.671938405194414
17,8,7,5,0,2,0.7142857142857143,0.2857142857142857,0.125,-17.52079024685225,-17.33317182164072,0.0,21.0,0.0,-17.52079024685225
18,12,9,8,0,1,0.8888888888888888,0.1111111111111111,0.25,-18.028104337828637,-18.364988692396985,0.0,7.0,0.0,-18.028104337828637
19,16,16,13,0,3,0.8125,0.1875,0.0,-17.596353517631027,-17.70898202609226,0.0,3.0,-0.7299,-18.32625351763103
20,17,13,10,0,3,0.7692307692307693,0.23076923076923078,0.23529411764705882,-17.077635379497895,-16.968938087156253,0.0,9.0,0.0,-17.077635379497895
21,10,9,6,0,3,0.6666666666666666,0.3333333333333333,0.1,-17.279207912811344,-17.464785165277867,0.0,5.5,0.0,-17.279207912811344
22,11,10,8,0,2,0.8,0.2,0.09090909090909091,-17.770047279016595,-17.814358406783285,0.0,4.0,-0.8846389041346876,-18.654686183151284
23,14,14,12,0,2,0.8571428571428571,0.14285714285714285,0.0,-17.500678954266792,-18.00908619369988,0.0,2.0,-0.4444056095065833,-17.945084563773374
