exit_policy,confirmation_policy,threshold_bps,total_signal_count,realized_event_count,right_censored_count,censor_rate,positive_event_count,win_rate,mean_net_price_pnl_bps,median_net_price_pnl_bps,mean_gross_price_pnl_bps,mean_funding_pnl_bps,mean_net_combined_pnl_bps,median_holding_minutes
ZERO_CROSS,ONE_BAR_CONFIRM,20,213,8,3,0.014084507042253521,3,0.375,-6.952330917698849,-4.056027591655669,13.047669082301152,1.165325,-5.787005917698851,30.5
ZERO_CROSS,ONE_BAR_CONFIRM,50,19,0,0,0.0,0,,,,,,,
ZERO_CROSS,ONE_BAR_CONFIRM,100,23,0,0,0.0,0,,,,,,,
ZERO_CROSS,ONE_BAR_CONFIRM,150,8,0,0,0.0,0,,,,,,,
ZERO_CROSS,ONE_BAR_CONFIRM,200,3,0,0,0.0,0,,,,,,,
ZERO_CROSS,ONE_BAR_CONFIRM,250,0,0,0,,0,,,,,,,
ZERO_CROSS,ONE_BAR_CONFIRM,300,0,0,0,,0,,,,,,,
ZERO_CROSS,TWO_BAR_CONFIRM,20,167,2,1,0.005988023952095809,0,0.0,-1.3332480584637807,-1.3332480584637807,18.66675194153622,3.9613,2.628051941536219,33.5
ZERO_CROSS,TWO_BAR_CONFIRM,50,16,0,0,0.0,0,,,,,,,
ZERO_CROSS,TWO_BAR_CONFIRM,100,19,0,0,0.0,0,,,,,,,
ZERO_CROSS,TWO_BAR_CONFIRM,150,7,0,0,0.0,0,,,,,,,
ZERO_CROSS,TWO_BAR_CONFIRM,200,3,0,0,0.0,0,,,,,,,
ZERO_CROSS,TWO_BAR_CONFIRM,250,0,0,0,,0,,,,,,,
ZERO_CROSS,TWO_BAR_CONFIRM,300,0,0,0,,0,,,,,,,
ZERO_BAND_5,ONE_BAR_CONFIRM,20,216,22,3,0.013888888888888888,6,0.2727272727272727,-6.372097755438418,-5.894543409483681,13.62790224456158,-0.29495909090909095,-6.667056846347509,35.0
ZERO_BAND_5,ONE_BAR_CONFIRM,50,19,0,0,0.0,0,,,,,,,
ZERO_BAND_5,ONE_BAR_CONFIRM,100,23,0,0,0.0,0,,,,,,,
ZERO_BAND_5,ONE_BAR_CONFIRM,150,8,0,0,0.0,0,,,,,,,
ZERO_BAND_5,ONE_BAR_CONFIRM,200,3,0,0,0.0,0,,,,,,,
ZERO_BAND_5,ONE_BAR_CONFIRM,250,0,0,0,,0,,,,,,,
ZERO_BAND_5,ONE_BAR_CONFIRM,300,0,0,0,,0,,,,,,,
ZERO_BAND_5,TWO_BAR_CONFIRM,20,168,10,1,0.005952380952380952,3,0.3,-2.028169815716278,-2.3393718814784616,17.97183018428372,-0.7607400000000001,-2.788909815716279,43.5
ZERO_BAND_5,TWO_BAR_CONFIRM,50,16,0,0,0.0,0,,,,,,,
ZERO_BAND_5,TWO_BAR_CONFIRM,100,19,0,0,0.0,0,,,,,,,
ZERO_BAND_5,TWO_BAR_CONFIRM,150,7,0,0,0.0,0,,,,,,,
ZERO_BAND_5,TWO_BAR_CONFIRM,200,3,0,0,0.0,0,,,,,,,
ZERO_BAND_5,TWO_BAR_CONFIRM,250,0,0,0,,0,,,,,,,
ZERO_BAND_5,TWO_BAR_CONFIRM,300,0,0,0,,0,,,,,,,
ZERO_BAND_10,ONE_BAR_CONFIRM,20,234,67,2,0.008547008547008548,3,0.04477611940298507,-9.660667662867638,-9.104218720865624,10.339332337132362,-0.9526480009335673,-10.613315663801206,24.0
ZERO_BAND_10,ONE_BAR_CONFIRM,50,19,0,0,0.0,0,,,,,,,
ZERO_BAND_10,ONE_BAR_CONFIRM,100,23,0,0,0.0,0,,,,,,,
ZERO_BAND_10,ONE_BAR_CONFIRM,150,8,0,0,0.0,0,,,,,,,
ZERO_BAND_10,ONE_BAR_CONFIRM,200,3,0,0,0.0,0,,,,,,,
ZERO_BAND_10,ONE_BAR_CONFIRM,250,0,0,0,,0,,,,,,,
ZERO_BAND_10,ONE_BAR_CONFIRM,300,0,0,0,,0,,,,,,,
ZERO_BAND_10,TWO_BAR_CONFIRM,20,172,28,1,0.005813953488372093,1,0.03571428571428571,-7.751817828010068,-7.884166600455305,12.248182171989935,-1.6068716854471428,-9.35868951345721,37.0
ZERO_BAND_10,TWO_BAR_CONFIRM,50,16,0,0,0.0,0,,,,,,,
ZERO_BAND_10,TWO_BAR_CONFIRM,100,19,0,0,0.0,0,,,,,,,
ZERO_BAND_10,TWO_BAR_CONFIRM,150,7,0,0,0.0,0,,,,,,,
ZERO_BAND_10,TWO_BAR_CONFIRM,200,3,0,0,0.0,0,,,,,,,
ZERO_BAND_10,TWO_BAR_CONFIRM,250,0,0,0,,0,,,,,,,
ZERO_BAND_10,TWO_BAR_CONFIRM,300,0,0,0,,0,,,,,,,
ZERO_BAND_20,ONE_BAR_CONFIRM,20,806,744,0,0.0,0,0.0,-17.793717445568124,-18.07758842436556,2.2062825544318754,-0.05294283051707526,-17.8466602760852,1.0
ZERO_BAND_20,ONE_BAR_CONFIRM,50,19,0,0,0.0,0,,,,,,,
ZERO_BAND_20,ONE_BAR_CONFIRM,100,23,0,0,0.0,0,,,,,,,
ZERO_BAND_20,ONE_BAR_CONFIRM,150,8,0,0,0.0,0,,,,,,,
ZERO_BAND_20,ONE_BAR_CONFIRM,200,3,0,0,0.0,0,,,,,,,
ZERO_BAND_20,ONE_BAR_CONFIRM,250,0,0,0,,0,,,,,,,
ZERO_BAND_20,ONE_BAR_CONFIRM,300,0,0,0,,0,,,,,,,
ZERO_BAND_20,TWO_BAR_CONFIRM,20,479,427,0,0.0,0,0.0,-17.52994033175779,-17.85085126539519,2.4700596682422087,-0.10482021767848945,-17.63476054943628,2.0
ZERO_BAND_20,TWO_BAR_CONFIRM,50,16,0,0,0.0,0,,,,,,,
ZERO_BAND_20,TWO_BAR_CONFIRM,100,19,0,0,0.0,0,,,,,,,
ZERO_BAND_20,TWO_BAR_CONFIRM,150,7,0,0,0.0,0,,,,,,,
ZERO_BAND_20,TWO_BAR_CONFIRM,200,3,0,0,0.0,0,,,,,,,
ZERO_BAND_20,TWO_BAR_CONFIRM,250,0,0,0,,0,,,,,,,
ZERO_BAND_20,TWO_BAR_CONFIRM,300,0,0,0,,0,,,,,,,
ZERO_CROSS_OR_5BPS,ONE_BAR_CONFIRM,20,216,22,3,0.013888888888888888,6,0.2727272727272727,-6.372097755438418,-5.894543409483681,13.62790224456158,-0.29495909090909095,-6.667056846347509,35.0
ZERO_CROSS_OR_5BPS,ONE_BAR_CONFIRM,50,19,0,0,0.0,0,,,,,,,
ZERO_CROSS_OR_5BPS,ONE_BAR_CONFIRM,100,23,0,0,0.0,0,,,,,,,
ZERO_CROSS_OR_5BPS,ONE_BAR_CONFIRM,150,8,0,0,0.0,0,,,,,,,
ZERO_CROSS_OR_5BPS,ONE_BAR_CONFIRM,200,3,0,0,0.0,0,,,,,,,
ZERO_CROSS_OR_5BPS,ONE_BAR_CONFIRM,250,0,0,0,,0,,,,,,,
ZERO_CROSS_OR_5BPS,ONE_BAR_CONFIRM,300,0,0,0,,0,,,,,,,
ZERO_CROSS_OR_5BPS,TWO_BAR_CONFIRM,20,168,10,1,0.005952380952380952,3,0.3,-2.028169815716278,-2.3393718814784616,17.97183018428372,-0.7607400000000001,-2.788909815716279,43.5
ZERO_CROSS_OR_5BPS,TWO_BAR_CONFIRM,50,16,0,0,0.0,0,,,,,,,
ZERO_CROSS_OR_5BPS,TWO_BAR_CONFIRM,100,19,0,0,0.0,0,,,,,,,
ZERO_CROSS_OR_5BPS,TWO_BAR_CONFIRM,150,7,0,0,0.0,0,,,,,,,
ZERO_CROSS_OR_5BPS,TWO_BAR_CONFIRM,200,3,0,0,0.0,0,,,,,,,
ZERO_CROSS_OR_5BPS,TWO_BAR_CONFIRM,250,0,0,0,,0,,,,,,,
ZERO_CROSS_OR_5BPS,TWO_BAR_CONFIRM,300,0,0,0,,0,,,,,,,
