pair,threshold_bps,total_signal_count,realized_event_count,right_censored_count,censor_rate,positive_event_count,win_rate,mean_net_price_pnl_bps,median_net_price_pnl_bps,mean_gross_price_pnl_bps,mean_funding_pnl_bps,mean_net_combined_pnl_bps,median_holding_minutes
binance/bitget,20,35,1,0,0.0,1,1.0,0.17763491324209468,0.17763491324209468,20.177634913242095,0.0,0.17763491324209468,31.0
binance/bitget,50,0,0,0,,0,,,,,,,
binance/bitget,100,0,0,0,,0,,,,,,,
binance/bitget,150,0,0,0,,0,,,,,,,
binance/bitget,200,0,0,0,,0,,,,,,,
binance/bitget,250,0,0,0,,0,,,,,,,
binance/bitget,300,0,0,0,,0,,,,,,,
binance/gate,20,28,6,0,0.0,0,0.0,-8.635415160111627,-6.630002738766665,11.364584839888373,0.44015000000000004,-8.195265160111626,42.0
binance/gate,50,1,0,0,0.0,0,,,,,,,
binance/gate,100,9,0,0,0.0,0,,,,,,,
binance/gate,150,2,0,0,0.0,0,,,,,,,
binance/gate,200,0,0,0,,0,,,,,,,
binance/gate,250,0,0,0,,0,,,,,,,
binance/gate,300,0,0,0,,0,,,,,,,
binance/okx,20,30,2,1,0.03333333333333333,1,0.5,-1.3196812578452999,-1.3196812578452999,18.6803187421547,0.0,-1.3196812578452999,63.5
binance/okx,50,0,0,0,,0,,,,,,,
binance/okx,100,0,0,0,,0,,,,,,,
binance/okx,150,0,0,0,,0,,,,,,,
binance/okx,200,0,0,0,,0,,,,,,,
binance/okx,250,0,0,0,,0,,,,,,,
binance/okx,300,0,0,0,,0,,,,,,,
bitget/gate,20,29,6,0,0.0,2,0.3333333333333333,-7.2358747800193965,-3.837132956006055,12.764125219980604,-1.7550000000000001,-8.990874780019396,32.0
bitget/gate,50,4,0,0,0.0,0,,,,,,,
bitget/gate,100,9,0,0,0.0,0,,,,,,,
bitget/gate,150,2,0,0,0.0,0,,,,,,,
bitget/gate,200,0,0,0,,0,,,,,,,
bitget/gate,250,0,0,0,,0,,,,,,,
bitget/gate,300,0,0,0,,0,,,,,,,
bitget/okx,20,49,4,1,0.02040816326530612,2,0.5,-2.712262452934915,-2.41906952378244,17.287737547065085,0.0,-2.712262452934915,46.0
bitget/okx,50,5,0,0,0.0,0,,,,,,,
bitget/okx,100,0,0,0,,0,,,,,,,
bitget/okx,150,0,0,0,,0,,,,,,,
bitget/okx,200,0,0,0,,0,,,,,,,
bitget/okx,250,0,0,0,,0,,,,,,,
bitget/okx,300,0,0,0,,0,,,,,,,
gate/okx,20,45,3,1,0.022222222222222223,0,0.0,-10.549211188223625,-8.038692658980366,9.450788811776375,0.4666666666666666,-10.08254452155696,12.0
gate/okx,50,9,0,0,0.0,0,,,,,,,
gate/okx,100,5,0,0,0.0,0,,,,,,,
gate/okx,150,4,0,0,0.0,0,,,,,,,
gate/okx,200,3,0,0,0.0,0,,,,,,,
gate/okx,250,0,0,0,,0,,,,,,,
gate/okx,300,0,0,0,,0,,,,,,,
