pair,threshold_bps,confirmation_policy,exit_policy,max_holding_minutes,data_scope,total_signal_count,realized_event_count,right_censored_count,censor_rate,positive_event_count,win_rate,sum_net_price_pnl_bps,mean_net_price_pnl_bps,median_net_price_pnl_bps,p05_net_price_pnl_bps,p25_net_price_pnl_bps,p75_net_price_pnl_bps,p95_net_price_pnl_bps,mean_gross_price_pnl_bps,mean_funding_pnl_bps,mean_net_combined_pnl_bps,median_holding_minutes,p90_holding_minutes,max_holding_minutes_observed,mean_mae_bps,median_mae_bps,mean_mfe_bps,day_block_bootstrap_ci_low,day_block_bootstrap_ci_high
binance/bitget,20,ONE_BAR_CONFIRM,ZERO_CROSS,,STRICT_ALL_FOUR_INTERSECTION,35,1,0,0.0,1,1.0,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,20.177634913242095,0.0,0.17763491324209468,31.0,31.0,31.0,1.656593334866674,1.656593334866674,20.716867969768906,0.17763491324209468,0.17763491324209468
binance/bitget,20,ONE_BAR_CONFIRM,ZERO_CROSS,,STRICT_PAIR_INTERSECTION,35,1,0,0.0,1,1.0,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,20.177634913242095,0.0,0.17763491324209468,31.0,31.0,31.0,1.656593334866674,1.656593334866674,20.716867969768906,0.17763491324209468,0.17763491324209468
binance/bitget,20,ONE_BAR_CONFIRM,ZERO_CROSS,60.0,STRICT_ALL_FOUR_INTERSECTION,44,22,0,0.0,1,0.045454545454545456,-330.15422738273367,-15.007010335578803,-15.230666131671438,-21.92986404659745,-18.0040662485356,-12.226166156025213,-5.950102199043057,4.992989664421199,-0.5799636363636363,-15.58697397194244,60.0,60.0,60.0,-3.0459196414015213,-1.0673488048890123,8.216445173697736,-18.492330311370942,-13.202113691435295
binance/bitget,20,ONE_BAR_CONFIRM,ZERO_CROSS,60.0,STRICT_PAIR_INTERSECTION,44,22,0,0.0,1,0.045454545454545456,-330.15422738273367,-15.007010335578803,-15.230666131671438,-21.92986404659745,-18.0040662485356,-12.226166156025213,-5.950102199043057,4.992989664421199,-0.5799636363636363,-15.58697397194244,60.0,60.0,60.0,-3.0459196414015213,-1.0673488048890123,8.216445173697736,-18.492330311370942,-13.202113691435295
binance/bitget,20,ONE_BAR_CONFIRM,ZERO_CROSS,240.0,STRICT_ALL_FOUR_INTERSECTION,35,1,0,0.0,1,1.0,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,20.177634913242095,0.0,0.17763491324209468,31.0,31.0,31.0,1.656593334866674,1.656593334866674,20.716867969768906,0.17763491324209468,0.17763491324209468
binance/bitget,20,ONE_BAR_CONFIRM,ZERO_CROSS,240.0,STRICT_PAIR_INTERSECTION,35,1,0,0.0,1,1.0,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,20.177634913242095,0.0,0.17763491324209468,31.0,31.0,31.0,1.656593334866674,1.656593334866674,20.716867969768906,0.17763491324209468,0.17763491324209468
binance/bitget,20,ONE_BAR_CONFIRM,ZERO_CROSS,720.0,STRICT_ALL_FOUR_INTERSECTION,35,1,0,0.0,1,1.0,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,20.177634913242095,0.0,0.17763491324209468,31.0,31.0,31.0,1.656593334866674,1.656593334866674,20.716867969768906,0.17763491324209468,0.17763491324209468
binance/bitget,20,ONE_BAR_CONFIRM,ZERO_CROSS,720.0,STRICT_PAIR_INTERSECTION,35,1,0,0.0,1,1.0,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,20.177634913242095,0.0,0.17763491324209468,31.0,31.0,31.0,1.656593334866674,1.656593334866674,20.716867969768906,0.17763491324209468,0.17763491324209468
binance/bitget,20,ONE_BAR_CONFIRM,ZERO_CROSS,1440.0,STRICT_ALL_FOUR_INTERSECTION,35,1,0,0.0,1,1.0,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,20.177634913242095,0.0,0.17763491324209468,31.0,31.0,31.0,1.656593334866674,1.656593334866674,20.716867969768906,0.17763491324209468,0.17763491324209468
binance/bitget,20,ONE_BAR_CONFIRM,ZERO_CROSS,1440.0,STRICT_PAIR_INTERSECTION,35,1,0,0.0,1,1.0,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,0.17763491324209468,20.177634913242095,0.0,0.17763491324209468,31.0,31.0,31.0,1.656593334866674,1.656593334866674,20.716867969768906,0.17763491324209468,0.17763491324209468
