date,exchange,rows,already_valid_rows,backfillable_rows,non_backfillable_rows,no_metadata_rows,stability_unproven_rows,size_unit_unknown_rows,safe_backfill_pct,reasons
2026-07-27,binance,9358518,0,0,9358518,9358518,0,0,0.0,NO_CONTEMPORANEOUS_METADATA
2026-07-27,bitget,280028,0,0,280028,280028,0,0,0.0,NO_CONTEMPORANEOUS_METADATA
2026-07-27,gate,894980,0,0,894980,894980,0,0,0.0,NO_CONTEMPORANEOUS_METADATA
2026-07-27,hyperliquid,13711,0,0,13711,13711,0,0,0.0,NO_CONTEMPORANEOUS_METADATA
2026-07-27,okx,523283,0,0,523283,523283,0,0,0.0,NO_CONTEMPORANEOUS_METADATA
2026-07-28,binance,2230854,0,134525,2096329,1982371,113958,0,8.430688809695555,MULTIPLIER_STABILITY_UNPROVEN;NO_CONTEMPORANEOUS_METADATA;SAFE_TIME_MATCHED_METADATA
2026-07-28,bitget,45999,0,3906,42093,39580,2513,0,8.560545145911,MULTIPLIER_STABILITY_UNPROVEN;NO_CONTEMPORANEOUS_METADATA;SAFE_TIME_MATCHED_METADATA
2026-07-28,gate,257502,0,16193,241309,228216,13093,0,8.42228625808992,MULTIPLIER_STABILITY_UNPROVEN;NO_CONTEMPORANEOUS_METADATA;SAFE_TIME_MATCHED_METADATA
2026-07-28,hyperliquid,2272,0,196,2076,1950,126,0,8.554006968641115,MULTIPLIER_STABILITY_UNPROVEN;NO_CONTEMPORANEOUS_METADATA;SAFE_TIME_MATCHED_METADATA
2026-07-28,okx,110933,0,9084,101849,95546,6303,0,8.523710777007686,MULTIPLIER_STABILITY_UNPROVEN;NO_CONTEMPORANEOUS_METADATA;SAFE_TIME_MATCHED_METADATA
