pair,cost_bps,oos_kind,execution_model,fold_count,event_count,mean_net_bps,median_net_bps,win_rate,mean_mae_bps,median_mae_bps,mean_mfe_bps,median_mfe_bps,mean_holding_minutes,median_holding_minutes,capital_occupancy_rate,same_pair_blocked_overlap_signal_count,cross_pair_overlapping_event_count,bootstrap_mean_ci_low_bps,bootstrap_mean_ci_high_bps,bootstrap_confidence_level,bootstrap_samples
binance/bitget,20,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,19,0,,,,,,,,,,0.0,0,0,,,0.95,500
binance/bitget,40,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,19,0,,,,,,,,,,0.0,0,0,,,0.95,500
binance/bitget,80,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,19,0,,,,,,,,,,0.0,0,0,,,0.95,500
binance/gate,20,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,19,19,6.596850982559343,-5.389516652007913,0.3157894736842105,-7.727629025415735,-5.5068002299185626,23.912968751340284,16.382412841746685,296.8421052631579,45.0,0.10207225772352467,708,0,-5.46424379561238,19.719394727074096,0.95,500
binance/gate,40,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,19,19,-13.403149017440656,-25.389516652007913,0.2631578947368421,-7.727629025415735,-5.5068002299185626,23.912968751340284,16.382412841746685,296.8421052631579,45.0,0.10207225772352467,708,0,-26.389543195980266,-0.03262101304081576,0.95,500
binance/gate,80,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,19,19,-53.40314901744066,-65.38951665200791,0.10526315789473684,-7.727629025415735,-5.5068002299185626,23.912968751340284,16.382412841746685,296.8421052631579,45.0,0.10207225772352467,708,0,-65.77208855403411,-38.75378091860205,0.95,500
binance/hyperliquid,20,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,19,0,,,,,,,,,,0.0,0,0,,,0.95,500
binance/hyperliquid,40,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,19,0,,,,,,,,,,0.0,0,0,,,0.95,500
binance/hyperliquid,80,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,19,0,,,,,,,,,,0.0,0,0,,,0.95,500
binance/okx,20,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,19,0,,,,,,,,,,0.0,0,0,,,0.95,500
binance/okx,40,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,19,0,,,,,,,,,,0.0,0,0,,,0.95,500
binance/okx,80,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,19,0,,,,,,,,,,0.0,0,0,,,0.95,500
bitget/gate,20,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,19,18,1.6837937357131727,1.3043014201275138,0.5,-7.447605864874621,-2.904406868120546,22.487803424619717,21.255681166334472,159.16666666666666,82.5,0.05197934208417792,475,0,-4.981972213288851,9.688721480025844,0.95,500
bitget/gate,40,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,19,18,-18.316206264286826,-18.695698579872484,0.05555555555555555,-7.447605864874621,-2.904406868120546,22.487803424619717,21.255681166334472,159.16666666666666,82.5,0.05197934208417792,475,0,-24.918744421223376,-8.261296188105153,0.95,500
bitget/gate,80,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,19,18,-58.31620626428682,-58.695698579872484,0.0,-7.447605864874621,-2.904406868120546,22.487803424619717,21.255681166334472,159.16666666666666,82.5,0.05197934208417792,475,0,-65.14346066777954,-50.034361685236874,0.95,500
bitget/hyperliquid,20,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,19,3,-6.241270890777535,-7.3841547537312024,0.3333333333333333,-5.5563778308161575,2.330674444398495,17.088780502539553,13.640960571743577,80.0,30.0,0.004340748779164406,11,0,-24.94598795252207,13.606330033920663,0.95,500
bitget/hyperliquid,40,HISTORICAL_ROLLING_PSEUDO_OOS,NEXT_BAR_OPEN_PROXY,19,3,-26.241270890777532,-27.384154753731202,0.0,-5.5563778308161575,2.330674444398495,17.088780502539553,13.640960571743577,80.0,30.0,0.004340748779164406,11,0,-44.945987952522074,-9.717163390791042,0.95,500
