analysis_scope,pair,exchange_a,exchange_b,global_start,global_end_exclusive,observations,mean_spread_bps,median_spread_bps,std_spread_bps,p05_spread_bps,p95_spread_bps,mean_abs_spread_bps,median_abs_spread_bps,p90_abs_spread_bps,p95_abs_spread_bps,p99_abs_spread_bps,max_abs_spread_bps,max_abs_spread_time,spread_at_max_bps,higher_exchange_at_max,lower_exchange_at_max
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/bitget,binance,bitget,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,-4.115739126502669,-4.122765052953982,2.617280758467537,-8.294138517256567,0.6374108408437054,4.302817973744992,4.124946978867041,7.363602189668341,8.294138517256567,9.970420706949199,11.841963612875164,2026-07-23 14:37:00+00:00,-11.841963612875164,bitget,binance
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/gate,binance,gate,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,9.75830729308676,10.854329432801727,5.684029304617151,-0.6889633379892418,18.173408815249314,10.091067404506836,10.854329432801727,16.197873928749047,18.173408815249314,20.207413049301408,24.388917800025418,2026-07-23 20:00:00+00:00,24.388917800025418,binance,gate
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/hyperliquid,binance,hyperliquid,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,29.884735351539295,30.12363078805333,5.674466830291877,20.62836141034474,38.98871546949928,29.884735351539295,30.12363078805333,37.27843903947971,38.98871546949928,41.05371504122372,44.37341939087419,2026-07-23 18:21:00+00:00,44.37341939087419,binance,hyperliquid
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/okx,binance,okx,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,15.105353992496003,15.378670486614135,4.430841339634777,7.084344733167383,21.77519582242916,15.105353992496003,15.378670486614135,20.4781398685319,21.77519582242916,24.3880737854711,26.01867769362929,2026-07-23 17:37:00+00:00,26.01867769362929,binance,okx
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,bitget/gate,bitget,gate,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,13.87404497635131,14.671122340859853,5.182141897773185,5.3652613551757735,20.950351886627985,14.058137300326486,14.671122340859853,19.53341816585815,20.950351886627985,23.41389531446545,27.336408679309613,2026-07-23 20:00:00+00:00,27.336408679309613,bitget,gate
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,bitget/hyperliquid,bitget,hyperliquid,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,34.00046410982194,33.81167682327644,5.278995871995662,25.401656610476483,42.544733160920146,34.00046410982194,33.81167682327644,40.906096156190245,42.544733160920146,45.77064505031801,49.17130071275056,2026-07-23 17:38:00+00:00,49.17130071275056,bitget,hyperliquid
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,bitget/okx,bitget,okx,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,19.221090032647545,19.515559544010006,4.366578886535183,10.52397497643354,26.528045883978354,19.221090032647545,19.515559544010006,24.111427906452832,26.528045883978354,28.92964537328763,31.537266536623754,2026-07-23 18:52:00+00:00,31.537266536623754,bitget,okx
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,gate/hyperliquid,gate,hyperliquid,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,20.126441830781072,19.477231116824434,6.940245362515779,10.247616603103864,32.0034847623956,20.126441830781072,19.477231116824434,28.874471430398398,32.0034847623956,40.692856699357925,48.95380971180275,2026-07-23 13:20:00+00:00,48.95380971180275,gate,hyperliquid
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,gate/okx,gate,okx,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,5.3470484184961915,5.145516773605696,4.425317799279659,-2.3511120525737015,12.385142157589177,5.860570833527664,5.20321667514511,10.985906548481696,12.385142157589177,14.749442987325299,16.973125884016238,2026-07-24 00:37:00+00:00,16.973125884016238,gate,okx
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,hyperliquid/okx,hyperliquid,okx,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,-14.779398211568273,-14.096397673319363,6.165785178305119,-26.641689208298416,-5.985861933897712,14.779398211568273,14.096397673319363,23.230667417336285,26.641689208298413,30.648490951861447,34.7828817970881,2026-07-23 13:31:00+00:00,-34.7828817970881,okx,hyperliquid
