analysis_scope,pair,threshold_bps,global_start,global_end_exclusive,observations,bars_at_or_above_threshold,share_pct,event_count,max_consecutive_minutes
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/bitget,20,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/bitget,50,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/bitget,100,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/bitget,150,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/bitget,200,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/gate,20,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,8,1.103448275862069,5,4
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/gate,50,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/gate,100,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/gate,150,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/gate,200,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/hyperliquid,20,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,700,96.55172413793103,19,475
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/hyperliquid,50,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/hyperliquid,100,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/hyperliquid,150,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/hyperliquid,200,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/okx,20,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,92,12.689655172413794,26,19
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/okx,50,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/okx,100,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/okx,150,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,binance/okx,200,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,bitget/gate,20,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,55,7.586206896551724,27,14
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,bitget/gate,50,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,bitget/gate,100,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,bitget/gate,150,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,bitget/gate,200,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,bitget/hyperliquid,20,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,725,100.0,1,725
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,bitget/hyperliquid,50,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,bitget/hyperliquid,100,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,bitget/hyperliquid,150,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,bitget/hyperliquid,200,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,bitget/okx,20,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,316,43.58620689655173,82,50
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,bitget/okx,50,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,bitget/okx,100,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,bitget/okx,150,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,bitget/okx,200,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,gate/hyperliquid,20,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,351,48.41379310344828,48,57
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,gate/hyperliquid,50,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,gate/hyperliquid,100,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,gate/hyperliquid,150,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,gate/hyperliquid,200,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,gate/okx,20,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,gate/okx,50,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,gate/okx,100,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,gate/okx,150,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,gate/okx,200,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,hyperliquid/okx,20,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,141,19.448275862068964,35,33
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,hyperliquid/okx,50,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,hyperliquid/okx,100,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,hyperliquid/okx,150,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
LIVE_ALL_FIVE_TRADE_CLOSE_1M_STRICT_COMMON_100PCT,hyperliquid/okx,200,2026-07-23 13:17:00+00:00,2026-07-24 01:22:00+00:00,725,0,0.0,0,0
